team_id,team_name,match_date,opponent,home_away,team_score,opponent_score,espn_event_id,espn_event_url,team_odds_american,opponent_odds_american,draw_odds_american
660,United States,2025-07-02,Guatemala,home,2,1,735346,https://www.espn.com/soccer/match/_/gameId/735346/guatemala-united-states,-400,+1000,+475
660,United States,2025-01-23,Costa Rica,home,3,0,724802,https://www.espn.com/soccer/match/_/gameId/724802/costa-rica-united-states,-175,+550,+260
660,United States,2025-09-09,Japan,home,2,0,735766,https://www.espn.com/soccer/match/_/gameId/735766/japan-united-states,+180,+120,+240
660,United States,2024-10-16,Mexico,away,0,2,719821,https://www.espn.com/soccer/match/_/gameId/719821/united-states-mexico,+150,+220,+180
660,United States,2025-10-15,Australia,home,2,1,753162,https://www.espn.com/soccer/match/_/gameId/753162/australia-united-states,-143,+320,+230
660,United States,2025-11-19,Uruguay,home,5,1,758377,https://www.espn.com/soccer/match/_/gameId/758377/uruguay-united-states,+220,+125,+210
660,United States,2026-03-31,Portugal,home,0,2,762259,https://www.espn.com/soccer/match/_/gameId/762259/portugal-united-states,+380,-175,+333
660,United States,2025-06-11,Switzerland,home,0,4,734220,https://www.espn.com/soccer/match/_/gameId/734220/switzerland-united-states,+220,+115,+240
660,United States,2024-11-15,Jamaica,away,1,0,721462,https://www.espn.com/soccer/match/_/gameId/721462/united-states-jamaica,+650,-238,+333
660,United States,2025-03-20,Panama,home,0,1,723669,https://www.espn.com/soccer/match/_/gameId/723669/panama-united-states,-208,+525,+350
660,United States,2025-06-20,Saudi Arabia,away,1,0,735329,https://www.espn.com/soccer/match/_/gameId/735329/united-states-saudi-arabia,-189,+450,+310
660,United States,2026-05-31,Senegal,home,3,2,762592,https://www.espn.com/soccer/match/_/gameId/762592/senegal-united-states,+175,+150,+225
660,United States,2025-03-23,Canada,away,1,2,723671,https://www.espn.com/soccer/match/_/gameId/723671/united-states-canada,+130,+195,+225
660,United States,2025-06-29,Costa Rica,home,2,2,735342,https://www.espn.com/soccer/match/_/gameId/735342/costa-rica-united-states,,,
660,United States,2025-06-22,Haiti,home,2,1,735335,https://www.espn.com/soccer/match/_/gameId/735335/haiti-united-states,-200,+475,+340
660,United States,2025-06-15,Trinidad and Tobago,home,5,0,735319,https://www.espn.com/soccer/match/_/gameId/735319/trinidad-and-tobago-united-states,-1429,+2500,+1200
660,United States,2025-07-06,Mexico,home,1,2,735348,https://www.espn.com/soccer/match/_/gameId/735348/mexico-united-states,,,
660,United States,2025-09-06,South Korea,home,0,2,735765,https://www.espn.com/soccer/match/_/gameId/735765/south-korea-united-states,+115,+225,+230
660,United States,2024-10-13,Panama,home,2,0,707617,https://www.espn.com/soccer/match/_/gameId/707617/panama-united-states,,,
660,United States,2025-11-15,Paraguay,home,2,1,758376,https://www.espn.com/soccer/match/_/gameId/758376/paraguay-united-states,-105,+300,+240
660,United States,2026-03-28,Belgium,home,2,5,762258,https://www.espn.com/soccer/match/_/gameId/762258/belgium-united-states,+200,+110,+260
660,United States,2025-06-07,Türkiye,home,1,2,734219,https://www.espn.com/soccer/match/_/gameId/734219/turkiye-united-states,+155,+140,+220
660,United States,2025-01-18,Venezuela,home,3,1,723617,https://www.espn.com/soccer/match/_/gameId/723617/venezuela-united-states,-161,+425,+275
660,United States,2024-11-19,Jamaica,home,4,2,721468,https://www.espn.com/soccer/match/_/gameId/721468/jamaica-united-states,,,
660,United States,2025-10-11,Ecuador,home,1,1,753161,https://www.espn.com/soccer/match/_/gameId/753161/ecuador-united-states,+140,+195,+210
212,Uruguay,2024-07-11,Colombia,home,0,1,703951,https://www.espn.com/soccer/match/_/gameId/703951/colombia-uruguay,+110,+250,+220
212,Uruguay,2025-09-09,Chile,away,0,0,684664,https://www.espn.com/soccer/match/_/gameId/684664/uruguay-chile,-118,+350,+240
212,Uruguay,2024-09-10,Venezuela,away,0,0,684617,https://www.espn.com/soccer/match/_/gameId/684617/uruguay-venezuela,+475,-159,+250
212,Uruguay,2024-10-15,Ecuador,home,0,0,684627,https://www.espn.com/soccer/match/_/gameId/684627/ecuador-uruguay,-137,+475,+230
212,Uruguay,2024-11-20,Brazil,away,1,1,684635,https://www.espn.com/soccer/match/_/gameId/684635/uruguay-brazil,+550,-161,+260
212,Uruguay,2025-11-19,United States,away,1,5,758377,https://www.espn.com/soccer/match/_/gameId/758377/uruguay-united-states,+125,+220,+210
