Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
F1,08/08/14,Reims,Paris SG,2,2,2,1,850,350,-278,-115,112,1.5
F1,09/08/14,Bastia,Marseille,3,3,1,2,290,210,105,126,-137,0.5
F1,09/08/14,Evian Thonon Gaillard,Caen,0,3,0,3,138,220,200,145,-143,-0.25
F1,09/08/14,Guingamp,St Etienne,0,2,0,1,230,210,130,162,-167,0.25
F1,09/08/14,Lille,Metz,0,0,0,0,-200,310,550,133,-133,-1
F1,09/08/14,Montpellier,Bordeaux,0,1,0,1,130,210,220,154,-161,-0.25
F1,09/08/14,Nantes,Lens,1,0,0,0,100,225,290,145,-149,-0.5
F1,09/08/14,Nice,Toulouse,3,2,1,2,163,210,175,162,-156,0
F1,10/08/14,Lyon,Rennes,2,0,0,0,-125,240,375,122,-123,-0.5
F1,10/08/14,Monaco,Lorient,1,2,0,1,-250,333,750,-106,-101,-1.25
F1,15/08/14,Caen,Lille,0,1,0,0,260,210,115,154,-161,0.5
F1,16/08/14,Lens,Guingamp,0,1,0,0,188,200,163,154,-154,0
F1,16/08/14,Lorient,Nice,0,0,0,0,-133,240,400,132,-143,-0.75
F1,16/08/14,Metz,Nantes,1,1,1,1,138,200,220,175,-182,-0.25
F1,16/08/14,Paris SG,Bastia,2,0,1,0,-769,700,1800,-200,182,-2
F1,16/08/14,Rennes,Evian Thonon Gaillard,6,2,3,1,-137,250,400,130,-133,-0.5
F1,16/08/14,Toulouse,Lyon,2,1,2,0,150,225,180,132,-125,0
F1,17/08/14,Bordeaux,Monaco,4,1,0,1,180,220,155,127,-132,0
F1,17/08/14,Marseille,Montpellier,0,2,0,1,-182,275,550,115,-111,-1
F1,17/08/14,St Etienne,Reims,3,1,0,1,-200,275,650,123,-118,-1
F1,22/08/14,Evian Thonon Gaillard,Paris SG,0,0,0,0,800,360,-278,-118,118,1.5
F1,23/08/14,Bastia,Toulouse,1,0,1,0,190,210,150,115,-111,0
F1,23/08/14,Guingamp,Marseille,0,1,0,0,190,210,150,138,-143,0
F1,23/08/14,Lille,Lorient,2,0,0,0,-133,240,400,142,-139,-0.75
F1,23/08/14,Montpellier,Metz,2,0,1,0,-118,250,320,150,-154,-0.5
F1,23/08/14,Nice,Bordeaux,1,3,1,1,220,220,130,150,-152,0
F1,23/08/14,Reims,Caen,0,2,0,0,138,225,200,130,-133,0
F1,24/08/14,Lyon,Lens,0,1,0,1,-227,333,600,102,-104,-1
F1,24/08/14,Nantes,Monaco,0,1,0,1,250,230,110,155,-154,0.25
F1,24/08/14,St Etienne,Rennes,0,0,0,0,-137,230,450,120,-125,-0.75
F1,29/08/14,Marseille,Nice,4,0,2,0,-200,300,600,117,-115,-1
F1,30/08/14,Caen,Rennes,0,1,0,0,163,210,175,140,-143,0
F1,30/08/14,Lens,Reims,4,2,1,1,110,220,260,138,-143,-0.25
F1,30/08/14,Lorient,Guingamp,4,0,0,0,110,220,260,165,-167,-0.25
F1,30/08/14,Monaco,Lille,1,1,0,1,-105,220,320,154,-154,-0.5
F1,30/08/14,Nantes,Montpellier,1,0,0,0,125,210,240,159,-154,-0.25
F1,30/08/14,Toulouse,Evian Thonon Gaillard,1,0,0,0,-133,240,400,110,-114,-0.75
F1,31/08/14,Bordeaux,Bastia,1,1,0,1,-161,260,500,120,-118,-1
F1,31/08/14,Metz,Lyon,2,1,0,0,180,210,160,-200,190,0
F1,31/08/14,Paris SG,St Etienne,5,0,2,0,-189,280,550,102,-108,-1
F1,12/09/14,Lyon,Monaco,2,1,1,1,150,210,190,141,-133,0
F1,13/09/14,Bastia,Lens,1,1,0,1,-105,220,320,138,-139,-0.5
F1,13/09/14,Montpellier,Lorient,1,0,1,0,105,210,290,150,-161,-0.5
F1,13/09/14,Nice,Metz,1,0,0,0,125,210,240,156,-167,-0.25
F1,13/09/14,Reims,Toulouse,2,0,1,0,188,230,140,123,-123,0
F1,13/09/14,Rennes,Paris SG,1,1,0,1,600,300,-200,-114,108,1
F1,13/09/14,St Etienne,Caen,1,0,0,0,-154,260,450,108,-112,-1
F1,14/09/14,Evian Thonon Gaillard,Marseille,1,3,0,2,280,210,110,125,-125,0.25
F1,14/09/14,Guingamp,Bordeaux,2,1,2,0,175,188,180,176,-189,0
F1,14/09/14,Lille,Nantes,2,0,0,0,-137,240,425,174,-182,-0.75
F1,19/09/14,Bordeaux,Evian Thonon Gaillard,2,1,1,0,-189,280,550,108,-114,-1
F1,20/09/14,Lorient,Reims,0,1,0,0,-133,240,400,122,-119,-0.5
F1,20/09/14,Marseille,Rennes,3,0,0,0,-175,275,500,112,-114,-1
F1,20/09/14,Metz,Bastia,3,1,1,1,120,220,240,152,-164,-0.25
F1,20/09/14,Nantes,Nice,2,1,2,0,-120,225,375,151,-161,-0.5
F1,20/09/14,Toulouse,Caen,3,3,1,1,125,210,240,133,-143,-0.25
F1,21/09/14,Lens,St Etienne,0,1,0,0,240,225,115,134,-143,0.25
F1,21/09/14,Lille,Montpellier,0,0,0,0,-125,240,375,154,-154,-0.75
F1,21/09/14,Monaco,Guingamp,1,0,1,0,-175,270,550,122,-120,-1
F1,21/09/14,Paris SG,Lyon,1,1,1,0,-303,400,800,-137,133,-1.5
F1,23/09/14,Reims,Marseille,0,5,0,2,300,230,-105,115,-120,0.5
F1,23/09/14,Rennes,Toulouse,0,3,0,1,125,225,225,119,-125,-0.25
F1,24/09/14,Bastia,Nantes,0,0,0,0,140,220,200,154,-164,-0.25
F1,24/09/14,Caen,Paris SG,0,2,0,1,550,320,-200,-103,102,1
F1,24/09/14,Evian Thonon Gaillard,Lens,2,1,2,0,110,225,260,128,-135,-0.25
F1,24/09/14,Guingamp,Metz,0,1,0,1,105,230,260,154,-161,-0.5
F1,24/09/14,Lyon,Lorient,4,0,2,0,-137,240,425,122,-125,-0.75
F1,24/09/14,Montpellier,Monaco,0,1,0,0,200,220,138,146,-154,0
F1,24/09/14,Nice,Lille,1,0,1,0,260,220,110,146,-167,0.25
F1,25/09/14,St Etienne,Bordeaux,1,1,1,1,105,230,260,136,-147,-0.5
F1,27/09/14,Lille,Bastia,1,0,1,0,-189,280,550,150,-149,-1
F1,27/09/14,Lorient,Evian Thonon Gaillard,0,2,0,1,-118,240,333,120,-118,-0.5
F1,27/09/14,Metz,Reims,3,0,0,0,100,220,300,143,-154,-0.5
F1,27/09/14,Monaco,Nice,0,1,0,1,-200,300,600,110,-118,-1
F1,27/09/14,Montpellier,Guingamp,2,1,0,0,100,220,300,150,-159,-0.5
F1,27/09/14,Toulouse,Paris SG,1,1,1,1,425,260,-149,-103,-103,0.75
F1,28/09/14,Bordeaux,Rennes,2,1,0,0,-137,250,400,120,-119,-0.75
F1,28/09/14,Lens,Caen,0,0,0,0,180,220,150,125,-133,0
F1,28/09/14,Marseille,St Etienne,2,1,2,0,-118,250,320,115,-116,-0.75
F1,28/09/14,Nantes,Lyon,1,1,0,0,175,210,163,144,-147,0
F1,03/10/14,Reims,Bordeaux,1,0,1,0,280,220,105,131,-137,0.25
F1,04/10/14,Bastia,Lorient,0,2,0,0,115,210,260,136,-145,-0.5
F1,04/10/14,Caen,Marseille,1,2,0,0,300,230,-105,115,-120,0.5
F1,04/10/14,Evian Thonon Gaillard,Metz,3,0,0,0,138,210,210,137,-143,0
F1,04/10/14,Nice,Montpellier,1,1,0,0,130,210,220,150,-161,0
F1,04/10/14,Rennes,Lens,2,0,0,0,-120,240,350,125,-133,-0.5
F1,05/10/14,Guingamp,Nantes,0,1,0,1,150,200,200,186,-200,0
F1,05/10/14,Lyon,Lille,3,0,2,0,110,210,280,161,-167,-0.5
F1,05/10/14,Paris SG,Monaco,1,1,0,0,-227,320,650,-105,-102,-1
F1,05/10/14,St Etienne,Toulouse,0,1,0,1,-125,240,375,125,-125,-0.5
F1,17/10/14,Lens,Paris SG,1,3,1,2,900,360,-303,-109,106,1.5
F1,18/10/14,Lille,Guingamp,1,2,0,1,-154,260,450,182,-189,-0.75
F1,18/10/14,Lorient,St Etienne,0,1,0,0,210,210,138,142,-152,0
