Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
F1,16/08/2024,19:45,Le Havre,Paris SG,1,4,0,1,600,375,-238,-161,130,1.25
F1,17/08/2024,16:00,Brest,Marseille,1,5,1,3,200,230,140,-112,101,0.25
F1,17/08/2024,18:00,Reims,Lille,0,2,0,1,230,240,120,-101,-110,0
F1,17/08/2024,20:00,Monaco,St Etienne,1,0,1,0,-208,350,525,-175,138,-1.5
F1,18/08/2024,14:00,Auxerre,Nice,2,1,1,1,210,225,135,120,-149,0.25
F1,18/08/2024,16:00,Angers,Lens,0,1,0,1,475,280,-161,-109,-102,1
F1,18/08/2024,16:00,Montpellier,Strasbourg,1,1,0,0,100,230,275,-102,-109,-0.25
F1,18/08/2024,16:00,Toulouse,Nantes,0,0,0,0,110,230,270,120,-149,-0.25
F1,18/08/2024,19:45,Rennes,Lyon,3,0,2,0,135,250,190,-125,100,-0.25
F1,23/08/2024,19:45,Paris SG,Montpellier,6,0,2,0,-400,600,900,-303,240,-2
F1,24/08/2024,16:00,Lyon,Monaco,0,2,0,0,150,280,160,-200,163,0
F1,24/08/2024,18:00,Lille,Angers,2,0,1,0,-278,375,800,-102,-109,-1.25
F1,24/08/2024,20:00,St Etienne,Le Havre,0,2,0,0,110,240,250,110,-137,-0.5
F1,25/08/2024,14:00,Lens,Brest,2,0,2,0,-125,270,350,102,-114,-0.5
F1,25/08/2024,16:00,Nantes,Auxerre,2,0,1,0,125,230,225,110,-137,0
F1,25/08/2024,16:00,Nice,Toulouse,1,1,0,0,-118,240,350,105,-118,-0.25
F1,25/08/2024,16:00,Strasbourg,Rennes,3,1,1,0,210,250,125,-116,104,0.25
F1,25/08/2024,19:45,Marseille,Reims,2,2,1,0,-189,350,450,-161,130,-1.5
F1,30/08/2024,19:45,Lyon,Strasbourg,4,3,1,1,-118,275,300,-137,110,-0.5
F1,31/08/2024,16:00,Brest,St Etienne,4,0,2,0,-125,280,333,107,-120,-0.75
F1,31/08/2024,18:00,Montpellier,Nantes,1,3,1,2,125,240,220,104,-116,-0.25
F1,31/08/2024,20:00,Toulouse,Marseille,1,3,0,2,280,280,-111,-125,100,0.25
F1,01/09/2024,14:00,Monaco,Lens,1,1,0,0,-118,290,290,-175,138,-0.5
F1,01/09/2024,16:00,Angers,Nice,1,4,0,2,300,230,100,130,-161,0.5
F1,01/09/2024,16:00,Le Havre,Auxerre,3,1,1,1,175,230,160,110,-137,0
F1,01/09/2024,16:00,Reims,Rennes,2,1,1,1,190,250,138,-120,107,0.25
F1,01/09/2024,19:45,Lille,Paris SG,1,3,0,2,290,280,-118,-137,110,0.75
F1,13/09/2024,19:45,St Etienne,Lille,1,0,1,0,450,260,-143,-109,-102,0.75
F1,14/09/2024,16:00,Marseille,Nice,2,0,1,0,-143,290,350,-137,110,-0.5
F1,14/09/2024,18:00,Auxerre,Monaco,0,3,0,2,290,275,-118,-200,163,0.75
F1,14/09/2024,20:00,Paris SG,Brest,3,1,1,1,-370,500,900,-227,175,-1.75
F1,15/09/2024,14:00,Rennes,Montpellier,3,0,2,0,-161,300,425,-161,130,-1.25
F1,15/09/2024,16:00,Nantes,Reims,1,2,1,1,138,240,200,-101,-110,-0.25
F1,15/09/2024,16:00,Strasbourg,Angers,1,1,1,0,-143,280,425,-103,-108,-0.75
F1,15/09/2024,16:00,Toulouse,Le Havre,2,0,0,0,-125,260,350,102,-114,-0.5
F1,15/09/2024,19:45,Lens,Lyon,0,0,0,0,-125,275,333,-137,110,-0.75
F1,20/09/2024,19:45,Nice,St Etienne,8,0,6,0,-189,310,550,-108,-103,-1
F1,21/09/2024,16:00,Lille,Strasbourg,3,3,2,2,-143,300,375,-115,103,-1
F1,21/09/2024,18:00,Rennes,Lens,1,1,1,0,135,240,200,100,-125,-0.25
F1,21/09/2024,20:00,Reims,Paris SG,1,1,1,0,550,375,-227,-189,150,1.25
F1,22/09/2024,14:00,Monaco,Le Havre,3,1,1,1,-278,375,750,-175,138,-1.25
F1,22/09/2024,16:00,Angers,Nantes,1,1,1,1,220,230,130,130,-161,0.25
F1,22/09/2024,16:00,Brest,Toulouse,2,0,1,0,115,250,240,100,-111,0
F1,22/09/2024,16:00,Montpellier,Auxerre,3,2,0,1,130,230,220,-137,110,-0.25
F1,22/09/2024,19:45,Lyon,Marseille,2,3,0,0,190,280,120,-175,138,0.25
F1,27/09/2024,18:00,Auxerre,Brest,3,0,2,0,175,240,155,-108,-103,0.25
F1,27/09/2024,20:00,Paris SG,Rennes,3,1,1,0,-263,425,650,-175,138,-1.25
F1,28/09/2024,16:00,Lens,Nice,0,0,0,0,105,240,275,110,-137,-0.5
F1,28/09/2024,18:00,Le Havre,Lille,0,3,0,2,375,270,-133,108,-122,0.5
F1,28/09/2024,20:00,Monaco,Montpellier,2,1,1,1,-303,450,650,-227,170,-1.75
F1,29/09/2024,14:00,Toulouse,Lyon,1,2,1,1,145,240,188,-119,106,-0.25
F1,29/09/2024,16:00,Angers,Reims,1,3,0,2,260,220,120,108,-137,0.25
F1,29/09/2024,16:00,Nantes,St Etienne,2,2,1,0,-137,280,375,102,-114,-0.75
F1,29/09/2024,19:45,Strasbourg,Marseille,1,0,1,0,240,290,100,-175,135,0.25
F1,04/10/2024,19:45,Marseille,Angers,1,1,0,0,-400,500,1100,-189,150,-1.75
F1,05/10/2024,16:00,St Etienne,Auxerre,3,1,1,0,170,240,160,-110,-101,0.25
F1,05/10/2024,18:00,Lille,Toulouse,2,1,0,1,-137,310,350,-119,106,-0.75
F1,05/10/2024,20:00,Rennes,Monaco,1,2,1,2,170,250,155,-161,130,0
F1,06/10/2024,14:00,Lyon,Nantes,2,0,1,0,-133,260,375,-137,110,-0.75
F1,06/10/2024,16:00,Brest,Le Havre,2,0,1,0,-125,260,350,110,-137,-0.5
F1,06/10/2024,16:00,Reims,Montpellier,4,2,2,1,-125,280,333,-161,130,-0.75
F1,06/10/2024,16:00,Strasbourg,Lens,2,2,1,2,200,230,140,-109,-102,0
F1,06/10/2024,19:45,Nice,Paris SG,1,1,1,0,375,300,-143,-137,110,1
F1,18/10/2024,19:45,Monaco,Lille,0,0,0,0,-110,260,280,-149,120,-0.5
F1,19/10/2024,16:00,Brest,Rennes,1,1,0,0,190,225,150,104,-116,0
F1,19/10/2024,18:00,St Etienne,Lens,0,2,0,1,425,275,-149,-105,-105,1
F1,19/10/2024,20:00,Paris SG,Strasbourg,4,2,1,0,-370,475,900,-303,220,-1.75
F1,20/10/2024,14:00,Le Havre,Lyon,0,4,0,1,275,250,100,-137,110,0.75
F1,20/10/2024,16:00,Auxerre,Reims,2,1,1,0,163,240,160,-137,110,0.25
F1,20/10/2024,16:00,Nantes,Nice,1,1,0,0,225,210,138,120,-149,0
F1,20/10/2024,16:00,Toulouse,Angers,1,1,0,1,-175,275,550,100,-125,-1
F1,20/10/2024,19:45,Montpellier,Marseille,0,5,0,3,333,300,-137,-189,150,0.75
F1,25/10/2024,19:45,Rennes,Le Havre,1,0,0,0,-222,300,650,-105,-105,-1
F1,26/10/2024,16:00,Angers,St Etienne,4,2,2,1,145,230,190,110,-137,-0.25
F1,26/10/2024,18:00,Reims,Brest,1,2,1,2,115,250,225,-119,106,-0.5
F1,26/10/2024,20:00,Lens,Lille,0,2,0,0,130,240,210,102,-114,-0.25
F1,27/10/2024,14:00,Lyon,Auxerre,2,2,1,0,-208,400,450,-227,175,-1.25
F1,27/10/2024,16:00,Montpellier,Toulouse,0,3,0,3,210,260,120,-137,110,0.25
F1,27/10/2024,16:00,Nice,Monaco,2,1,1,1,220,250,120,-125,100,0.5
F1,27/10/2024,16:00,Strasbourg,Nantes,3,1,1,0,-118,260,320,-116,-109,-0.5
F1,27/10/2024,19:45,Marseille,Paris SG,0,3,0,3,290,270,-111,-189,150,0.5
F1,01/11/2024,18:00,Monaco,Angers,0,1,0,1,-455,550,1100,-227,175,-1.75
F1,01/11/2024,20:00,Lille,Lyon,1,1,1,0,115,275,210,-161,130,-0.25
F1,02/11/2024,16:00,Paris SG,Lens,1,0,1,0,-238,400,525,-189,150,-1.25
F1,02/11/2024,18:00,Brest,Nice,0,1,0,1,163,225,175,120,-149,0
F1,02/11/2024,20:00,St Etienne,Strasbourg,2,0,0,0,280,270,-110,-161,130,0.5
F1,03/11/2024,14:00,Toulouse,Reims,1,0,0,0,100,250,275,-109,-102,-0.5
F1,03/11/2024,16:00,Auxerre,Rennes,4,0,2,0,250,260,105,-125,100,0.25
F1,03/11/2024,16:00,Le Havre,Montpellier,1,0,0,0,120,250,220,-111,100,-0.25
F1,03/11/2024,19:45,Nantes,Marseille,1,2,1,1,270,250,105,-103,-108,0.25
F1,08/11/2024,19:45,Marseille,Auxerre,1,3,0,3,-250,400,650,-200,163,-1.25
F1,09/11/2024,16:00,Strasbourg,Monaco,1,3,1,0,240,270,100,-175,138,0.5
F1,09/11/2024,18:00,Lens,Nantes,3,2,1,1,-167,290,475,107,-120,-0.75
F1,09/11/2024,20:00,Angers,Paris SG,2,4,0,4,1100,525,-455,-250,200,1.75
F1,10/11/2024,14:00,Nice,Lille,2,2,0,1,155,220,190,110,-137,-0.25
F1,10/11/2024,16:00,Le Havre,Reims,0,3,0,2,230,220,130,110,-137,0.25
F1,10/11/2024,16:00,Montpellier,Brest,3,1,2,0,225,250,120,-125,100,0
F1,10/11/2024,16:00,Rennes,Toulouse,0,2,0,2,115,240,240,100,-125,-0.25
F1,10/11/2024,19:45,Lyon,St Etienne,1,0,1,0,-303,450,700,-250,200,-1.5
F1,22/11/2024,18:00,Monaco,Brest,3,2,2,0,-200,333,550,-137,110,-1
F1,22/11/2024,20:00,Paris SG,Toulouse,3,0,1,0,-278,450,600,-200,163,-1.25
F1,23/11/2024,16:00,Lens,Marseille,1,3,0,0,125,250,210,-137,110,-0.25
F1,23/11/2024,18:00,St Etienne,Montpellier,1,0,0,0,130,260,190,-137,110,-0.25
F1,23/11/2024,20:00,Reims,Lyon,1,1,0,1,175,275,135,-175,138,0.25
F1,24/11/2024,14:00,Lille,Rennes,1,0,1,0,-110,260,290,-109,-102,-0.5
F1,24/11/2024,16:00,Auxerre,Angers,1,0,0,0,-125,270,333,-125,100,-0.75
F1,24/11/2024,16:00,Nantes,Le Havre,0,2,0,1,-118,240,350,130,-161,-0.5
F1,24/11/2024,19:45,Nice,Strasbourg,2,1,0,1,-133,260,375,-125,100,-0.75
F1,29/11/2024,19:45,Reims,Lens,0,2,0,1,210,230,130,100,-111,0.25
F1,30/11/2024,16:00,Rennes,St Etienne,5,0,2,0,-208,375,500,-137,110,-1
F1,30/11/2024,18:00,Brest,Strasbourg,3,1,2,0,120,240,230,-111,100,-0.25
F1,30/11/2024,20:00,Paris SG,Nantes,1,1,1,1,-455,600,1000,-250,200,-2
F1,01/12/2024,14:00,Montpellier,Lille,2,2,1,1,350,260,-125,-137,110,0.75
F1,01/12/2024,16:00,Le Havre,Angers,0,1,0,0,130,220,230,120,-149,-0.25
F1,01/12/2024,16:00,Lyon,Nice,4,1,3,1,-110,280,270,-149,120,-0.75
F1,01/12/2024,16:00,Toulouse,Auxerre,2,0,2,0,-143,260,425,-137,110,-0.75
F1,01/12/2024,19:45,Marseille,Monaco,2,1,0,1,163,240,163,-175,138,0
F1,06/12/2024,18:00,Lille,Brest,3,1,2,0,-154,260,500,110,-137,-0.75
F1,06/12/2024,20:00,Auxerre,Paris SG,0,0,0,0,800,475,-333,-278,220,1.75
F1,07/12/2024,16:00,Monaco,Toulouse,2,0,0,0,-143,280,400,-137,110,-0.5
F1,07/12/2024,18:00,Nice,Le Havre,2,1,0,0,-167,275,500,-102,-109,-1
F1,07/12/2024,20:00,Angers,Lyon,0,3,0,1,400,300,-149,-161,130,1
F1,08/12/2024,14:00,Lens,Montpellier,2,0,1,0,-278,425,650,-175,138,-1.25
F1,08/12/2024,16:00,Nantes,Rennes,1,0,0,0,200,225,140,120,-149,0.25
F1,08/12/2024,16:00,Strasbourg,Reims,0,0,0,0,138,230,200,-137,110,0
F1,08/12/2024,19:45,St Etienne,Marseille,0,2,0,1,425,290,-154,-137,110,1
