Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
F1,28/09/13,Lorient,Marseille,0,2,0,0,188,220,150,130,-139,0
F1,28/09/13,Lyon,Lille,0,0,0,0,125,220,225,144,-149,-0.25
F1,28/09/13,Nice,Guingamp,1,0,0,0,-105,225,320,138,-135,-0.5
F1,28/09/13,Paris SG,Toulouse,2,0,1,0,-400,450,1100,-128,125,-1.5
F1,28/09/13,Sochaux,Valenciennes,2,0,2,0,130,220,210,156,-154,0
F1,28/09/13,St Etienne,Bastia,2,2,1,0,-175,275,525,120,-118,-1
F1,29/09/13,Ajaccio,Montpellier,1,1,1,1,210,225,130,152,-143,0
F1,29/09/13,Reims,Monaco,1,1,1,1,450,275,-161,112,-111,1
F1,29/09/13,Rennes,Nantes,1,3,0,2,115,220,250,138,-147,-0.5
F1,04/10/13,Bastia,Lorient,4,1,2,1,138,210,210,120,-118,0
F1,05/10/13,Guingamp,Rennes,2,0,0,0,115,210,260,145,-147,-0.25
F1,05/10/13,Lille,Ajaccio,3,0,1,0,-303,375,900,105,-105,-1.5
F1,05/10/13,Monaco,St Etienne,2,1,1,0,-189,275,600,-104,100,-1
F1,05/10/13,Nantes,Evian Thonon Gaillard,3,0,2,0,-120,240,350,127,-128,-0.75
F1,05/10/13,Toulouse,Nice,1,0,1,0,-105,230,300,140,-143,-0.5
F1,05/10/13,Valenciennes,Reims,1,1,0,1,120,210,250,140,-135,-0.25
F1,06/10/13,Bordeaux,Sochaux,4,1,2,1,-175,260,550,140,-125,-1
F1,06/10/13,Marseille,Paris SG,1,2,1,1,300,240,-110,118,-122,0.5
F1,06/10/13,Montpellier,Lyon,5,1,2,0,130,220,210,138,-143,-0.25
F1,18/10/13,Nice,Marseille,1,0,1,0,163,210,175,130,-137,0
F1,18/10/13,Reims,Toulouse,1,2,0,1,160,210,180,145,-145,0
F1,19/10/13,Ajaccio,Nantes,0,1,0,0,210,210,138,151,-159,0
F1,19/10/13,Evian Thonon Gaillard,Guingamp,1,2,1,0,125,220,225,111,-114,0
F1,19/10/13,Montpellier,Lille,0,1,0,1,188,220,150,125,-125,0
F1,19/10/13,Paris SG,Bastia,4,0,2,0,-500,500,1400,-161,162,-2
F1,19/10/13,Rennes,Valenciennes,2,2,1,0,-125,240,375,115,-116,-0.5
F1,20/10/13,Lyon,Bordeaux,1,1,0,0,110,230,250,125,-130,-0.5
F1,20/10/13,Sochaux,Monaco,2,2,0,2,700,300,-227,107,-111,1
F1,20/10/13,St Etienne,Lorient,3,2,2,1,-167,275,475,102,-106,-1
F1,25/10/13,Nantes,Lille,0,1,0,1,180,210,163,157,-167,0
F1,26/10/13,Bastia,Nice,1,0,1,0,138,210,210,127,-137,-0.25
F1,26/10/13,Guingamp,Ajaccio,2,1,0,1,-133,240,400,132,-149,-0.5
F1,26/10/13,Lorient,Sochaux,2,1,1,0,-133,240,400,120,-123,-0.75
F1,26/10/13,Marseille,Reims,2,3,0,2,-175,260,550,125,-130,-1
F1,26/10/13,Toulouse,Rennes,0,5,0,3,100,220,300,134,-149,-0.5
F1,26/10/13,Valenciennes,Evian Thonon Gaillard,0,1,0,0,100,230,280,125,-137,-0.5
F1,27/10/13,Bordeaux,Montpellier,2,0,0,0,110,220,260,140,-154,-0.5
F1,27/10/13,Monaco,Lyon,2,1,2,0,-250,333,750,-111,107,-1
F1,27/10/13,St Etienne,Paris SG,2,2,1,0,400,250,-137,102,-106,0.75
F1,01/11/13,Paris SG,Lorient,4,0,3,0,-556,550,1400,-154,150,-2
F1,02/11/13,Ajaccio,Valenciennes,1,3,1,1,150,210,190,155,-172,0
F1,02/11/13,Evian Thonon Gaillard,Toulouse,2,1,0,0,160,210,180,130,-139,0
F1,02/11/13,Lyon,Guingamp,2,0,2,0,-125,250,350,132,-145,-0.5
F1,02/11/13,Reims,Bastia,4,2,2,0,110,225,250,150,-149,-0.5
F1,02/11/13,Rennes,Marseille,1,1,1,1,150,210,190,122,-128,0
F1,02/11/13,Sochaux,St Etienne,0,0,0,0,320,225,-110,115,-115,0.5
F1,03/11/13,Lille,Monaco,2,0,1,0,210,210,140,130,-141,0
F1,03/11/13,Montpellier,Nantes,1,1,0,1,120,210,250,150,-167,-0.25
F1,03/11/13,Nice,Bordeaux,1,2,0,1,138,210,210,146,-161,0
F1,08/11/13,Monaco,Evian Thonon Gaillard,1,1,1,1,-345,400,1000,-130,130,-1.5
F1,09/11/13,Bastia,Rennes,1,0,1,0,138,220,200,117,-123,0
F1,09/11/13,Guingamp,Lille,0,0,0,0,225,210,130,143,-149,0.25
F1,09/11/13,Lorient,Reims,0,0,0,0,-110,230,320,127,-135,-0.5
F1,09/11/13,Paris SG,Nice,3,1,1,0,-455,450,1400,-143,133,-1.5
F1,09/11/13,Toulouse,Ajaccio,1,1,1,1,-175,280,500,125,-130,-1
F1,09/11/13,Valenciennes,Montpellier,1,1,1,0,160,210,180,145,-149,0
F1,10/11/13,Bordeaux,Nantes,0,3,0,1,115,220,250,163,-167,-0.5
F1,10/11/13,Marseille,Sochaux,2,1,1,0,-227,320,650,102,-111,-1
F1,10/11/13,St Etienne,Lyon,1,2,0,0,105,220,275,110,-118,-0.5
F1,22/11/13,Ajaccio,Marseille,1,3,1,2,320,230,-110,138,-145,0.25
F1,23/11/13,Evian Thonon Gaillard,Lorient,0,4,0,2,110,220,260,120,-130,-0.5
F1,23/11/13,Lyon,Valenciennes,1,1,1,0,-175,280,500,105,-111,-1
F1,23/11/13,Montpellier,Guingamp,1,1,0,0,-110,230,320,143,-149,-0.5
F1,23/11/13,Reims,Paris SG,0,3,0,1,600,333,-227,100,-106,1
F1,23/11/13,Rennes,Bordeaux,1,1,0,0,140,210,210,122,-132,0
F1,23/11/13,Sochaux,Bastia,1,1,0,1,140,210,210,128,-137,0
F1,24/11/13,Lille,Toulouse,1,0,0,0,-161,250,525,131,-135,-1
F1,24/11/13,Nantes,Monaco,0,1,0,0,240,210,125,138,-149,0.5
F1,24/11/13,Nice,St Etienne,0,1,0,1,180,220,155,129,-137,0
F1,29/11/13,Marseille,Montpellier,2,0,1,0,-118,230,350,110,-118,-0.5
F1,30/11/13,Guingamp,Nantes,1,0,0,0,150,188,220,163,-167,0
F1,30/11/13,Lorient,Nice,3,0,1,0,100,210,320,138,-147,-0.5
F1,30/11/13,Monaco,Rennes,2,0,2,0,-189,300,500,101,100,-1
F1,30/11/13,St Etienne,Reims,4,0,0,0,-161,275,450,122,-127,-1
F1,30/11/13,Toulouse,Sochaux,5,1,2,1,-137,250,400,125,-130,-0.75
