Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
F1,10/08/2018,Marseille,Toulouse,4,0,1,0,-250,350,700,-130,119,-1.25
F1,11/08/2018,Angers,Nimes,3,4,1,1,130,220,230,130,-137,-0.25
F1,11/08/2018,Lille,Rennes,3,1,1,1,150,210,210,135,-137,0
F1,11/08/2018,Montpellier,Dijon,1,2,1,0,-139,250,450,123,-130,-1
F1,11/08/2018,Nantes,Monaco,1,3,0,0,220,225,130,114,-123,0.25
F1,11/08/2018,Nice,Reims,0,1,0,1,-118,250,350,111,-119,-0.75
F1,11/08/2018,St Etienne,Guingamp,2,1,1,0,-125,250,375,110,-118,-0.75
F1,12/08/2018,Bordeaux,Strasbourg,0,2,0,0,-143,260,400,117,-125,-0.75
F1,12/08/2018,Lyon,Amiens,2,0,1,0,-500,600,1200,-182,164,-2
F1,12/08/2018,Paris SG,Caen,3,0,2,0,-1250,1100,2200,-333,295,-2.75
F1,17/08/2018,Reims,Lyon,1,0,1,0,375,300,-143,-132,121,1
F1,18/08/2018,Amiens,Montpellier,1,2,0,0,220,200,150,182,-200,0.25
F1,18/08/2018,Caen,Nice,1,1,0,0,175,210,175,155,-169,0.25
F1,18/08/2018,Dijon,Nantes,2,0,1,0,160,225,180,119,-123,0
F1,18/08/2018,Guingamp,Paris SG,1,3,1,0,1200,600,-500,-196,180,2
F1,18/08/2018,Monaco,Lille,0,0,0,0,-200,333,550,-149,136,-1
F1,18/08/2018,Rennes,Angers,1,0,0,0,-111,230,350,139,-152,-0.75
F1,19/08/2018,Nimes,Marseille,3,1,1,0,375,280,-139,-147,135,0.75
F1,19/08/2018,Strasbourg,St Etienne,1,1,0,0,160,220,180,122,-133,0
F1,19/08/2018,Toulouse,Bordeaux,2,1,1,0,160,210,190,150,-161,0
F1,24/08/2018,Lyon,Strasbourg,2,0,1,0,-357,475,1000,-179,164,-1.75
F1,25/08/2018,Amiens,Reims,4,1,1,0,160,225,180,158,-169,0
F1,25/08/2018,Montpellier,St Etienne,0,0,0,0,140,210,220,155,-164,-0.25
F1,25/08/2018,Nantes,Caen,1,1,0,1,-105,225,333,157,-169,-0.25
F1,25/08/2018,Nice,Dijon,0,4,0,0,-111,240,333,-109,103,-0.75
F1,25/08/2018,Paris SG,Angers,3,1,1,1,-1429,1200,2500,-333,310,-2.75
F1,25/08/2018,Toulouse,Nimes,1,0,0,0,130,220,230,-108,103,-0.25
F1,26/08/2018,Bordeaux,Monaco,2,1,0,0,210,230,137,104,-109,0.25
F1,26/08/2018,Lille,Guingamp,3,0,2,0,100,240,290,105,-115,-0.25
F1,26/08/2018,Marseille,Rennes,2,2,0,2,-200,333,550,-137,127,-1
F1,31/08/2018,Lyon,Nice,0,1,0,0,-303,425,850,-152,144,-1.5
F1,01/09/2018,Angers,Lille,1,0,0,0,145,225,200,128,-137,-0.25
F1,01/09/2018,Dijon,Caen,0,2,0,1,-111,240,333,112,-122,-0.25
F1,01/09/2018,Guingamp,Toulouse,1,2,1,2,104,240,275,112,-119,-0.25
F1,01/09/2018,Nimes,Paris SG,2,4,0,2,1000,600,-455,-286,250,2
F1,01/09/2018,Reims,Montpellier,0,1,0,0,160,210,190,162,-175,0
F1,01/09/2018,Strasbourg,Nantes,2,3,1,2,130,210,240,146,-161,-0.25
F1,02/09/2018,Monaco,Marseille,2,3,0,1,180,230,154,-145,135,0
F1,02/09/2018,Rennes,Bordeaux,2,0,2,0,110,230,275,138,-154,-0.25
F1,02/09/2018,St Etienne,Amiens,0,0,0,0,-164,275,500,121,-128,-1
F1,14/09/2018,Nice,Rennes,2,1,0,0,150,225,180,140,-143,-0.25
F1,14/09/2018,Paris SG,St Etienne,4,0,1,0,-400,500,1000,-182,171,-1.5
F1,15/09/2018,Amiens,Lille,2,3,0,1,240,210,130,148,-143,0.25
