Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
F1,04/08/17,Monaco,Toulouse,3,2,1,1,-333,450,900,-152,141,-1.5
F1,05/08/17,Lyon,Strasbourg,4,0,1,0,-278,400,750,-167,154,-1.25
F1,05/08/17,Metz,Guingamp,1,3,1,1,180,220,163,120,-133,0
F1,05/08/17,Montpellier,Caen,1,0,0,0,-110,250,320,116,-125,-0.5
F1,05/08/17,Paris SG,Amiens,2,0,1,0,-909,800,2400,-250,230,-2.5
F1,05/08/17,St Etienne,Nice,1,0,1,0,120,220,250,150,-149,-0.25
F1,05/08/17,Troyes,Rennes,1,1,0,0,160,210,190,138,-152,0
F1,06/08/17,Angers,Bordeaux,2,2,1,1,150,210,210,156,-175,0
F1,06/08/17,Lille,Nantes,3,0,0,0,100,220,310,145,-159,-0.25
F1,06/08/17,Marseille,Dijon,3,0,0,0,-250,375,700,-141,135,-1.25
F1,11/08/17,Nice,Troyes,1,2,0,0,-189,300,600,-110,108,-1
F1,11/08/17,Rennes,Lyon,1,2,0,0,260,250,100,-119,111,0.5
F1,12/08/17,Amiens,Angers,0,2,0,1,190,210,163,159,-175,0
F1,12/08/17,Bordeaux,Metz,2,0,1,0,-227,320,750,-133,121,-1.25
F1,12/08/17,Caen,St Etienne,0,1,0,0,200,210,150,157,-164,0
F1,12/08/17,Nantes,Marseille,0,1,0,0,250,240,115,111,-116,0.25
F1,12/08/17,Toulouse,Montpellier,1,0,1,0,120,220,250,129,-143,-0.25
F1,13/08/17,Dijon,Monaco,1,4,1,3,600,320,-200,-154,143,1
F1,13/08/17,Guingamp,Paris SG,0,3,0,0,1400,500,-455,-167,151,1.75
F1,13/08/17,Strasbourg,Lille,3,0,0,0,275,230,110,120,-125,0.25
F1,18/08/17,Metz,Monaco,0,1,0,0,900,400,-333,-204,184,1.5
F1,19/08/17,Lyon,Bordeaux,3,3,2,1,-175,333,450,-161,148,-1
F1,19/08/17,Montpellier,Strasbourg,1,1,0,1,-118,250,350,-105,102,-0.5
F1,19/08/17,Nice,Guingamp,2,0,1,0,100,230,300,107,-114,-0.5
F1,19/08/17,Rennes,Dijon,2,2,1,0,-167,290,500,104,-106,-1
F1,19/08/17,St Etienne,Amiens,3,0,2,0,-189,300,600,121,-128,-1
F1,19/08/17,Troyes,Nantes,0,1,0,0,150,210,210,135,-152,0
F1,20/08/17,Lille,Caen,0,2,0,1,-167,280,500,-110,106,-0.75
F1,20/08/17,Marseille,Angers,1,1,1,0,-167,290,475,-109,105,-0.75
F1,20/08/17,Paris SG,Toulouse,6,2,2,1,-1250,1000,3300,-303,250,-2.75
F1,25/08/17,Paris SG,St Etienne,3,0,1,0,-1250,1000,2800,-357,335,-2.75
F1,26/08/17,Amiens,Nice,3,0,2,0,230,220,130,127,-137,0.25
F1,26/08/17,Bordeaux,Troyes,2,1,1,0,-227,350,650,-130,121,-1
F1,26/08/17,Caen,Metz,1,0,0,0,-118,240,375,104,-110,-0.75
F1,26/08/17,Dijon,Montpellier,2,1,1,0,155,220,188,115,-127,0
F1,26/08/17,Nantes,Lyon,0,0,0,0,260,240,110,-115,104,0.5
F1,26/08/17,Toulouse,Rennes,3,2,1,1,130,210,240,136,-149,-0.25
F1,27/08/17,Angers,Lille,1,1,0,0,125,210,250,127,-143,-0.25
F1,27/08/17,Guingamp,Strasbourg,2,0,0,0,-110,240,333,117,-130,-0.5
F1,27/08/17,Monaco,Marseille,6,1,4,0,-161,300,450,-154,144,-1
F1,08/09/17,Lille,Bordeaux,0,0,0,0,200,230,145,107,-112,0
F1,08/09/17,Metz,Paris SG,1,5,1,1,1800,900,-769,-270,255,2.5
F1,09/09/17,Caen,Dijon,2,1,1,1,105,220,300,106,-112,-0.5
F1,09/09/17,Montpellier,Nantes,0,1,0,0,115,220,280,160,-167,-0.25
F1,09/09/17,Nice,Monaco,4,0,2,0,375,260,-125,-141,133,0.5
F1,09/09/17,Strasbourg,Amiens,0,1,0,1,100,220,320,128,-143,-0.5
F1,09/09/17,Troyes,Toulouse,0,0,0,0,188,220,160,122,-128,0
F1,10/09/17,Lyon,Guingamp,2,1,1,0,-250,375,750,-189,163,-1.25
F1,10/09/17,Marseille,Rennes,1,3,0,2,-149,300,400,-119,112,-0.75
F1,10/09/17,St Etienne,Angers,1,1,1,1,115,220,275,166,-175,-0.25
F1,15/09/17,Toulouse,Bordeaux,0,1,0,0,190,210,150,131,-139,0.25
F1,16/09/17,Dijon,St Etienne,0,1,0,0,200,220,150,141,-156,0.25
F1,16/09/17,Guingamp,Lille,1,0,0,0,115,230,250,116,-120,-0.25
F1,16/09/17,Monaco,Strasbourg,3,0,1,0,-556,650,1400,-227,200,-2
F1,16/09/17,Nantes,Caen,1,0,0,0,-105,225,333,153,-164,-0.5
F1,16/09/17,Troyes,Montpellier,0,1,0,1,180,220,170,115,-123,0
F1,17/09/17,Amiens,Marseille,0,2,0,0,300,220,105,116,-119,0.5
F1,17/09/17,Angers,Metz,0,1,0,0,-200,300,650,104,-111,-1
F1,17/09/17,Paris SG,Lyon,2,0,0,0,-588,650,1600,-455,400,-2.25
F1,17/09/17,Rennes,Nice,0,1,0,0,130,220,230,110,-118,-0.25
F1,22/09/17,Lille,Monaco,0,4,0,2,375,280,-143,-118,115,0.75
F1,22/09/17,Nice,Angers,2,2,1,2,-125,250,350,120,-130,-0.5
F1,23/09/17,Bordeaux,Guingamp,3,1,1,0,-137,250,450,102,-109,-0.75
F1,23/09/17,Caen,Amiens,1,0,0,0,-118,230,375,141,-159,-0.75
F1,23/09/17,Lyon,Dijon,3,3,1,1,-345,475,900,-222,200,-1.75
F1,23/09/17,Metz,Troyes,0,1,0,0,100,230,300,112,-119,-0.25
F1,23/09/17,Montpellier,Paris SG,0,0,0,0,1600,650,-588,-185,170,2
F1,24/09/17,Marseille,Toulouse,2,0,1,0,-189,320,550,-122,116,-1
F1,24/09/17,St Etienne,Rennes,2,2,1,1,105,220,300,133,-143,-0.5
F1,24/09/17,Strasbourg,Nantes,1,2,1,2,155,200,210,174,-189,0
