Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
F1,09/08/2019,19:45,Monaco,Lyon,0,3,0,2,200,230,137,-111,-111,0.25
F1,10/08/2019,16:30,Marseille,Reims,0,2,0,0,-152,250,500,100,-125,-0.75
F1,10/08/2019,19:00,Angers,Bordeaux,3,1,3,1,137,210,220,150,-189,-0.25
F1,10/08/2019,19:00,Brest,Toulouse,1,1,1,0,137,220,210,110,-139,-0.5
F1,10/08/2019,19:00,Dijon,St Etienne,1,2,1,2,300,220,105,100,-125,0.25
F1,10/08/2019,19:00,Montpellier,Rennes,0,1,0,1,125,210,250,130,-164,-0.25
F1,10/08/2019,19:00,Nice,Amiens,2,1,1,0,120,200,280,150,-189,-0.25
F1,11/08/2019,14:00,Lille,Nantes,2,1,1,0,-105,230,320,137,-175,-0.25
F1,11/08/2019,16:00,Strasbourg,Metz,1,1,1,0,105,220,300,130,-164,-0.25
F1,11/08/2019,20:00,Paris SG,Nimes,3,0,1,0,-1000,900,2200,-333,250,-3
F1,16/08/2019,19:45,Lyon,Angers,6,0,3,0,-200,333,500,-175,137,-1
F1,17/08/2019,16:30,Nantes,Marseille,0,0,0,0,160,210,190,110,-139,-0.25
F1,17/08/2019,19:00,Amiens,Lille,1,0,0,0,230,210,137,150,-189,0.25
F1,17/08/2019,19:00,Bordeaux,Montpellier,1,1,0,1,162,200,200,150,-189,0
F1,17/08/2019,19:00,Metz,Monaco,3,0,1,0,200,220,150,137,-175,0.25
F1,17/08/2019,19:00,Nimes,Nice,1,2,1,2,110,230,260,100,-125,-0.25
F1,17/08/2019,19:00,Toulouse,Dijon,1,0,0,0,110,210,300,110,-139,-0.5
F1,18/08/2019,14:00,St Etienne,Brest,1,1,0,1,-164,275,500,-125,100,-1
F1,18/08/2019,16:00,Reims,Strasbourg,0,0,0,0,100,220,300,150,-189,-0.5
F1,18/08/2019,20:00,Rennes,Paris SG,2,1,1,1,700,425,-278,-227,175,1.5
F1,24/08/2019,19:00,Amiens,Nantes,1,2,0,0,160,210,180,162,-200,0
F1,24/08/2019,19:00,Angers,Metz,3,0,2,0,110,225,275,137,-175,-0.25
