Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
F1,21/08/2020,18:00,Bordeaux,Nantes,0,0,0,0,140,200,225,200,-250,0
F1,22/08/2020,16:00,Dijon,Angers,0,1,0,1,170,210,180,137,-175,0.25
F1,22/08/2020,20:00,Lille,Rennes,1,1,1,0,130,220,230,130,-164,-0.5
F1,23/08/2020,12:00,Monaco,Reims,2,2,1,2,-111,240,333,120,-152,-0.5
F1,23/08/2020,14:00,Lorient,Strasbourg,3,1,0,1,150,220,200,130,-164,-0.25
F1,23/08/2020,14:00,Nimes,Brest,4,0,2,0,130,220,230,100,-125,-0.25
F1,23/08/2020,16:00,Nice,Lens,2,1,1,1,100,230,300,110,-139,-0.5
F1,28/08/2020,20:00,Lyon,Dijon,4,1,3,1,-357,475,800,-152,120,-1.75
F1,29/08/2020,16:00,Rennes,Montpellier,2,1,1,0,100,230,280,130,-164,-0.5
F1,29/08/2020,20:00,Strasbourg,Nice,0,2,0,1,120,230,230,100,-125,-0.25
F1,30/08/2020,12:00,Reims,Lille,0,1,0,1,200,210,145,150,-189,0
F1,30/08/2020,14:00,Angers,Bordeaux,0,2,0,2,125,210,240,150,-189,-0.25
F1,30/08/2020,14:00,Metz,Monaco,0,1,0,1,275,240,100,100,-125,0.5
F1,30/08/2020,14:00,Nantes,Nimes,2,1,2,0,-105,220,320,130,-164,-0.5
F1,30/08/2020,14:00,St Etienne,Lorient,2,0,1,0,120,220,240,130,-164,-0.25
F1,30/08/2020,20:00,Brest,Marseille,2,3,1,2,200,250,100,-125,100,0.25
F1,10/09/2020,20:00,Lens,Paris SG,1,0,0,0,400,300,-154,-111,-111,0.75
F1,11/09/2020,20:00,Bordeaux,Lyon,0,0,0,0,350,260,-120,100,-125,0.5
F1,12/09/2020,16:00,Montpellier,Nice,3,1,1,0,120,230,240,120,-152,-0.5
F1,12/09/2020,20:00,St Etienne,Strasbourg,2,0,0,0,120,220,250,130,-164,-0.25
F1,13/09/2020,12:00,Lille,Metz,1,0,0,0,-189,275,650,120,-152,-1
F1,13/09/2020,14:00,Angers,Reims,1,0,0,0,137,200,240,200,-250,-0.25
F1,13/09/2020,14:00,Dijon,Brest,0,2,0,1,140,230,200,110,-139,0
F1,13/09/2020,14:00,Lorient,Lens,2,3,1,2,110,230,275,120,-152,-0.25
F1,13/09/2020,14:00,Nimes,Rennes,2,4,1,2,230,230,125,120,-152,0.25
F1,13/09/2020,16:00,Monaco,Nantes,2,1,1,0,-111,260,300,-111,-111,-0.5
F1,13/09/2020,20:00,Paris SG,Marseille,0,1,0,1,100,100,100,100,100,-1.5
F1,15/09/2020,20:00,Montpellier,Lyon,2,1,1,0,280,230,105,100,-125,0.25
F1,16/09/2020,20:00,Paris SG,Metz,1,0,0,0,-400,600,800,-200,162,-1.5
F1,17/09/2020,20:00,Marseille,St Etienne,0,2,0,1,100,230,300,110,-139,-0.5
F1,18/09/2020,20:00,Lyon,Nimes,0,0,0,0,-333,450,900,-189,150,-1.5
F1,19/09/2020,16:00,Lens,Bordeaux,2,1,0,0,130,210,240,130,-164,-0.25
F1,19/09/2020,20:00,Rennes,Monaco,2,1,0,1,135,240,200,-125,100,-0.25
F1,20/09/2020,12:00,Nice,Paris SG,0,3,0,2,650,400,-250,-125,100,1.5
F1,20/09/2020,14:00,Brest,Lorient,3,2,2,1,140,210,220,110,-139,-0.25
F1,20/09/2020,14:00,Metz,Reims,2,1,1,1,155,200,210,200,-250,0
F1,20/09/2020,14:00,Montpellier,Angers,4,1,2,1,110,225,275,130,-164,-0.5
F1,20/09/2020,14:00,Strasbourg,Dijon,1,0,0,0,-154,275,450,110,-139,-1
F1,20/09/2020,16:00,Nantes,St Etienne,2,2,0,1,130,210,240,137,-175,-0.25
F1,20/09/2020,20:00,Marseille,Lille,1,1,0,0,130,220,230,137,-175,-0.25
F1,25/09/2020,20:00,Lille,Nantes,2,0,1,0,-152,275,450,130,-164,-0.75
F1,26/09/2020,16:00,St Etienne,Rennes,0,3,0,1,187,210,160,120,-152,0.25
F1,26/09/2020,20:00,Marseille,Metz,1,1,0,0,-164,275,500,120,-152,-1
F1,27/09/2020,12:00,Bordeaux,Nice,0,0,0,0,110,225,260,130,-164,-0.25
F1,27/09/2020,14:00,Angers,Brest,3,2,1,2,105,230,280,120,-152,-0.25
F1,27/09/2020,14:00,Dijon,Montpellier,2,2,1,0,350,260,-125,-111,-111,0.75
F1,27/09/2020,14:00,Monaco,Strasbourg,3,2,2,0,-118,250,320,-111,-111,-0.75
F1,27/09/2020,14:00,Nimes,Lens,1,1,0,1,160,230,175,100,-125,0.25
F1,27/09/2020,16:00,Lorient,Lyon,1,1,0,0,475,320,-175,-125,100,0.75
F1,27/09/2020,20:00,Reims,Paris SG,0,2,0,1,1200,500,-455,-189,150,2
F1,02/10/2020,20:00,Paris SG,Angers,6,1,2,0,-1000,800,2000,-455,333,-2.75
F1,03/10/2020,16:00,Lens,St Etienne,2,0,1,0,-105,250,320,120,-152,-0.5
F1,03/10/2020,20:00,Nice,Nantes,2,1,1,1,145,225,200,120,-152,-0.25
F1,04/10/2020,12:00,Montpellier,Nimes,0,1,0,0,-152,280,450,-111,-111,-0.75
F1,04/10/2020,14:00,Bordeaux,Dijon,3,0,2,0,-152,280,425,100,-125,-0.75
F1,04/10/2020,14:00,Brest,Monaco,1,0,1,0,210,260,120,-139,110,0.25
F1,04/10/2020,14:00,Metz,Lorient,3,1,1,1,130,220,230,137,-175,-0.25
F1,04/10/2020,14:00,Strasbourg,Lille,0,3,0,1,230,230,125,130,-164,0.25
F1,04/10/2020,16:00,Rennes,Reims,2,2,2,1,-164,275,500,120,-152,-0.75
F1,04/10/2020,20:00,Lyon,Marseille,1,1,1,1,-143,280,400,-111,-111,-0.75
F1,16/10/2020,18:00,Dijon,Rennes,1,1,0,1,425,280,-152,-118,100,0.75
F1,16/10/2020,20:00,Nimes,Paris SG,0,4,0,1,550,400,-250,-175,137,1.5
F1,17/10/2020,16:00,Reims,Lorient,1,3,1,0,110,240,260,120,-152,-0.25
F1,17/10/2020,20:00,Marseille,Bordeaux,3,1,1,0,100,250,280,110,-139,-0.25
F1,18/10/2020,12:00,Strasbourg,Lyon,2,3,1,3,260,230,115,110,-139,0.75
F1,18/10/2020,14:00,Angers,Metz,1,1,1,1,100,240,290,130,-164,-0.25
F1,18/10/2020,14:00,Monaco,Montpellier,1,1,0,0,100,100,100,-139,110,-0.5
F1,18/10/2020,14:00,Nantes,Brest,3,1,2,0,115,240,240,100,-125,-0.25
F1,18/10/2020,16:00,St Etienne,Nice,1,3,0,2,125,225,225,110,-139,0
F1,18/10/2020,20:00,Lille,Lens,4,0,1,0,-120,260,333,110,-139,-0.5
F1,23/10/2020,20:00,Rennes,Angers,1,2,1,1,105,240,250,120,-152,-0.25
F1,24/10/2020,16:00,Lorient,Marseille,0,1,0,0,187,240,140,100,-125,0
F1,24/10/2020,20:00,Paris SG,Dijon,4,0,2,0,-1667,1100,2200,-625,400,-2.75
F1,25/10/2020,14:00,Bordeaux,Nimes,2,0,0,0,-105,230,300,110,-139,-0.75
F1,25/10/2020,14:00,Brest,Strasbourg,0,3,0,2,115,250,220,-114,-102,-0.25
F1,25/10/2020,14:00,Metz,St Etienne,2,0,1,0,137,220,210,120,-152,-0.25
F1,25/10/2020,14:00,Montpellier,Reims,0,4,0,3,-118,250,320,130,-164,-0.5
F1,25/10/2020,16:00,Nice,Lille,1,1,0,0,250,210,120,110,-139,0.5
F1,25/10/2020,20:00,Lyon,Monaco,4,1,4,0,-154,300,375,-175,137,-0.75
F1,31/10/2020,16:00,Rennes,Brest,2,1,0,0,-111,275,280,-139,110,-0.5
F1,31/10/2020,20:00,Nantes,Paris SG,0,3,0,0,650,375,-250,-189,150,1.25
F1,01/11/2020,12:00,St Etienne,Montpellier,0,1,0,1,140,225,200,-111,-111,0
F1,01/11/2020,14:00,Angers,Nice,0,3,0,2,125,220,240,100,-125,-0.25
F1,01/11/2020,14:00,Dijon,Lorient,0,0,0,0,220,250,120,-111,-111,0.25
F1,01/11/2020,14:00,Nimes,Metz,0,1,0,1,145,225,200,110,-139,0
F1,01/11/2020,14:00,Reims,Strasbourg,2,1,2,1,130,220,225,120,-152,0
F1,01/11/2020,16:00,Monaco,Bordeaux,4,0,3,0,-118,260,320,-125,100,-0.75
F1,01/11/2020,20:00,Lille,Lyon,1,1,1,1,180,225,160,-111,-111,0
F1,06/11/2020,20:00,Strasbourg,Marseille,0,1,0,0,187,230,145,137,-175,0
F1,07/11/2020,16:00,Bordeaux,Montpellier,0,2,0,0,130,230,210,110,-139,0
F1,07/11/2020,20:00,Paris SG,Rennes,3,0,2,0,-250,425,550,-175,137,-1.25
F1,08/11/2020,12:00,Brest,Lille,3,2,3,1,275,250,-105,-125,100,0.75
F1,08/11/2020,14:00,Lens,Reims,4,4,1,0,110,240,260,130,-164,-0.25
F1,08/11/2020,14:00,Lorient,Nantes,0,2,0,0,137,220,210,120,-152,0
F1,08/11/2020,14:00,Metz,Dijon,1,1,1,1,-133,260,375,100,-125,-0.25
F1,08/11/2020,14:00,Nimes,Angers,1,5,0,2,210,220,130,120,-152,0
F1,08/11/2020,16:00,Nice,Monaco,1,2,0,1,220,260,115,-152,120,0.5
F1,08/11/2020,20:00,Lyon,St Etienne,2,1,0,1,-250,375,650,-152,120,-1.75
F1,20/11/2020,18:00,Rennes,Bordeaux,0,1,0,1,-133,260,375,120,-152,-0.5
F1,20/11/2020,20:00,Monaco,Paris SG,3,2,0,2,425,375,-200,-278,220,1
F1,21/11/2020,16:00,Brest,St Etienne,4,1,4,1,110,250,240,-139,110,-0.25
F1,22/11/2020,12:00,Nantes,Metz,1,1,1,1,125,210,250,137,-175,-0.25
F1,22/11/2020,14:00,Dijon,Lens,0,1,0,1,250,240,115,-111,-111,0.5
F1,22/11/2020,14:00,Montpellier,Strasbourg,4,3,3,3,105,250,260,110,-139,-0.5
F1,22/11/2020,14:00,Reims,Nimes,0,1,0,0,-118,250,350,100,-125,-0.75
F1,22/11/2020,16:00,Angers,Lyon,0,1,0,0,400,320,-164,-139,110,0.5
F1,22/11/2020,20:00,Lille,Lorient,4,0,1,0,-167,280,500,100,-125,-0.75
F1,25/11/2020,18:00,Lens,Nantes,1,1,1,0,-111,250,300,110,-139,-0.25
F1,27/11/2020,20:00,Strasbourg,Rennes,1,1,1,0,220,220,130,-111,-111,0.25
F1,28/11/2020,16:00,Marseille,Nantes,3,1,2,0,105,240,250,120,-152,-0.5
F1,28/11/2020,20:00,Paris SG,Bordeaux,2,2,2,1,-833,750,1600,-303,240,-2
F1,29/11/2020,12:00,Lyon,Reims,3,0,1,0,-250,375,600,-152,120,-1.25
F1,29/11/2020,14:00,Lens,Angers,1,3,1,1,115,225,250,110,-139,-0.25
F1,29/11/2020,14:00,Lorient,Montpellier,0,1,0,0,225,240,110,-102,-114,0.5
