Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
F1,11/08/2023,20:00,Nice,Lille,1,1,1,0,160,250,170,-109,-102,0
F1,12/08/2023,16:00,Marseille,Reims,2,1,1,1,-143,300,375,-125,100,-0.5
F1,12/08/2023,20:00,Paris SG,Lorient,0,0,0,0,-303,450,650,-200,163,-1.25
F1,13/08/2023,12:00,Brest,Lens,3,2,1,2,300,250,-110,105,-118,0.25
F1,13/08/2023,14:00,Clermont,Monaco,2,4,1,2,260,260,100,-137,110,0.25
F1,13/08/2023,14:00,Montpellier,Le Havre,2,2,0,1,-110,260,300,110,-137,-0.75
F1,13/08/2023,14:00,Nantes,Toulouse,1,2,1,0,150,240,175,103,-115,0.25
F1,13/08/2023,16:05,Rennes,Metz,5,1,1,1,-250,375,650,-137,110,-0.75
F1,13/08/2023,19:45,Strasbourg,Lyon,2,1,0,0,155,260,155,-137,110,0
F1,18/08/2023,20:00,Metz,Marseille,2,2,0,1,400,300,-149,-137,110,0.75
F1,19/08/2023,18:00,Lyon,Montpellier,1,4,0,2,-143,320,333,-175,138,-0.5
F1,19/08/2023,20:00,Toulouse,Paris SG,1,1,0,0,375,320,-154,-175,138,0.75
F1,20/08/2023,12:00,Lille,Nantes,2,0,0,0,-250,400,600,-149,120,-1.25
F1,20/08/2023,14:00,Le Havre,Brest,1,2,0,1,170,220,170,120,-149,0
F1,20/08/2023,14:00,Lorient,Nice,1,1,0,0,240,240,115,100,-111,0.25
F1,20/08/2023,14:00,Reims,Clermont,2,0,1,0,-118,275,300,-116,104,-0.5
F1,20/08/2023,16:05,Monaco,Strasbourg,3,0,2,0,-125,300,300,-149,120,-0.75
F1,20/08/2023,19:45,Lens,Rennes,1,1,1,0,140,260,175,-137,110,-0.25
F1,25/08/2023,20:00,Nantes,Monaco,3,3,2,1,375,280,-137,-137,110,0.75
