Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
D1,16/08/2019,19:30,Bayern Munich,Hertha,2,2,1,2,-714,700,1400,-303,240,-2.25
D1,17/08/2019,14:30,Dortmund,Augsburg,5,1,1,1,-500,600,1200,-227,175,-2.25
D1,17/08/2019,14:30,Freiburg,Mainz,3,0,0,0,125,225,240,-111,-111,0
D1,17/08/2019,14:30,Leverkusen,Paderborn,3,2,2,2,-400,500,1100,-278,220,-2
D1,17/08/2019,14:30,Werder Bremen,Fortuna Dusseldorf,1,3,0,1,-133,275,375,-152,120,-0.75
D1,17/08/2019,14:30,Wolfsburg,FC Koln,2,1,1,0,-105,250,300,-152,120,-0.5
D1,17/08/2019,17:30,M'gladbach,Schalke 04,0,0,0,0,100,250,275,-125,100,-0.25
D1,18/08/2019,14:30,Ein Frankfurt,Hoffenheim,1,0,1,0,125,260,200,-189,150,-0.25
D1,18/08/2019,17:00,Union Berlin,RB Leipzig,0,4,0,3,400,280,-143,-139,110,0.75
D1,23/08/2019,19:30,FC Koln,Dortmund,1,3,1,0,550,375,-227,-227,175,1
D1,24/08/2019,14:30,Augsburg,Union Berlin,1,1,0,0,120,240,230,-111,-111,-0.25
D1,24/08/2019,14:30,Fortuna Dusseldorf,Leverkusen,1,3,0,3,375,300,-143,-227,175,1
D1,24/08/2019,14:30,Hoffenheim,Werder Bremen,3,2,0,1,-118,260,320,-200,162,-0.25
D1,24/08/2019,14:30,Mainz,M'gladbach,1,3,1,1,190,240,140,-125,100,0
D1,24/08/2019,14:30,Paderborn,Freiburg,1,3,1,2,137,250,190,-175,137,-0.25
D1,24/08/2019,17:30,Schalke 04,Bayern Munich,0,3,0,1,800,375,-278,-175,137,1.5
D1,25/08/2019,14:30,RB Leipzig,Ein Frankfurt,2,1,1,0,-200,350,500,-200,162,-1.25
D1,25/08/2019,17:00,Hertha,Wolfsburg,0,3,0,1,140,240,190,-139,110,0
D1,30/08/2019,19:30,M'gladbach,RB Leipzig,1,3,0,1,220,300,105,-175,137,0.25
D1,31/08/2019,14:30,Bayern Munich,Mainz,6,1,2,1,-1250,1000,2500,-400,300,-2.75
D1,31/08/2019,14:30,Freiburg,FC Koln,1,2,1,0,137,250,200,-139,110,0
D1,31/08/2019,14:30,Leverkusen,Hoffenheim,0,0,0,0,-189,375,425,-278,220,-1.25
D1,31/08/2019,14:30,Schalke 04,Hertha,3,0,1,0,110,260,240,-111,-111,-0.25
D1,31/08/2019,14:30,Wolfsburg,Paderborn,1,1,0,1,-227,400,500,-278,220,-1.25
D1,31/08/2019,17:30,Union Berlin,Dortmund,3,1,1,1,900,475,-357,-227,175,1.5
D1,01/09/2019,14:30,Werder Bremen,Augsburg,3,2,2,1,-139,300,350,-164,130,-1
D1,01/09/2019,17:00,Ein Frankfurt,Fortuna Dusseldorf,2,1,0,1,-152,300,375,-175,137,-1
D1,13/09/2019,19:30,Fortuna Dusseldorf,Wolfsburg,1,1,1,1,210,250,125,-152,120,0.25
D1,14/09/2019,14:30,Augsburg,Ein Frankfurt,2,1,2,0,250,260,105,-164,130,0.5
D1,14/09/2019,14:30,Dortmund,Leverkusen,4,0,1,0,-125,300,300,-227,175,-0.75
D1,14/09/2019,14:30,FC Koln,M'gladbach,0,1,0,1,150,250,170,-152,120,-0.25
D1,14/09/2019,14:30,Mainz,Hertha,2,1,1,0,130,240,210,-139,110,-0.25
D1,14/09/2019,14:30,Union Berlin,Werder Bremen,1,2,1,1,187,250,140,-152,120,-0.25
D1,14/09/2019,17:30,RB Leipzig,Bayern Munich,1,1,1,1,280,300,-118,-227,175,0.75
