Div,Div,Div,Div,Div,Div,Div,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
D1,18/04/2021,14:30,Dortmund,Werder Bremen,4,1,3,1,-278,425,600,-189,150,-1.5
D1,20/04/2021,17:30,FC Koln,RB Leipzig,2,1,0,0,700,375,-250,-139,110,1
D1,20/04/2021,19:30,Bayern Munich,Leverkusen,2,0,2,0,-250,400,600,-278,220,-1
D1,20/04/2021,19:30,Bielefeld,Schalke 04,1,0,0,0,-139,260,425,100,-125,-0.5
D1,20/04/2021,19:30,Ein Frankfurt,Augsburg,2,0,1,0,-227,375,600,-200,162,-1.5
D1,21/04/2021,19:30,Dortmund,Union Berlin,2,0,1,0,-200,333,550,-164,130,-1
D1,21/04/2021,19:30,Hoffenheim,M'gladbach,3,2,0,2,210,275,115,-175,137,0
D1,21/04/2021,19:30,Stuttgart,Wolfsburg,1,3,0,2,240,280,100,-152,120,0.75
D1,21/04/2021,19:30,Werder Bremen,Mainz,0,1,0,1,210,225,137,100,-125,0.25
D1,23/04/2021,19:30,Augsburg,FC Koln,2,3,0,3,187,230,145,110,-139,0
D1,24/04/2021,14:30,Freiburg,Hoffenheim,1,1,0,1,170,250,145,-139,110,0.25
D1,24/04/2021,14:30,Mainz,Bayern Munich,2,1,2,0,800,450,-333,-278,220,1.75
D1,24/04/2021,14:30,Union Berlin,Werder Bremen,3,1,0,0,-118,240,350,110,-139,-0.5
D1,24/04/2021,14:30,Wolfsburg,Dortmund,0,2,0,1,200,275,115,-189,150,0.5
D1,24/04/2021,17:30,Leverkusen,Ein Frankfurt,3,1,0,0,115,290,187,-227,175,-0.25
D1,25/04/2021,14:30,RB Leipzig,Stuttgart,2,0,0,0,-278,450,600,-227,175,-1.5
D1,25/04/2021,17:00,M'gladbach,Bielefeld,5,0,3,0,-167,320,425,-139,110,-0.75
D1,03/05/2021,17:00,Mainz,Hertha,1,1,1,1,145,225,190,-111,-111,-0.25
D1,06/05/2021,17:30,Hertha,Freiburg,3,0,2,0,100,250,260,-111,-111,-0.25
D1,07/05/2021,19:30,Stuttgart,Augsburg,2,1,1,0,120,250,210,-139,110,-0.25
D1,08/05/2021,14:30,Dortmund,RB Leipzig,3,2,1,0,115,275,210,-164,130,-0.25
D1,08/05/2021,14:30,Hoffenheim,Schalke 04,4,2,0,2,-500,600,1200,-250,200,-1.5
D1,08/05/2021,14:30,Werder Bremen,Leverkusen,0,0,0,0,333,275,-125,-120,107,0.5
D1,08/05/2021,14:30,Wolfsburg,Union Berlin,3,0,1,0,-133,275,375,-111,-111,-0.5
D1,08/05/2021,17:30,Bayern Munich,M'gladbach,6,0,4,0,-303,475,650,-357,275,-1.5
D1,09/05/2021,12:30,FC Koln,Freiburg,1,4,0,2,100,260,260,-125,100,-0.5
D1,09/05/2021,14:30,Ein Frankfurt,Mainz,1,1,0,1,-133,320,300,-189,150,-0.5
D1,09/05/2021,17:00,Hertha,Bielefeld,0,0,0,0,-120,260,333,-106,-104,-0.5
D1,12/05/2021,17:00,Schalke 04,Hertha,1,2,1,1,600,350,-227,-164,130,1
D1,15/05/2021,14:30,Augsburg,Werder Bremen,2,0,0,0,145,225,200,110,-139,0
D1,15/05/2021,14:30,Bielefeld,Hoffenheim,1,1,1,1,162,275,140,-139,110,0
D1,15/05/2021,14:30,Freiburg,Bayern Munich,2,2,1,1,900,425,-333,-357,275,1.75
D1,15/05/2021,14:30,Hertha,FC Koln,0,0,0,0,150,240,180,100,-125,0
D1,15/05/2021,14:30,Leverkusen,Union Berlin,1,1,1,0,-120,280,290,-111,-111,-0.5
D1,15/05/2021,14:30,M'gladbach,Stuttgart,1,2,1,0,-167,350,375,-278,220,-1.25
D1,15/05/2021,14:30,Schalke 04,Ein Frankfurt,4,3,1,1,1200,600,-500,-333,250,2
D1,16/05/2021,17:00,Mainz,Dortmund,1,3,0,2,500,400,-227,-250,200,1.5
D1,16/05/2021,19:30,RB Leipzig,Wolfsburg,2,2,0,2,110,250,240,-139,110,-0.25
D1,22/05/2021,14:30,Bayern Munich,Augsburg,5,2,4,0,-833,800,1600,-714,450,-2.5
D1,22/05/2021,14:30,Dortmund,Leverkusen,3,1,1,0,-200,350,500,-333,250,-1
D1,22/05/2021,14:30,Ein Frankfurt,Freiburg,3,1,0,0,100,333,210,-357,275,-0.5
D1,22/05/2021,14:30,FC Koln,Schalke 04,1,0,0,0,-303,450,750,-303,240,-1.5
D1,22/05/2021,14:30,Hoffenheim,Hertha,2,1,0,1,-111,280,280,-250,200,-0.75
D1,22/05/2021,14:30,Stuttgart,Bielefeld,0,2,0,0,137,275,175,-227,175,-0.25
D1,22/05/2021,14:30,Union Berlin,RB Leipzig,2,1,0,0,200,275,120,-189,150,0.5
D1,22/05/2021,14:30,Werder Bremen,M'gladbach,2,4,0,1,170,300,137,-227,175,0.25
D1,22/05/2021,14:30,Wolfsburg,Mainz,2,3,0,1,-167,320,425,-278,220,-0.75
