Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
D1,24/08/2018,Bayern Munich,Hoffenheim,3,1,1,0,-500,650,1100,-250,255,-2
D1,25/08/2018,Fortuna Dusseldorf,Augsburg,1,2,1,0,137,225,200,105,-132,0
D1,25/08/2018,Freiburg,Ein Frankfurt,0,2,0,1,130,230,225,115,-145,-0.25
D1,25/08/2018,Hertha,Nurnberg,1,0,1,0,104,240,275,105,-132,-0.25
D1,25/08/2018,M'gladbach,Leverkusen,2,0,0,0,180,250,145,-167,132,0
D1,25/08/2018,Werder Bremen,Hannover,1,1,0,0,-118,260,300,-141,112,-1
D1,25/08/2018,Wolfsburg,Schalke 04,2,1,1,0,210,230,137,117,-147,0.25
D1,26/08/2018,Dortmund,RB Leipzig,4,1,3,1,-139,280,375,-189,146,-1
D1,26/08/2018,Mainz,Stuttgart,1,0,0,0,170,225,170,112,-141,0
D1,31/08/2018,Hannover,Dortmund,0,0,0,0,450,333,-175,-179,140,1
D1,01/09/2018,Augsburg,M'gladbach,1,1,1,0,162,240,170,-114,-109,0
D1,01/09/2018,Ein Frankfurt,Werder Bremen,1,2,0,1,140,250,190,-116,-106,-0.25
D1,01/09/2018,Hoffenheim,Freiburg,3,1,0,1,-182,300,550,-152,122,-1
D1,01/09/2018,Leverkusen,Wolfsburg,1,3,1,1,-164,333,400,-172,135,-1
D1,01/09/2018,Nurnberg,Mainz,1,1,0,1,137,230,210,119,-149,-0.25
D1,01/09/2018,Stuttgart,Bayern Munich,0,3,0,1,1000,450,-357,-200,155,1.5
D1,02/09/2018,RB Leipzig,Fortuna Dusseldorf,1,1,0,0,-250,375,700,-167,131,-1
D1,02/09/2018,Schalke 04,Hertha,0,2,0,1,-133,260,400,126,-159,-0.75
D1,14/09/2018,Dortmund,Ein Frankfurt,3,1,1,0,-250,400,650,-161,128,-1
D1,15/09/2018,Bayern Munich,Leverkusen,3,1,2,1,-500,600,1200,-278,208,-2
