Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
D1,18/08/2023,19:30,Werder Bremen,Bayern Munich,0,4,0,1,650,550,-333,-303,240,1.75
D1,19/08/2023,14:30,Augsburg,M'gladbach,4,4,3,3,170,260,145,-161,130,0.25
D1,19/08/2023,14:30,Hoffenheim,Freiburg,1,2,0,2,130,260,190,-149,120,-0.25
D1,19/08/2023,14:30,Leverkusen,RB Leipzig,3,2,2,1,145,260,175,-149,120,-0.25
D1,19/08/2023,14:30,Stuttgart,Bochum,5,0,2,0,-154,333,350,-161,130,-0.75
D1,19/08/2023,14:30,Wolfsburg,Heidenheim,2,0,2,0,-167,320,425,-161,130,-1
D1,19/08/2023,17:30,Dortmund,FC Koln,1,0,0,0,-250,400,600,-227,175,-1.25
D1,20/08/2023,14:30,Union Berlin,Mainz,4,1,2,0,-105,250,290,110,-137,-0.25
D1,20/08/2023,16:30,Ein Frankfurt,Darmstadt,1,0,1,0,-278,425,650,-149,120,-1.25
D1,25/08/2023,19:30,RB Leipzig,Stuttgart,5,1,0,1,-200,375,475,-189,150,-1
D1,26/08/2023,14:30,Bochum,Dortmund,1,1,1,0,600,400,-250,-278,220,1
D1,26/08/2023,14:30,Darmstadt,Union Berlin,1,4,1,3,300,230,-105,110,-137,0.5
D1,26/08/2023,14:30,FC Koln,Wolfsburg,1,2,0,0,130,240,200,-137,110,-0.25
D1,26/08/2023,14:30,Freiburg,Werder Bremen,1,0,0,0,-143,275,375,-149,120,-0.75
D1,26/08/2023,14:30,Heidenheim,Hoffenheim,2,3,1,0,200,260,125,-149,120,0.25
D1,26/08/2023,17:30,M'gladbach,Leverkusen,0,3,0,2,280,280,-118,-200,163,0.75
D1,27/08/2023,14:30,Mainz,Ein Frankfurt,1,1,1,0,138,250,188,-137,110,0
D1,27/08/2023,16:30,Bayern Munich,Augsburg,3,1,2,0,-1250,1100,1800,-500,350,-3
D1,01/09/2023,19:30,Dortmund,Heidenheim,2,2,2,0,-400,600,850,-303,240,-1.75
D1,02/09/2023,14:30,Augsburg,Bochum,2,2,1,1,100,275,275,-137,110,-0.25
D1,02/09/2023,14:30,Hoffenheim,Wolfsburg,3,1,1,1,150,260,163,-189,150,0
D1,02/09/2023,14:30,Leverkusen,Darmstadt,5,1,1,1,-500,600,1100,-250,200,-2
D1,02/09/2023,14:30,Stuttgart,Freiburg,5,0,3,0,120,250,220,-137,110,-0.25
D1,02/09/2023,14:30,Werder Bremen,Mainz,4,0,1,0,163,250,155,-137,110,0
D1,02/09/2023,17:30,M'gladbach,Bayern Munich,1,2,1,0,750,475,-333,-400,300,2
