Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
D1,09/08/13,Bayern Munich,M'gladbach,3,1,2,1,-769,750,1800,-323,229,-2.5
D1,10/08/13,Augsburg,Dortmund,0,4,0,1,600,333,-227,-143,114,1
D1,10/08/13,Braunschweig,Werder Bremen,0,1,0,0,170,240,150,-135,110,0
D1,10/08/13,Hannover,Wolfsburg,2,0,1,0,160,240,160,-149,119,0
D1,10/08/13,Hertha,Ein Frankfurt,6,1,2,1,120,240,220,-123,100,0
D1,10/08/13,Hoffenheim,Nurnberg,2,2,1,0,110,230,250,-102,-120,-0.5
D1,10/08/13,Leverkusen,Freiburg,3,1,1,1,-227,350,550,-156,125,-1
D1,11/08/13,Mainz,Stuttgart,3,2,1,1,140,240,180,-110,-111,-0.25
D1,11/08/13,Schalke 04,Hamburg,3,3,2,2,-227,333,600,-161,127,-1
D1,17/08/13,Ein Frankfurt,Bayern Munich,0,1,0,1,900,425,-345,-250,183,
D1,17/08/13,Freiburg,Mainz,1,2,0,0,125,240,210,-103,-120,
D1,17/08/13,Hamburg,Hoffenheim,1,5,1,1,100,260,250,-159,125,
D1,17/08/13,M'gladbach,Hannover,3,0,1,0,-120,250,333,-130,104,
D1,17/08/13,Stuttgart,Leverkusen,0,1,0,1,250,225,110,-161,129,
D1,17/08/13,Werder Bremen,Augsburg,1,0,1,0,-110,250,300,-127,102,
D1,17/08/13,Wolfsburg,Schalke 04,4,0,0,0,188,230,140,-175,133,
D1,18/08/13,Dortmund,Braunschweig,2,1,0,0,-588,650,1200,-323,233,
D1,18/08/13,Nurnberg,Hertha,2,2,1,0,130,240,200,-109,-112,
D1,23/08/13,Dortmund,Werder Bremen,1,0,0,0,-500,550,1200,-256,185,-2
D1,24/08/13,Bayern Munich,Nurnberg,2,0,0,0,-1000,800,2500,-345,238,-2.5
D1,24/08/13,Hannover,Schalke 04,2,1,2,0,163,240,160,-182,136,0
D1,24/08/13,Hertha,Hamburg,1,0,0,0,-110,260,280,-149,118,-0.5
D1,24/08/13,Hoffenheim,Freiburg,3,3,2,2,-133,275,350,-139,112,-0.5
D1,24/08/13,Leverkusen,M'gladbach,4,2,2,0,-149,280,400,-152,121,-1
D1,24/08/13,Mainz,Wolfsburg,2,0,0,0,163,240,160,-133,107,0
D1,25/08/13,Augsburg,Stuttgart,2,1,2,1,130,240,200,-106,-116,0
D1,25/08/13,Braunschweig,Ein Frankfurt,0,2,0,0,170,240,150,-101,-120,0
D1,27/08/13,Freiburg,Bayern Munich,1,1,0,1,1200,450,-400,-213,158,1.5
D1,31/08/13,Hamburg,Braunschweig,4,0,2,0,-133,275,350,-133,108,-1
D1,31/08/13,Hannover,Mainz,4,1,2,1,140,250,175,-122,-102,0
D1,31/08/13,M'gladbach,Werder Bremen,4,1,1,0,-133,275,350,-137,109,-0.5
D1,31/08/13,Nurnberg,Augsburg,0,1,0,0,150,230,180,101,-127,0
D1,31/08/13,Schalke 04,Leverkusen,2,0,1,0,220,250,115,-175,133,0.25
D1,31/08/13,Wolfsburg,Hertha,2,0,2,0,-110,260,275,-159,125,-0.5
D1,01/09/13,Ein Frankfurt,Dortmund,1,2,1,1,500,333,-200,-192,146,1
D1,01/09/13,Stuttgart,Hoffenheim,6,2,3,1,130,250,190,-159,125,-0.25
D1,13/09/13,Hertha,Stuttgart,0,1,0,0,115,240,230,-154,123,-0.5
D1,14/09/13,Augsburg,Freiburg,2,1,0,0,100,240,275,100,-125,-0.5
D1,14/09/13,Bayern Munich,Hannover,2,0,0,0,-769,750,2000,-385,265,-2.5
