Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
D1,05/08/2022,19:30,Ein Frankfurt,Bayern Munich,1,6,0,5,500,400,-200,-250,200,1.25
D1,06/08/2022,14:30,Augsburg,Freiburg,0,4,0,0,230,250,115,-109,-102,0.25
D1,06/08/2022,14:30,Bochum,Mainz,1,2,1,1,220,240,120,-104,-106,0.25
D1,06/08/2022,14:30,M'gladbach,Hoffenheim,3,1,1,1,105,320,200,-278,220,-0.5
D1,06/08/2022,14:30,Union Berlin,Hertha,3,1,1,0,-139,275,350,106,-119,-0.5
D1,06/08/2022,14:30,Wolfsburg,Werder Bremen,2,2,1,2,-118,280,280,-125,100,-0.5
D1,06/08/2022,17:30,Dortmund,Leverkusen,1,0,1,0,100,320,220,-250,200,-0.5
D1,07/08/2022,14:30,Stuttgart,RB Leipzig,1,1,1,1,350,280,-133,-139,110,0.5
D1,07/08/2022,16:30,FC Koln,Schalke 04,3,1,0,0,-143,300,350,-175,137,-0.5
D1,12/08/2022,19:30,Freiburg,Dortmund,1,3,1,0,200,275,120,-175,137,0.25
D1,13/08/2022,14:30,Hertha,Ein Frankfurt,1,1,1,0,200,250,130,-125,100,0.25
D1,13/08/2022,14:30,Hoffenheim,Bochum,3,2,2,2,-175,350,425,-200,162,-1
D1,13/08/2022,14:30,Leverkusen,Augsburg,1,2,1,1,-333,475,850,-227,175,-1.75
D1,13/08/2022,14:30,RB Leipzig,FC Koln,2,2,1,1,-227,375,600,-175,137,-1.25
D1,13/08/2022,14:30,Werder Bremen,Stuttgart,2,2,1,1,125,260,200,-152,120,-0.25
D1,13/08/2022,17:30,Schalke 04,M'gladbach,2,2,1,0,210,280,115,-175,137,0.25
D1,14/08/2022,14:30,Mainz,Union Berlin,0,0,0,0,120,225,240,106,-119,-0.25
D1,14/08/2022,16:30,Bayern Munich,Wolfsburg,2,0,2,0,-833,850,1600,-455,333,-2.5
D1,19/08/2022,19:30,M'gladbach,Hertha,1,0,1,0,-200,350,500,-200,162,-1.25
D1,20/08/2022,14:30,Augsburg,Mainz,1,2,1,1,250,250,110,-115,103,0.5
D1,20/08/2022,14:30,Dortmund,Werder Bremen,2,3,1,0,-278,425,650,-250,200,-1.25
D1,20/08/2022,14:30,Leverkusen,Hoffenheim,0,3,0,2,-152,333,350,-227,175,-1
D1,20/08/2022,14:30,Stuttgart,Freiburg,0,1,0,1,162,260,155,-139,110,0
D1,20/08/2022,14:30,Wolfsburg,Schalke 04,0,0,0,0,-120,280,320,-152,120,-0.5
D1,20/08/2022,17:30,Union Berlin,RB Leipzig,2,1,2,0,260,250,105,-110,-101,0.25
D1,21/08/2022,14:30,Ein Frankfurt,FC Koln,1,1,0,0,-105,275,260,-152,120,-0.25
D1,21/08/2022,16:30,Bochum,Bayern Munich,0,7,0,4,1200,700,-556,-400,300,2.25
D1,26/08/2022,19:30,Freiburg,Bochum,1,0,0,0,-200,350,500,-164,130,-1
D1,27/08/2022,14:30,Hertha,Dortmund,0,1,0,1,350,333,-152,-200,162,0.75
D1,27/08/2022,14:30,Hoffenheim,Augsburg,1,0,1,0,-222,350,600,-200,162,-1.25
D1,27/08/2022,14:30,Mainz,Leverkusen,0,3,0,3,175,275,137,-164,130,-0.25
D1,27/08/2022,14:30,RB Leipzig,Wolfsburg,2,0,1,0,-222,375,500,-175,137,-1
D1,27/08/2022,14:30,Schalke 04,Union Berlin,1,6,1,3,210,240,130,-104,-106,0.25
D1,27/08/2022,17:30,Bayern Munich,M'gladbach,1,1,0,1,-556,700,1100,-500,350,-2.25
D1,28/08/2022,14:30,FC Koln,Stuttgart,0,0,0,0,105,275,240,-152,120,-0.25
D1,28/08/2022,16:30,Werder Bremen,Ein Frankfurt,3,4,2,3,145,250,180,-164,130,-0.25
D1,02/09/2022,19:30,Dortmund,Hoffenheim,1,0,1,0,-164,350,375,-250,200,-0.75
D1,03/09/2022,14:30,Bochum,Werder Bremen,0,2,0,0,190,260,130,-152,120,0.25
D1,03/09/2022,14:30,Leverkusen,Freiburg,2,3,1,0,-111,275,280,-175,137,-0.5
D1,03/09/2022,14:30,Stuttgart,Schalke 04,1,1,1,1,-133,300,333,-139,110,-0.75
D1,03/09/2022,14:30,Union Berlin,Bayern Munich,1,1,1,1,600,425,-278,-250,200,1.5
D1,03/09/2022,14:30,Wolfsburg,FC Koln,2,4,1,3,105,240,275,-125,100,-0.25
D1,03/09/2022,17:30,Ein Frankfurt,RB Leipzig,4,0,2,0,250,275,100,-164,130,0.25
D1,04/09/2022,14:30,Augsburg,Hertha,0,2,0,0,145,230,187,-112,101,0
D1,04/09/2022,16:30,M'gladbach,Mainz,0,1,0,0,120,280,200,-152,120,-0.25
D1,09/09/2022,19:30,Werder Bremen,Augsburg,0,1,0,0,-189,350,450,-175,137,-1.25
D1,10/09/2022,14:30,Bayern Munich,Stuttgart,2,2,1,0,-714,700,1600,-455,333,-2
D1,10/09/2022,14:30,Ein Frankfurt,Wolfsburg,0,1,0,0,100,260,260,-152,120,-0.5
D1,10/09/2022,14:30,Hertha,Leverkusen,2,2,0,0,260,300,-111,-189,150,0.5
D1,10/09/2022,14:30,Hoffenheim,Mainz,4,1,0,0,125,275,190,-152,120,0
D1,10/09/2022,14:30,RB Leipzig,Dortmund,3,0,2,0,130,290,175,-175,137,0
D1,10/09/2022,17:30,Schalke 04,Bochum,3,1,1,0,100,280,250,-139,110,-0.25
D1,11/09/2022,14:30,FC Koln,Union Berlin,0,1,0,1,137,240,190,-106,-104,0
D1,11/09/2022,16:30,Freiburg,M'gladbach,0,0,0,0,100,260,250,-175,137,-0.25
D1,16/09/2022,19:30,Mainz,Hertha,1,1,0,1,-139,300,333,-139,110,-0.75
D1,17/09/2022,14:30,Augsburg,Bayern Munich,1,0,0,0,1600,700,-625,-357,275,2.25
D1,17/09/2022,14:30,Dortmund,Schalke 04,1,0,0,0,-278,400,700,-227,175,-1.25
D1,17/09/2022,14:30,Leverkusen,Werder Bremen,1,1,0,0,-164,333,400,-200,162,-1
D1,17/09/2022,14:30,Stuttgart,Ein Frankfurt,1,3,0,1,125,250,210,-152,120,0
D1,17/09/2022,17:30,M'gladbach,RB Leipzig,3,0,2,0,200,260,125,-175,137,0.25
