Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
D1,13/08/2021,19:30,M'gladbach,Bayern Munich,1,1,1,1,333,350,-152,-250,200,0.75
D1,14/08/2021,14:30,Augsburg,Hoffenheim,0,4,0,1,220,275,110,-164,130,0.25
D1,14/08/2021,14:30,Bielefeld,Freiburg,0,0,0,0,180,240,150,105,-114,0.25
D1,14/08/2021,14:30,Stuttgart,Greuther Furth,5,1,2,0,-120,300,300,-164,130,-0.75
D1,14/08/2021,14:30,Union Berlin,Leverkusen,1,1,1,1,175,240,155,-111,-111,0
D1,14/08/2021,14:30,Wolfsburg,Bochum,1,0,1,0,-189,350,475,-175,137,-1.25
D1,14/08/2021,17:30,Dortmund,Ein Frankfurt,5,2,3,1,-250,450,550,-278,220,-1.25
D1,15/08/2021,14:30,Mainz,RB Leipzig,1,0,1,0,700,450,-303,-189,150,1.25
D1,15/08/2021,16:30,FC Koln,Hertha,3,1,1,1,155,240,175,100,-108,-0.25
D1,20/08/2021,19:30,RB Leipzig,Stuttgart,4,0,1,0,-278,425,600,-189,150,-1
D1,21/08/2021,14:30,Bochum,Mainz,2,0,1,0,162,250,162,-125,100,0.25
D1,21/08/2021,14:30,Ein Frankfurt,Augsburg,0,0,0,0,-175,350,425,-189,150,-1
D1,21/08/2021,14:30,Freiburg,Dortmund,2,1,1,0,450,375,-200,-200,162,0.75
D1,21/08/2021,14:30,Greuther Furth,Bielefeld,1,1,0,1,155,240,170,100,-125,0
D1,21/08/2021,14:30,Hertha,Wolfsburg,1,2,0,0,200,240,137,-125,100,0.25
D1,21/08/2021,17:30,Leverkusen,M'gladbach,4,0,2,0,120,275,200,-175,137,-0.25
D1,22/08/2021,14:30,Hoffenheim,Union Berlin,2,2,2,1,100,260,260,-139,110,-0.5
D1,22/08/2021,16:30,Bayern Munich,FC Koln,3,2,0,0,-909,1000,1500,-357,275,-2.75
D1,27/08/2021,19:30,Dortmund,Hoffenheim,3,2,0,0,-250,450,550,-333,250,-1.25
D1,28/08/2021,14:30,Augsburg,Leverkusen,1,4,1,2,375,280,-139,-125,100,0.75
D1,28/08/2021,14:30,Bielefeld,Ein Frankfurt,1,1,0,1,230,260,110,-125,100,0.25
D1,28/08/2021,14:30,FC Koln,Bochum,2,1,0,0,-120,275,320,-139,110,-0.75
D1,28/08/2021,14:30,Mainz,Greuther Furth,3,0,2,0,-152,300,400,-139,110,-1
D1,28/08/2021,14:30,Stuttgart,Freiburg,2,3,2,3,115,260,220,-139,110,-0.25
D1,28/08/2021,17:30,Bayern Munich,Hertha,5,0,2,0,-714,800,1400,-400,300,-2.25
D1,29/08/2021,14:30,Union Berlin,M'gladbach,2,1,2,0,145,225,190,-125,100,0
D1,29/08/2021,16:30,Wolfsburg,RB Leipzig,1,0,0,0,260,250,105,-125,100,0.25
D1,11/09/2021,14:30,Freiburg,FC Koln,1,1,0,1,120,260,210,-152,120,-0.25
D1,11/09/2021,14:30,Greuther Furth,Wolfsburg,0,2,0,1,450,333,-175,-164,130,0.75
D1,11/09/2021,14:30,Hoffenheim,Mainz,0,2,0,1,100,275,250,-175,137,-0.25
D1,11/09/2021,14:30,Leverkusen,Dortmund,3,4,2,1,210,280,115,-250,200,0.25
D1,11/09/2021,14:30,Union Berlin,Augsburg,0,0,0,0,-143,275,400,-110,-101,-0.75
D1,11/09/2021,17:30,RB Leipzig,Bayern Munich,1,4,0,1,200,280,120,-227,175,0.25
D1,12/09/2021,14:30,Ein Frankfurt,Stuttgart,1,1,0,0,100,275,250,-200,162,-0.5
D1,12/09/2021,16:30,Bochum,Hertha,1,3,0,2,180,240,150,102,-114,0
D1,12/09/2021,18:30,M'gladbach,Bielefeld,3,1,1,1,-227,375,600,-152,120,-1.25
D1,17/09/2021,19:30,Hertha,Greuther Furth,2,1,0,0,-133,275,320,-116,104,-0.75
D1,18/09/2021,14:30,Augsburg,M'gladbach,1,0,0,0,320,300,-125,-175,137,0.25
D1,18/09/2021,14:30,Bayern Munich,Bochum,7,0,4,0,-1667,1200,2800,-625,400,-3.25
D1,18/09/2021,14:30,Bielefeld,Hoffenheim,0,0,0,0,250,260,105,-139,110,0.25
D1,18/09/2021,14:30,Mainz,Freiburg,0,0,0,0,100,260,260,-125,100,-0.5
D1,18/09/2021,17:30,FC Koln,RB Leipzig,1,1,0,0,350,300,-139,-175,137,0.5
D1,19/09/2021,14:30,Stuttgart,Leverkusen,1,3,1,2,230,275,110,-189,150,0.25
D1,19/09/2021,16:30,Dortmund,Union Berlin,4,2,2,0,-278,425,700,-227,175,-1.75
D1,19/09/2021,18:30,Wolfsburg,Ein Frankfurt,1,1,0,1,-125,280,333,-139,110,-0.5
D1,24/09/2021,19:30,Greuther Furth,Bayern Munich,1,3,0,2,2200,1200,-1429,-714,450,2.75
D1,25/09/2021,14:30,Ein Frankfurt,FC Koln,1,1,1,1,100,275,250,-175,137,-0.25
D1,25/09/2021,14:30,Hoffenheim,Wolfsburg,3,1,1,1,175,250,150,-152,120,0
D1,25/09/2021,14:30,Leverkusen,Mainz,1,0,0,0,-139,300,350,-164,130,-0.75
D1,25/09/2021,14:30,RB Leipzig,Hertha,6,0,3,0,-333,450,900,-175,137,-1.5
D1,25/09/2021,14:30,Union Berlin,Bielefeld,1,0,0,0,-152,280,450,106,-119,-0.75
D1,25/09/2021,17:30,M'gladbach,Dortmund,1,0,1,0,333,320,-139,-278,220,0.5
D1,26/09/2021,14:30,Bochum,Stuttgart,0,0,0,0,200,250,130,-139,110,0.25
D1,26/09/2021,16:30,Freiburg,Augsburg,3,0,3,0,-118,260,333,100,-125,-0.5
D1,01/10/2021,19:30,FC Koln,Greuther Furth,3,1,0,1,-250,400,600,-227,175,-1.25
