Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
D1,18/08/17,Bayern Munich,Leverkusen,3,1,2,0,-400,500,1100,-244,188,-2
D1,19/08/17,Hamburg,Augsburg,1,0,1,0,110,240,260,118,-147,-0.25
D1,19/08/17,Hertha,Stuttgart,2,0,0,0,100,240,290,-106,-115,-0.5
D1,19/08/17,Hoffenheim,Werder Bremen,1,0,0,0,-133,300,333,-192,150,-0.75
D1,19/08/17,Mainz,Hannover,0,1,0,0,100,240,300,106,-132,-0.5
D1,19/08/17,Schalke 04,RB Leipzig,2,0,1,0,180,240,150,-114,-109,0
D1,19/08/17,Wolfsburg,Dortmund,0,3,0,2,280,300,-118,-185,146,0.75
D1,20/08/17,Freiburg,Ein Frankfurt,0,0,0,0,145,225,200,115,-143,0
D1,20/08/17,M'gladbach,FC Koln,1,0,0,0,-110,250,310,-110,-110,-0.5
D1,25/08/17,FC Koln,Hamburg,1,3,0,2,-105,240,300,106,-132,-0.5
D1,26/08/17,Augsburg,M'gladbach,2,2,1,2,225,240,125,108,-133,0.25
D1,26/08/17,Dortmund,Hertha,2,0,1,0,-278,400,650,-189,149,-1.25
D1,26/08/17,Ein Frankfurt,Wolfsburg,0,1,0,1,130,225,230,112,-139,-0.25
D1,26/08/17,Leverkusen,Hoffenheim,2,2,1,0,105,260,260,-167,134,-0.25
D1,26/08/17,Stuttgart,Mainz,1,0,0,0,130,240,210,-125,101,-0.25
D1,26/08/17,Werder Bremen,Bayern Munich,0,2,0,0,1000,550,-400,-270,202,2
D1,27/08/17,Hannover,Schalke 04,1,0,0,0,230,240,120,-116,-105,0.25
D1,27/08/17,RB Leipzig,Freiburg,4,1,0,1,-278,400,750,-145,116,-1.5
D1,08/09/17,Hamburg,RB Leipzig,0,2,0,0,300,260,-110,-116,-104,0.5
D1,09/09/17,Augsburg,FC Koln,3,0,2,0,138,230,210,115,-143,-0.25
D1,09/09/17,Freiburg,Dortmund,0,0,0,0,650,400,-250,-169,135,1
D1,09/09/17,Hoffenheim,Bayern Munich,2,0,1,0,600,350,-222,-227,174,1.25
D1,09/09/17,Mainz,Leverkusen,3,1,1,1,200,240,138,-130,105,0.25
D1,09/09/17,M'gladbach,Ein Frankfurt,0,1,0,1,-120,260,350,-109,-114,-0.5
D1,09/09/17,Wolfsburg,Hannover,1,1,0,0,-120,260,350,102,-125,-0.5
D1,10/09/17,Hertha,Werder Bremen,1,1,1,0,-110,260,300,-115,-106,-0.5
D1,10/09/17,Schalke 04,Stuttgart,3,1,1,1,-143,275,400,-130,105,-0.75
D1,15/09/17,Hannover,Hamburg,2,0,0,0,-105,250,300,107,-132,-0.5
D1,16/09/17,Bayern Munich,Mainz,4,0,2,0,-769,900,1800,-303,225,-2.25
D1,16/09/17,Ein Frankfurt,Augsburg,1,2,0,1,-118,250,350,125,-156,-0.5
D1,16/09/17,RB Leipzig,M'gladbach,2,2,2,1,-149,280,450,-149,119,-0.75
D1,16/09/17,Stuttgart,Wolfsburg,1,0,1,0,130,250,200,-112,-110,-0.25
D1,16/09/17,Werder Bremen,Schalke 04,1,2,1,1,180,250,150,-125,101,0
D1,17/09/17,Dortmund,FC Koln,5,0,2,0,-455,500,1200,-233,177,-1.75
D1,17/09/17,Hoffenheim,Hertha,1,1,1,0,-149,280,450,-130,104,-0.75
D1,17/09/17,Leverkusen,Freiburg,4,0,3,0,-222,350,600,-179,140,-1.25
D1,19/09/17,Augsburg,RB Leipzig,1,0,1,0,250,250,110,-112,-110,0.25
D1,19/09/17,M'gladbach,Stuttgart,2,0,0,0,-143,280,400,-156,124,-1
D1,19/09/17,Schalke 04,Bayern Munich,0,3,0,2,600,375,-227,-179,139,1.25
D1,19/09/17,Wolfsburg,Werder Bremen,1,1,1,0,105,250,260,-112,-111,-0.5
D1,20/09/17,FC Koln,Ein Frankfurt,0,1,0,1,188,210,163,126,-159,0.25
D1,20/09/17,Freiburg,Hannover,1,1,0,0,180,225,160,112,-139,0.25
D1,20/09/17,Hamburg,Dortmund,0,3,0,1,600,375,-227,-189,146,1
D1,20/09/17,Hertha,Leverkusen,2,1,2,0,230,240,120,-119,-104,0.25
D1,20/09/17,Mainz,Hoffenheim,2,3,2,2,170,240,160,-143,114,0.25
D1,22/09/17,Bayern Munich,Wolfsburg,2,2,2,0,-714,750,1800,-323,241,-2.5
D1,23/09/17,Dortmund,M'gladbach,6,1,3,0,-227,375,600,-256,195,-1
D1,23/09/17,Hoffenheim,Schalke 04,2,0,1,0,120,250,225,-132,107,-0.25
D1,23/09/17,Mainz,Hertha,1,0,0,0,120,230,240,121,-152,-0.25
D1,23/09/17,RB Leipzig,Ein Frankfurt,2,1,1,0,-143,280,400,-123,100,-0.75
D1,23/09/17,Stuttgart,Augsburg,0,0,0,0,110,240,260,-109,-114,-0.25
D1,23/09/17,Werder Bremen,Freiburg,0,0,0,0,-143,300,375,-161,127,-0.75
D1,24/09/17,Hannover,FC Koln,0,0,0,0,-105,260,280,112,-139,-0.5
D1,24/09/17,Leverkusen,Hamburg,3,0,2,0,-278,400,750,-192,150,-1.25
D1,29/09/17,Schalke 04,Leverkusen,1,1,1,0,130,240,210,-141,112,0
D1,30/09/17,Augsburg,Dortmund,1,2,1,2,650,350,-227,-169,133,1
D1,30/09/17,Ein Frankfurt,Stuttgart,2,1,1,0,-105,250,300,101,-125,-0.5
D1,30/09/17,Hamburg,Werder Bremen,0,0,0,0,170,220,175,-115,-108,0
D1,30/09/17,M'gladbach,Hannover,2,1,0,0,-137,260,425,-137,110,-1
D1,30/09/17,Wolfsburg,Mainz,1,1,0,0,110,240,260,104,-130,-0.5
D1,01/10/17,FC Koln,RB Leipzig,1,2,0,1,280,250,100,-122,-101,0.5
D1,01/10/17,Freiburg,Hoffenheim,3,2,2,1,260,250,105,-137,109,0.5
D1,01/10/17,Hertha,Bayern Munich,2,2,0,1,750,400,-278,-147,116,1.25
D1,13/10/17,Stuttgart,FC Koln,2,1,1,0,-120,260,333,102,-127,-0.5
D1,14/10/17,Bayern Munich,Freiburg,5,0,2,0,-1250,1200,2000,-476,318,-2.75
D1,14/10/17,Dortmund,RB Leipzig,2,3,1,2,-200,350,550,-222,168,-1
D1,14/10/17,Hannover,Ein Frankfurt,1,2,1,1,138,220,210,129,-164,-0.25
D1,14/10/17,Hertha,Schalke 04,0,2,0,0,150,230,190,122,-156,-0.25
D1,14/10/17,Hoffenheim,Augsburg,2,2,0,0,-125,275,350,-143,112,-0.5
D1,14/10/17,Mainz,Hamburg,3,2,1,1,-143,275,425,-101,-123,-1
D1,15/10/17,Leverkusen,Wolfsburg,2,2,1,1,-189,333,500,-164,127,-1
D1,15/10/17,Werder Bremen,M'gladbach,0,2,0,2,163,250,160,-164,127,0
D1,20/10/17,Schalke 04,Mainz,2,0,1,0,-125,270,350,-101,-123,-0.5
D1,21/10/17,Augsburg,Hannover,1,2,1,0,104,250,260,-102,-122,-0.5
D1,21/10/17,Ein Frankfurt,Dortmund,2,2,0,1,400,275,-139,-147,116,1
D1,21/10/17,Hamburg,Bayern Munich,0,1,0,0,1800,600,-625,-263,193,2
D1,21/10/17,M'gladbach,Leverkusen,1,5,1,0,145,239,187,-196,150,0
D1,21/10/17,RB Leipzig,Stuttgart,1,0,1,0,-189,300,600,-159,125,-1
D1,22/10/17,FC Koln,Werder Bremen,0,0,0,0,139,229,200,-110,-112,-0.25
D1,22/10/17,Freiburg,Hertha,1,1,0,0,154,229,179,129,-164,0
D1,22/10/17,Wolfsburg,Hoffenheim,1,1,0,0,150,239,179,-154,122,0
D1,27/10/17,Mainz,Ein Frankfurt,1,1,0,1,179,220,154,-105,-118,0
D1,28/10/17,Bayern Munich,RB Leipzig,2,0,2,0,-303,450,750,-278,205,-1.5
D1,28/10/17,Hannover,Dortmund,4,2,2,1,450,320,-175,-217,163,1
D1,28/10/17,Hertha,Hamburg,2,1,1,0,-111,239,333,122,-154,-0.5
D1,28/10/17,Hoffenheim,M'gladbach,1,3,1,0,104,260,250,-189,145,-0.25
D1,28/10/17,Leverkusen,FC Koln,2,1,0,1,-303,425,800,-238,176,-1.5
D1,28/10/17,Schalke 04,Wolfsburg,1,1,1,0,-133,260,400,-104,-119,-0.75
D1,29/10/17,Stuttgart,Freiburg,3,0,2,0,-120,250,350,-127,101,-0.75
D1,29/10/17,Werder Bremen,Augsburg,0,3,0,2,129,229,220,-119,-105,-0.25
D1,03/11/17,Ein Frankfurt,Werder Bremen,2,1,1,1,-133,275,375,-123,100,-0.75
D1,04/11/17,Augsburg,Leverkusen,1,1,0,0,250,260,104,-164,129,0.25
D1,04/11/17,Dortmund,Bayern Munich,1,3,0,2,229,279,104,-222,170,0.5
D1,04/11/17,Freiburg,Schalke 04,0,1,0,0,279,229,104,100,-123,0.5
D1,04/11/17,Hamburg,Stuttgart,3,1,1,0,145,239,187,102,-127,0
D1,04/11/17,M'gladbach,Mainz,1,1,0,1,-164,300,450,-147,118,-1
D1,04/11/17,RB Leipzig,Hannover,2,1,0,0,-227,350,650,-172,134,-1
D1,05/11/17,FC Koln,Hoffenheim,0,3,0,1,187,239,145,-143,113,0
D1,05/11/17,Wolfsburg,Hertha,3,3,2,1,100,239,300,125,-159,-0.5
D1,17/11/17,Stuttgart,Dortmund,2,1,1,1,320,289,-125,-175,137,0.75
D1,18/11/17,Bayern Munich,Augsburg,3,0,2,0,-625,700,1400,-323,230,-2.25
D1,18/11/17,Hertha,M'gladbach,2,4,1,3,189,225,150,-114,-109,0
D1,18/11/17,Hoffenheim,Ein Frankfurt,1,1,0,1,120,239,239,-143,114,-0.25
D1,18/11/17,Leverkusen,RB Leipzig,2,2,1,1,129,250,200,-192,147,-0.25
D1,18/11/17,Mainz,FC Koln,1,0,1,0,104,239,279,-103,-119,-0.25
D1,18/11/17,Wolfsburg,Freiburg,3,1,2,0,-164,275,500,-123,-101,-1
D1,19/11/17,Schalke 04,Hamburg,2,0,1,0,-175,279,550,-104,-119,-1
D1,19/11/17,Werder Bremen,Hannover,4,0,1,0,120,239,229,-137,109,-0.25
D1,24/11/17,Hannover,Stuttgart,1,1,0,1,129,239,210,-105,-118,-0.25
D1,25/11/17,Augsburg,Wolfsburg,2,1,0,1,137,229,210,103,-128,-0.25
D1,25/11/17,Dortmund,Schalke 04,4,4,4,0,-139,320,333,-172,137,-1
D1,25/11/17,Ein Frankfurt,Leverkusen,0,1,0,0,162,250,162,-145,116,0
D1,25/11/17,Freiburg,Mainz,2,1,0,0,175,229,160,101,-125,0
D1,25/11/17,M'gladbach,Bayern Munich,2,1,2,0,475,375,-200,-263,199,1
D1,25/11/17,RB Leipzig,Werder Bremen,2,0,1,0,-200,333,550,-208,162,-1
D1,26/11/17,FC Koln,Hertha,0,2,0,1,150,220,200,121,-152,-0.25
D1,26/11/17,Hamburg,Hoffenheim,3,0,1,0,179,239,150,-135,109,0
D1,01/12/17,Freiburg,Hamburg,0,0,0,0,150,225,189,111,-139,-0.25
D1,02/12/17,Bayern Munich,Hannover,3,1,1,1,-714,800,1600,-345,249,-2.5
D1,02/12/17,Hoffenheim,RB Leipzig,4,0,1,0,229,260,110,-169,-192,0.25
D1,02/12/17,Leverkusen,Dortmund,1,1,1,0,125,260,200,-222,-145,-0.25
D1,02/12/17,Mainz,Augsburg,1,3,0,2,160,225,179,-102,-122,0
D1,02/12/17,Schalke 04,FC Koln,2,2,1,0,-227,333,700,-123,100,-1
D1,02/12/17,Werder Bremen,Stuttgart,1,0,1,0,129,239,210,-139,112,-0.25
D1,03/12/17,Hertha,Ein Frankfurt,1,2,1,1,170,225,170,114,-145,0
D1,03/12/17,Wolfsburg,M'gladbach,3,0,2,0,162,239,162,-152,120,0
D1,08/12/17,Stuttgart,Leverkusen,0,2,0,1,220,250,125,-139,112,0.25
D1,09/12/17,Dortmund,Werder Bremen,1,2,0,1,-256,425,600,-303,224,-1.25
D1,09/12/17,Ein Frankfurt,Bayern Munich,0,1,0,1,600,375,-227,-179,-182,1
D1,09/12/17,Hamburg,Wolfsburg,0,0,0,0,150,229,187,-105,-116,-0.25
D1,09/12/17,M'gladbach,Schalke 04,1,1,1,0,125,239,220,-130,104,-0.25
D1,09/12/17,RB Leipzig,Mainz,2,2,2,1,-256,375,700,-164,130,-1.25
D1,10/12/17,Augsburg,Hertha,1,1,0,0,-105,229,300,111,-139,-0.75
D1,10/12/17,FC Koln,Freiburg,3,4,3,1,125,225,220,-102,-120,-0.25
D1,10/12/17,Hannover,Hoffenheim,2,0,0,0,170,239,150,-141,113,0.25
D1,12/12/17,Freiburg,M'gladbach,1,0,1,0,239,239,114,-137,110,0.25
D1,12/12/17,Hamburg,Ein Frankfurt,1,2,1,2,160,220,179,132,-164,-0.25
D1,12/12/17,Mainz,Dortmund,0,2,0,0,400,300,-164,-169,135,0.75
D1,12/12/17,Wolfsburg,RB Leipzig,1,1,1,0,200,260,129,-123,100,0.25
D1,13/12/17,Bayern Munich,FC Koln,1,0,0,0,-1250,1100,2500,-417,283,-2.75
D1,13/12/17,Hertha,Hannover,3,1,2,0,100,229,300,105,-130,-0.25
D1,13/12/17,Hoffenheim,Stuttgart,1,0,0,0,-111,260,300,-139,112,-0.75
D1,13/12/17,Leverkusen,Werder Bremen,1,0,1,0,-227,375,600,-227,171,-1
D1,13/12/17,Schalke 04,Augsburg,3,2,1,0,-120,260,350,-104,-119,-0.75
D1,15/12/17,M'gladbach,Hamburg,3,1,1,0,-125,260,350,-128,104,-0.75
D1,16/12/17,Augsburg,Freiburg,3,3,1,1,-133,260,400,-119,-103,-0.75
D1,16/12/17,Dortmund,Hoffenheim,2,1,0,1,-200,333,550,-238,179,-1
D1,16/12/17,Ein Frankfurt,Schalke 04,2,2,1,0,150,210,210,117,-147,-0.25
D1,16/12/17,FC Koln,Wolfsburg,1,0,0,0,260,250,104,-102,-120,0.25
D1,16/12/17,Stuttgart,Bayern Munich,0,1,0,0,900,400,-303,-172,136,1.5
D1,16/12/17,Werder Bremen,Mainz,2,2,2,0,-105,250,300,-115,-105,-0.75
D1,17/12/17,Hannover,Leverkusen,4,4,3,2,333,279,-125,-154,124,0.75
D1,17/12/17,RB Leipzig,Hertha,2,3,0,2,-175,279,500,-123,100,-1
D1,12/01/18,Leverkusen,Bayern Munich,1,3,0,1,320,279,-120,-185,146,0.5
D1,13/01/18,Augsburg,Hamburg,1,0,1,0,-105,239,320,100,-123,-0.5
D1,13/01/18,Ein Frankfurt,Freiburg,1,1,1,0,-118,250,350,-106,-115,-0.75
D1,13/01/18,Hannover,Mainz,3,2,2,2,120,239,229,-120,-102,-0.25
D1,13/01/18,RB Leipzig,Schalke 04,3,1,1,0,110,239,260,-118,-104,-0.25
