Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
SP1,15/08/2024,18:00,Ath Bilbao,Getafe,1,1,1,0,-208,300,700,120,-149,-1
SP1,15/08/2024,20:30,Betis,Girona,1,1,1,0,135,240,200,-103,-108,-0.25
SP1,16/08/2024,18:00,Celta,Alaves,2,1,0,1,100,220,310,120,-149,-0.25
SP1,16/08/2024,20:30,Las Palmas,Sevilla,2,2,1,1,180,225,163,120,-149,0
SP1,17/08/2024,18:00,Osasuna,Leganes,1,1,0,1,-118,230,350,130,-161,-0.5
SP1,17/08/2024,20:30,Valencia,Barcelona,1,2,1,1,375,280,-137,-118,105,0.5
SP1,18/08/2024,18:00,Sociedad,Vallecano,1,2,0,0,-175,275,600,130,-161,-0.75
SP1,18/08/2024,20:30,Mallorca,Real Madrid,1,1,0,1,700,320,-222,-105,-105,1.25
SP1,19/08/2024,18:00,Valladolid,Espanol,1,0,1,0,138,200,240,130,-161,-0.25
SP1,19/08/2024,20:30,Villarreal,Ath Madrid,2,2,2,2,230,270,110,-137,110,0.25
SP1,23/08/2024,18:00,Celta,Valencia,3,1,2,1,110,240,260,110,-137,-0.25
SP1,23/08/2024,20:30,Sevilla,Villarreal,1,2,1,1,140,260,180,-137,110,-0.25
SP1,24/08/2024,16:00,Osasuna,Mallorca,1,0,0,0,145,210,210,175,-227,-0.25
SP1,24/08/2024,18:00,Barcelona,Ath Bilbao,2,1,1,1,-161,320,400,-149,120,-1
SP1,24/08/2024,20:30,Espanol,Sociedad,0,1,0,0,290,220,105,163,-200,0.25
SP1,24/08/2024,20:30,Getafe,Vallecano,0,0,0,0,145,200,220,175,-227,-0.25
SP1,25/08/2024,16:00,Real Madrid,Valladolid,3,0,0,0,-556,650,1400,-250,200,-2.25
SP1,25/08/2024,18:00,Leganes,Las Palmas,2,1,0,0,125,200,260,175,-227,-0.25
SP1,25/08/2024,18:15,Alaves,Betis,0,0,0,0,138,210,225,138,-175,-0.25
SP1,25/08/2024,20:30,Ath Madrid,Girona,3,0,1,0,-167,310,450,-161,130,-1.25
SP1,26/08/2024,20:30,Villarreal,Celta,4,3,1,2,-110,240,280,-102,-109,-0.75
SP1,27/08/2024,18:00,Mallorca,Sevilla,0,0,0,0,138,210,225,150,-189,-0.25
SP1,27/08/2024,20:30,Vallecano,Barcelona,1,2,1,0,425,280,-161,-110,-101,0.75
SP1,28/08/2024,18:00,Ath Bilbao,Valencia,1,0,1,0,-161,290,475,110,-137,-0.75
SP1,28/08/2024,18:00,Valladolid,Leganes,0,0,0,0,130,200,260,163,-200,-0.25
SP1,28/08/2024,20:30,Ath Madrid,Espanol,0,0,0,0,-333,425,1000,-125,100,-1.5
SP1,28/08/2024,20:30,Sociedad,Alaves,1,2,1,1,-143,250,475,150,-189,-0.75
SP1,29/08/2024,18:00,Girona,Osasuna,4,0,1,0,-143,300,333,-125,100,-0.75
SP1,29/08/2024,20:30,Las Palmas,Real Madrid,1,1,1,0,700,400,-263,-175,138,1.5
SP1,31/08/2024,16:00,Barcelona,Valladolid,7,0,3,0,-400,525,900,-227,175,-2
SP1,31/08/2024,18:00,Ath Bilbao,Ath Madrid,0,1,0,0,200,230,138,100,-125,0
SP1,31/08/2024,18:15,Espanol,Vallecano,2,1,1,1,180,200,180,163,-200,0
SP1,31/08/2024,20:30,Leganes,Mallorca,0,1,0,1,150,200,220,175,-227,0
SP1,31/08/2024,20:30,Valencia,Villarreal,1,1,1,1,180,240,145,-119,106,0
SP1,01/09/2024,16:00,Alaves,Las Palmas,2,0,1,0,-105,240,300,130,-161,-0.75
SP1,01/09/2024,16:00,Osasuna,Celta,3,2,2,1,145,225,200,110,-137,-0.25
SP1,01/09/2024,18:00,Sevilla,Girona,0,2,0,1,135,280,175,-149,120,0.25
SP1,01/09/2024,18:15,Getafe,Sociedad,0,0,0,0,250,190,138,200,-250,0
SP1,01/09/2024,20:30,Real Madrid,Betis,2,0,0,0,-345,475,850,-189,150,-1.75
SP1,13/09/2024,20:00,Betis,Leganes,2,0,0,0,-161,270,525,130,-161,-0.75
SP1,14/09/2024,13:00,Mallorca,Villarreal,1,2,0,1,145,240,188,110,-137,-0.25
SP1,14/09/2024,15:15,Espanol,Alaves,3,2,1,1,163,220,180,163,-200,0
SP1,14/09/2024,17:30,Sevilla,Getafe,1,0,1,0,120,200,270,163,-200,-0.25
SP1,14/09/2024,20:00,Sociedad,Real Madrid,0,2,0,0,375,290,-149,100,-111,0.75
SP1,15/09/2024,13:00,Celta,Valladolid,3,1,2,0,-149,275,450,-118,105,-0.75
SP1,15/09/2024,15:15,Girona,Barcelona,1,4,0,2,320,280,-125,-189,150,0.75
SP1,15/09/2024,17:30,Las Palmas,Ath Bilbao,2,3,0,2,280,240,100,110,-137,0.5
SP1,15/09/2024,20:00,Ath Madrid,Valencia,3,0,1,0,-303,350,1000,-109,-102,-1.25
SP1,16/09/2024,20:00,Vallecano,Osasuna,3,1,0,1,105,210,300,163,-200,-0.25
SP1,17/09/2024,18:00,Mallorca,Sociedad,1,0,1,0,190,175,200,220,-278,0
SP1,18/09/2024,18:00,Betis,Getafe,2,1,0,0,-110,200,400,200,-250,-0.5
SP1,19/09/2024,18:00,Leganes,Ath Bilbao,0,2,0,0,275,220,105,150,-189,0.25
SP1,20/09/2024,20:00,Alaves,Sevilla,2,1,1,0,115,210,270,120,-149,-0.25
SP1,21/09/2024,13:00,Valladolid,Sociedad,0,0,0,0,290,200,120,163,-200,0.25
SP1,21/09/2024,15:15,Osasuna,Las Palmas,2,1,1,1,-111,240,320,120,-149,-0.5
SP1,21/09/2024,17:30,Valencia,Girona,2,0,0,0,188,230,150,107,-120,0
SP1,21/09/2024,20:00,Real Madrid,Espanol,4,1,0,0,-588,600,1800,-250,200,-2.25
SP1,22/09/2024,13:00,Getafe,Leganes,1,1,0,0,105,180,375,240,-303,-0.5
SP1,22/09/2024,15:15,Ath Bilbao,Celta,3,1,2,1,-143,270,425,-137,110,-0.75
SP1,22/09/2024,17:30,Villarreal,Barcelona,1,5,1,2,290,290,-118,-250,200,0.5
SP1,22/09/2024,20:00,Vallecano,Ath Madrid,1,1,1,0,400,240,-125,120,-149,0.75
SP1,23/09/2024,20:00,Betis,Mallorca,1,2,1,1,-118,230,375,150,-189,-0.5
SP1,24/09/2024,18:00,Sevilla,Valladolid,2,1,1,0,-154,280,450,104,-116,-1
SP1,24/09/2024,18:00,Valencia,Osasuna,0,0,0,0,100,210,300,163,-200,-0.5
SP1,24/09/2024,20:00,Real Madrid,Alaves,3,2,2,0,-500,550,1200,-200,163,-2
SP1,25/09/2024,18:00,Girona,Vallecano,0,0,0,0,-137,270,350,-101,-110,-0.75
SP1,25/09/2024,20:00,Barcelona,Getafe,1,0,1,0,-400,525,900,-175,138,-1.5
SP1,26/09/2024,18:00,Espanol,Villarreal,1,2,1,1,225,250,115,-116,104,0.25
