Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
SP1,30/09/2018,Villarreal,Valladolid,0,1,0,0,-189,300,550,-104,-119,-1
SP1,01/10/2018,Celta,Getafe,1,1,1,0,100,250,280,110,-137,-0.75
SP1,05/10/2018,Ath Bilbao,Sociedad,1,3,1,1,104,240,280,106,-132,-0.25
SP1,06/10/2018,Alaves,Real Madrid,1,0,0,0,800,375,-278,-189,-169,1.25
SP1,06/10/2018,Getafe,Levante,0,1,0,0,-139,260,425,-105,-118,-1
SP1,06/10/2018,Girona,Eibar,2,3,2,2,110,220,280,132,-167,-0.25
SP1,06/10/2018,Leganes,Vallecano,1,0,1,0,100,230,300,120,-149,-0.25
SP1,07/10/2018,Ath Madrid,Betis,1,0,0,0,-227,300,800,119,-149,-1
SP1,07/10/2018,Espanol,Villarreal,3,1,1,1,125,220,240,127,-159,-0.25
SP1,07/10/2018,Sevilla,Celta,2,1,1,0,-189,333,500,-213,162,-1
SP1,07/10/2018,Valencia,Barcelona,1,1,1,1,375,320,-156,-185,143,1
SP1,07/10/2018,Valladolid,Huesca,1,0,1,0,-111,250,320,113,-141,-0.75
SP1,19/10/2018,Celta,Alaves,0,1,0,0,-152,300,400,-114,-109,-1
SP1,20/10/2018,Barcelona,Sevilla,4,2,2,0,-303,500,650,-385,272,-1.75
SP1,20/10/2018,Real Madrid,Levante,1,2,0,2,-714,750,1800,-417,292,-2.25
SP1,20/10/2018,Valencia,Leganes,1,1,0,0,-200,300,650,107,-133,-1
SP1,20/10/2018,Villarreal,Ath Madrid,1,1,0,0,280,210,114,147,-185,0.25
SP1,21/10/2018,Betis,Valladolid,0,1,0,1,-164,280,500,-102,-120,-1
SP1,21/10/2018,Eibar,Ath Bilbao,1,1,1,1,170,220,175,129,-164,-0.25
SP1,21/10/2018,Huesca,Espanol,0,2,0,1,250,230,114,115,-143,0.25
SP1,21/10/2018,Vallecano,Getafe,1,2,0,0,190,230,150,123,-154,0.25
SP1,22/10/2018,Sociedad,Girona,0,0,0,0,-139,275,400,-111,-112,-1
SP1,24/10/2018,Vallecano,Ath Bilbao,1,1,1,0,230,230,125,-103,-120,0.25
SP1,26/10/2018,Valladolid,Espanol,1,1,0,1,240,210,125,138,-172,0.25
SP1,27/10/2018,Ath Bilbao,Valencia,0,0,0,0,150,230,187,109,-137,-0.25
