Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
SP1,27/08/11,Granada,Betis,0,1,0,0,130,240,200,102,-132,-0.25
SP1,27/08/11,Sp Gijon,Sociedad,1,2,0,1,105,225,275,110,-143,-0.5
SP1,27/08/11,Valencia,Santander,4,3,1,2,-250,333,700,-132,100,-1.25
SP1,28/08/11,Ath Bilbao,Vallecano,1,1,0,0,-175,275,500,-122,-105,-1
SP1,28/08/11,Ath Madrid,Osasuna,0,0,0,0,-189,280,550,-118,-110,-1
SP1,28/08/11,Getafe,Levante,1,1,0,0,-125,250,350,-105,-122,-0.75
SP1,28/08/11,Mallorca,Espanol,1,0,0,0,100,240,275,105,-137,-0.5
SP1,28/08/11,Sevilla,Malaga,2,1,2,0,110,240,240,-139,106,-0.25
SP1,28/08/11,Zaragoza,Real Madrid,0,6,0,2,750,400,-303,-189,139,1.5
SP1,29/08/11,Barcelona,Villarreal,5,0,2,0,-400,475,1000,-238,167,-1.75
SP1,10/09/11,Real Madrid,Getafe,4,2,1,1,-1250,900,2500,-370,254,-2.5
SP1,10/09/11,Sociedad,Barcelona,2,2,0,2,1400,600,-588,-227,165,2
SP1,10/09/11,Valencia,Ath Madrid,1,0,0,0,-110,260,275,-128,100,-0.5
SP1,10/09/11,Villarreal,Sevilla,2,2,1,1,110,240,240,-114,-111,-0.25
SP1,11/09/11,Betis,Mallorca,1,0,0,0,-110,240,300,105,-137,-0.5
SP1,11/09/11,Espanol,Ath Bilbao,2,1,1,0,140,230,190,103,-132,0
SP1,11/09/11,Osasuna,Sp Gijon,2,1,2,0,-110,240,300,125,-164,-0.5
SP1,11/09/11,Santander,Levante,0,0,0,0,110,230,250,114,-149,-0.25
SP1,11/09/11,Vallecano,Zaragoza,0,0,0,0,120,220,240,111,-145,-0.25
SP1,12/09/11,Malaga,Granada,4,0,2,0,-250,333,750,-143,110,-1.25
SP1,17/09/11,Barcelona,Osasuna,8,0,5,0,-1250,900,2500,-357,248,-2.75
SP1,17/09/11,Granada,Villarreal,1,0,0,0,230,230,120,-108,-119,0.25
SP1,17/09/11,Mallorca,Malaga,0,1,0,1,210,240,125,-111,-115,0.25
SP1,17/09/11,Sevilla,Sociedad,1,0,0,0,-189,300,500,-154,118,-1
SP1,17/09/11,Sp Gijon,Valencia,0,1,0,1,230,230,120,101,-130,0.25
SP1,18/09/11,Ath Bilbao,Betis,2,3,1,3,100,240,275,-103,-125,-0.5
SP1,18/09/11,Ath Madrid,Santander,4,0,2,0,-227,320,650,-132,102,-1
SP1,18/09/11,Getafe,Vallecano,0,1,0,1,-105,250,280,105,-137,-0.5
SP1,18/09/11,Levante,Real Madrid,1,0,0,0,1200,550,-500,-250,178,1.75
SP1,18/09/11,Zaragoza,Espanol,2,1,1,0,110,220,260,115,-152,-0.25
SP1,20/09/11,Osasuna,Sevilla,0,0,0,0,163,230,163,101,-128,0.25
SP1,20/09/11,Sociedad,Granada,1,0,0,0,100,240,275,-106,-120,-0.5
SP1,20/09/11,Villarreal,Mallorca,2,0,1,0,-161,275,450,-114,-112,-0.75
SP1,21/09/11,Ath Madrid,Sp Gijon,4,0,1,0,-250,350,650,-141,108,-1.25
SP1,21/09/11,Malaga,Ath Bilbao,1,0,0,0,-161,275,450,-137,106,-0.75
SP1,21/09/11,Santander,Real Madrid,0,0,0,0,1200,550,-500,-256,179,1.75
SP1,21/09/11,Valencia,Barcelona,2,2,2,1,650,350,-250,-208,151,1.25
SP1,21/09/11,Vallecano,Levante,1,2,0,2,110,225,250,120,-156,-0.25
SP1,22/09/11,Betis,Zaragoza,4,3,2,1,-149,260,425,-102,-127,-0.75
SP1,22/09/11,Espanol,Getafe,1,0,0,0,110,225,250,104,-135,-0.25
SP1,24/09/11,Ath Bilbao,Villarreal,1,1,1,0,120,225,230,-108,-118,-0.25
SP1,24/09/11,Barcelona,Ath Madrid,5,0,3,0,-500,550,1200,-345,235,-2
