Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
SP1,17/08/13,Sociedad,Getafe,2,0,1,0,-137,260,375,-106,-115,
SP1,17/08/13,Valencia,Malaga,1,0,0,0,-189,300,500,-139,111,
SP1,17/08/13,Valladolid,Ath Bilbao,1,2,1,1,150,230,180,101,-127,
SP1,18/08/13,Barcelona,Levante,7,0,6,0,-1250,900,2500,-435,296,
SP1,18/08/13,Osasuna,Granada,1,2,0,2,100,230,275,123,-154,
SP1,18/08/13,Real Madrid,Betis,2,1,1,1,-588,600,1600,-357,248,
SP1,18/08/13,Sevilla,Ath Madrid,1,3,1,1,180,230,150,-102,-122,
SP1,19/08/13,Almeria,Villarreal,2,3,1,0,160,220,175,119,-152,
SP1,19/08/13,Celta,Espanol,2,2,1,0,120,220,240,122,-154,
SP1,19/08/13,Vallecano,Elche,3,0,2,0,125,225,225,104,-132,
SP1,23/08/13,Ath Bilbao,Osasuna,2,0,1,0,-161,275,450,-111,-111,-1
SP1,23/08/13,Getafe,Almeria,2,2,1,2,-118,250,320,108,-135,-0.75
SP1,24/08/13,Elche,Sociedad,1,1,1,0,220,240,120,-104,-119,0.25
SP1,24/08/13,Espanol,Valencia,3,1,1,1,200,225,138,-102,-120,0
SP1,24/08/13,Villarreal,Valladolid,2,1,1,1,-118,260,300,105,-132,-0.5
SP1,25/08/13,Ath Madrid,Vallecano,5,0,3,0,-345,425,900,-167,128,-1.5
SP1,25/08/13,Betis,Celta,1,2,0,0,-125,250,350,-106,-115,-0.5
SP1,25/08/13,Levante,Sevilla,0,0,0,0,250,230,110,105,-132,0.25
SP1,25/08/13,Malaga,Barcelona,0,1,0,1,1200,500,-455,-270,193,2
SP1,26/08/13,Granada,Real Madrid,0,1,0,1,650,450,-303,-244,175,1.5
SP1,30/08/13,Almeria,Elche,2,2,2,1,100,230,280,102,-128,-0.5
SP1,30/08/13,Vallecano,Levante,1,2,0,1,-137,260,375,-103,-120,-0.75
SP1,31/08/13,Celta,Granada,1,1,1,0,120,230,230,112,-141,-0.5
SP1,31/08/13,Osasuna,Villarreal,0,3,0,2,150,220,188,122,-154,0
SP1,31/08/13,Valladolid,Getafe,1,0,0,0,110,230,250,118,-149,-0.5
SP1,01/09/13,Espanol,Betis,0,0,0,0,105,240,260,-101,-123,-0.5
SP1,01/09/13,Real Madrid,Ath Bilbao,3,1,2,0,-588,600,1500,-345,237,-2
SP1,01/09/13,Sevilla,Malaga,2,2,1,1,-161,280,450,-108,-115,-1
SP1,01/09/13,Sociedad,Ath Madrid,1,2,0,1,190,230,138,-103,-120,0
SP1,01/09/13,Valencia,Barcelona,2,3,2,3,450,333,-189,-196,148,1
SP1,14/09/13,Ath Madrid,Almeria,4,2,2,1,-400,500,1000,-196,143,-1.5
SP1,14/09/13,Barcelona,Sevilla,3,2,1,0,-556,600,1400,-370,256,-2
SP1,14/09/13,Levante,Sociedad,0,0,0,0,210,225,130,108,-135,0.25
SP1,14/09/13,Villarreal,Real Madrid,2,2,1,1,450,320,-175,-204,155,1
SP1,15/09/13,Betis,Valencia,3,1,3,0,163,230,163,-111,-111,0
SP1,15/09/13,Getafe,Osasuna,2,1,1,1,-105,230,300,121,-154,-0.5
SP1,15/09/13,Granada,Espanol,0,1,0,0,140,220,200,120,-152,-0.25
SP1,15/09/13,Malaga,Vallecano,5,0,2,0,-110,250,300,-125,100,-0.5
SP1,16/09/13,Ath Bilbao,Celta,3,2,1,1,-149,275,400,-123,-101,-1
SP1,16/09/13,Elche,Valladolid,0,0,0,0,125,225,225,113,-143,-0.5
SP1,20/09/13,Osasuna,Elche,2,1,1,0,100,240,275,127,-159,-0.5
SP1,21/09/13,Almeria,Levante,2,2,1,0,-125,250,350,101,-125,-0.5
SP1,21/09/13,Sociedad,Malaga,0,0,0,0,-110,250,300,-118,-105,-0.75
SP1,21/09/13,Valladolid,Ath Madrid,0,2,0,0,400,260,-143,-105,-119,0.75
SP1,21/09/13,Vallecano,Barcelona,0,4,0,1,1200,550,-500,-333,227,2
SP1,22/09/13,Betis,Granada,0,0,0,0,-149,260,450,-112,-111,-1
SP1,22/09/13,Celta,Villarreal,0,0,0,0,175,230,150,-112,-110,0
SP1,22/09/13,Real Madrid,Getafe,4,1,2,1,-769,750,1800,-435,289,-2.5
SP1,22/09/13,Valencia,Sevilla,3,1,1,0,-110,240,300,-130,103,-0.5
SP1,23/09/13,Espanol,Ath Bilbao,3,2,1,1,130,240,200,-111,-112,-0.25
SP1,24/09/13,Ath Madrid,Osasuna,2,1,2,1,-500,500,1400,-175,133,-2
SP1,24/09/13,Barcelona,Sociedad,4,1,3,0,-769,700,1800,-455,297,-2.5
SP1,24/09/13,Levante,Valladolid,1,1,1,1,110,230,250,135,-179,-0.5
SP1,24/09/13,Malaga,Almeria,2,0,0,0,-149,275,400,-149,119,-1
SP1,25/09/13,Elche,Real Madrid,1,2,0,0,900,450,-345,-263,188,1.5
SP1,25/09/13,Granada,Valencia,0,1,0,0,210,225,130,109,-137,0
SP1,25/09/13,Sevilla,Vallecano,4,1,1,0,-227,320,650,-182,140,-1
SP1,26/09/13,Ath Bilbao,Betis,2,1,0,0,-105,250,275,-128,102,-0.5
SP1,26/09/13,Getafe,Celta,2,0,1,0,110,230,250,112,-143,-0.5
SP1,26/09/13,Villarreal,Espanol,2,1,1,0,-137,250,400,-103,-123,-1
SP1,27/09/13,Valladolid,Malaga,2,2,0,1,190,220,145,120,-149,0
SP1,28/09/13,Almeria,Barcelona,0,2,0,1,1200,600,-556,-417,275,2
SP1,28/09/13,Real Madrid,Ath Madrid,0,1,0,1,-161,275,450,-213,155,-1
SP1,28/09/13,Sociedad,Sevilla,1,1,0,1,120,240,220,-116,-106,-0.25
SP1,28/09/13,Valencia,Vallecano,1,0,1,0,-345,425,900,-227,163,-1.5
SP1,29/09/13,Betis,Villarreal,1,0,1,0,150,230,175,-106,-118,0
SP1,29/09/13,Celta,Elche,0,1,0,0,-110,240,300,112,-141,-0.25
SP1,29/09/13,Espanol,Getafe,0,2,0,0,-143,260,400,105,-132,-1
SP1,29/09/13,Osasuna,Levante,0,1,0,0,105,230,260,129,-167,-0.5
SP1,30/09/13,Granada,Ath Bilbao,2,0,0,0,175,230,150,102,-128,0
SP1,04/10/13,Malaga,Osasuna,0,1,0,1,-189,300,500,-103,-120,-1
SP1,04/10/13,Villarreal,Granada,3,0,1,0,-227,333,600,-120,-103,-1
SP1,05/10/13,Barcelona,Valladolid,4,1,1,1,-1111,900,2000,-303,214,-2.5
SP1,05/10/13,Elche,Espanol,2,1,1,0,150,230,175,128,-161,0
SP1,05/10/13,Levante,Real Madrid,2,3,0,0,800,400,-303,-204,150,1.5
SP1,05/10/13,Vallecano,Sociedad,1,0,0,0,190,240,138,-127,101,0.25
SP1,06/10/13,Ath Bilbao,Valencia,1,1,0,1,110,250,230,-135,109,-0.25
SP1,06/10/13,Ath Madrid,Celta,2,1,1,0,-455,500,1200,-200,147,-2
SP1,06/10/13,Getafe,Betis,3,1,3,0,140,230,188,108,-135,-0.25
SP1,06/10/13,Sevilla,Almeria,2,1,1,1,-227,333,600,-189,140,-1
SP1,19/10/13,Espanol,Ath Madrid,1,0,0,0,425,260,-149,-101,-125,1
SP1,19/10/13,Osasuna,Barcelona,0,0,0,0,1100,500,-455,-250,174,1.5
SP1,19/10/13,Real Madrid,Malaga,2,0,0,0,-500,600,1000,-370,251,-2
SP1,19/10/13,Valencia,Sociedad,1,2,0,1,-137,250,400,-137,109,-0.75
SP1,20/10/13,Almeria,Vallecano,0,1,0,0,-110,260,275,-133,106,-0.5
SP1,20/10/13,Betis,Elche,1,2,1,2,-137,250,400,-101,-125,-0.5
SP1,20/10/13,Granada,Getafe,0,2,0,0,110,240,240,126,-164,-0.5
SP1,20/10/13,Valladolid,Sevilla,2,2,0,2,180,240,140,-105,-119,0
SP1,21/10/13,Ath Bilbao,Villarreal,2,0,2,0,120,240,220,-128,101,-0.25
SP1,21/10/13,Celta,Levante,0,1,0,0,105,240,250,119,-152,-0.5
SP1,25/10/13,Vallecano,Valladolid,0,3,0,2,-110,260,280,-109,-115,-0.5
SP1,26/10/13,Barcelona,Real Madrid,2,1,1,0,-133,300,333,-213,158,-0.75
SP1,26/10/13,Elche,Granada,0,1,0,1,-110,240,300,124,-159,-0.5
SP1,26/10/13,Levante,Espanol,3,0,2,0,140,230,190,126,-161,-0.25
SP1,26/10/13,Malaga,Celta,0,5,0,2,-143,260,400,-111,-112,-0.75
SP1,27/10/13,Ath Madrid,Betis,5,0,1,0,-400,450,1100,-182,133,-1.5
SP1,27/10/13,Sevilla,Osasuna,2,1,0,0,-200,320,550,-139,109,-1
SP1,27/10/13,Sociedad,Almeria,3,0,1,0,-175,300,450,-154,119,-1
SP1,27/10/13,Villarreal,Valencia,4,1,2,0,-105,250,280,-125,-102,-0.5
SP1,28/10/13,Getafe,Ath Bilbao,0,1,0,1,163,220,170,-109,-116,0
SP1,29/10/13,Celta,Barcelona,0,3,0,1,900,450,-345,-244,174,1.5
SP1,29/10/13,Espanol,Malaga,0,0,0,0,-110,230,320,114,-145,-0.25
SP1,30/10/13,Osasuna,Vallecano,3,1,2,0,110,230,250,101,-128,-0.5
SP1,30/10/13,Real Madrid,Sevilla,7,3,3,2,-556,600,1200,-345,231,-2
SP1,30/10/13,Valencia,Almeria,1,2,1,0,-250,350,700,-189,136,-1.5
