Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
SP1,15/08/2025,18:00,Girona,Vallecano,1,3,0,3,125,225,230,120,-149,-0.25
SP1,15/08/2025,20:30,Villarreal,Oviedo,2,0,2,0,-250,375,700,-118,100,-1.25
SP1,16/08/2025,18:30,Mallorca,Barcelona,0,3,0,2,600,400,-250,-161,130,1.5
SP1,16/08/2025,20:30,Alaves,Levante,2,1,1,0,115,200,280,163,-200,-0.25
SP1,16/08/2025,20:30,Valencia,Sociedad,1,1,0,0,160,190,210,175,-227,-0.25
SP1,17/08/2025,16:00,Celta,Getafe,0,2,0,0,-137,250,425,138,-175,-0.75
SP1,17/08/2025,18:30,Ath Bilbao,Sevilla,3,2,2,0,-175,290,500,110,-137,-1
SP1,17/08/2025,20:30,Espanol,Ath Madrid,2,1,0,1,500,290,-175,120,-149,1
SP1,18/08/2025,20:00,Elche,Betis,1,1,0,1,240,230,120,120,-149,0.25
SP1,19/08/2025,20:00,Real Madrid,Osasuna,1,0,0,0,-455,525,1200,-200,163,-2
SP1,22/08/2025,20:30,Betis,Alaves,1,0,1,0,-110,240,320,120,-149,-0.5
SP1,23/08/2025,16:00,Mallorca,Celta,1,1,0,1,200,210,155,138,-175,0.25
SP1,23/08/2025,18:30,Ath Madrid,Elche,1,1,1,1,-400,425,1400,-125,100,-1.5
SP1,23/08/2025,20:30,Levante,Barcelona,2,3,2,0,1000,500,-400,-278,220,2
SP1,24/08/2025,16:00,Osasuna,Valencia,1,0,1,0,140,220,210,138,-175,-0.25
SP1,24/08/2025,18:30,Sociedad,Espanol,2,2,0,2,-125,240,400,120,-149,-0.5
SP1,24/08/2025,18:30,Villarreal,Girona,5,0,4,0,-189,333,500,-149,120,-1.25
SP1,24/08/2025,20:30,Oviedo,Real Madrid,0,3,0,1,850,450,-333,-137,110,1.5
SP1,25/08/2025,18:30,Ath Bilbao,Vallecano,1,0,0,0,-143,250,450,120,-149,-0.75
SP1,25/08/2025,20:30,Sevilla,Getafe,1,2,1,1,125,200,260,163,-200,-0.5
SP1,27/08/2025,20:00,Celta,Betis,1,1,0,1,120,240,225,-111,-105,-0.25
SP1,29/08/2025,18:30,Elche,Levante,2,0,0,0,115,225,250,130,-161,-0.25
SP1,29/08/2025,20:30,Valencia,Getafe,3,0,1,0,130,190,260,200,-250,-0.25
SP1,30/08/2025,16:00,Alaves,Ath Madrid,1,1,1,1,375,250,-125,120,-149,0.75
SP1,30/08/2025,18:00,Oviedo,Sociedad,1,0,1,0,250,210,125,150,-189,0.25
SP1,30/08/2025,18:30,Girona,Sevilla,0,2,0,1,140,230,200,105,-125,-0.25
SP1,30/08/2025,20:30,Real Madrid,Mallorca,2,1,2,1,-556,600,1400,-175,138,-2
SP1,31/08/2025,16:00,Celta,Villarreal,1,1,0,0,175,250,150,-137,110,0.25
SP1,31/08/2025,18:00,Betis,Ath Bilbao,1,2,0,0,200,210,155,120,-149,0.25
SP1,31/08/2025,18:30,Espanol,Osasuna,1,0,0,0,138,220,210,120,-149,0
SP1,31/08/2025,20:30,Vallecano,Barcelona,1,1,0,1,525,450,-250,-227,175,1.25
SP1,12/09/2025,20:00,Sevilla,Elche,2,2,1,0,-118,240,350,120,-149,-0.5
SP1,13/09/2025,13:00,Getafe,Oviedo,2,0,2,0,-105,210,350,175,-227,-0.5
SP1,13/09/2025,15:15,Sociedad,Real Madrid,1,2,0,2,400,333,-167,-137,110,1
SP1,13/09/2025,17:30,Ath Bilbao,Alaves,0,1,0,0,-167,290,475,120,-149,-0.75
SP1,13/09/2025,20:00,Ath Madrid,Villarreal,2,0,1,0,-125,270,333,-137,110,-0.75
SP1,14/09/2025,13:00,Celta,Girona,1,1,0,1,-137,290,375,-137,110,-0.75
SP1,14/09/2025,15:15,Levante,Betis,2,2,2,1,225,225,130,100,-125,0.5
SP1,14/09/2025,17:30,Osasuna,Vallecano,2,0,1,0,155,220,190,120,-149,0
