Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
SP1,28/08/10,Hercules,Ath Bilbao,0,1,0,0,150,225,180,112,-149,0
SP1,28/08/10,Levante,Sevilla,1,4,1,2,260,250,100,-105,-122,0
SP1,28/08/10,Malaga,Valencia,1,3,1,1,188,230,140,104,-135,0
SP1,29/08/10,Espanol,Getafe,3,1,1,0,110,230,250,125,-167,0
SP1,29/08/10,La Coruna,Zaragoza,0,0,0,0,110,230,250,121,-161,0
SP1,29/08/10,Mallorca,Real Madrid,0,0,0,0,700,375,-278,-175,129,0
SP1,29/08/10,Osasuna,Almeria,0,0,0,0,100,240,275,123,-164,0
SP1,29/08/10,Santander,Barcelona,0,3,0,2,1400,500,-500,-222,161,0
SP1,29/08/10,Sociedad,Villarreal,1,0,0,0,200,225,138,107,-141,0
SP1,30/08/10,Ath Madrid,Sp Gijon,4,0,2,0,-189,300,500,-135,103,0
SP1,11/09/10,Ath Bilbao,Ath Madrid,1,2,0,1,200,225,138,-116,-111,0
SP1,11/09/10,Barcelona,Hercules,0,2,0,1,-1667,1000,3300,-385,264,-2.75
SP1,11/09/10,Real Madrid,Osasuna,1,0,0,0,-588,550,1600,-217,158,-1.75
SP1,11/09/10,Valencia,Santander,1,0,1,0,-227,333,600,-123,-104,-1
SP1,12/09/10,Getafe,Levante,4,1,2,1,-175,280,500,-114,-114,-1
SP1,12/09/10,Sevilla,La Coruna,0,0,0,0,-200,300,600,-109,-118,-1
SP1,12/09/10,Sp Gijon,Mallorca,2,0,0,0,140,230,190,108,-141,0
SP1,12/09/10,Villarreal,Espanol,4,0,2,0,-125,250,350,102,-132,0
SP1,12/09/10,Zaragoza,Malaga,3,5,1,5,-110,240,300,107,-141,0
SP1,13/09/10,Almeria,Sociedad,2,2,1,2,120,225,230,127,-167,0
SP1,18/09/10,Espanol,Almeria,1,0,0,0,100,230,275,113,-149,0
SP1,18/09/10,Mallorca,Osasuna,2,0,1,0,-110,240,300,113,-147,0
SP1,18/09/10,Sociedad,Real Madrid,1,2,0,0,750,360,-278,-149,114,0
SP1,18/09/10,Sp Gijon,Ath Bilbao,2,2,2,1,140,225,190,109,-143,0
SP1,19/09/10,Ath Madrid,Barcelona,1,2,1,2,400,275,-149,-200,150,0
SP1,19/09/10,Hercules,Valencia,1,2,1,2,250,220,115,-108,-119,0
SP1,19/09/10,Levante,Villarreal,1,2,0,2,275,230,100,-116,-111,0
SP1,19/09/10,Malaga,Sevilla,1,2,1,2,225,225,120,-119,-109,0
SP1,19/09/10,Santander,Zaragoza,2,0,0,0,125,220,225,101,-130,0
SP1,20/09/10,La Coruna,Getafe,2,2,0,1,125,220,225,121,-159,0
SP1,21/09/10,Ath Bilbao,Mallorca,3,0,1,0,-110,240,300,102,-133,-0.5
SP1,21/09/10,Osasuna,Sociedad,3,1,2,1,110,225,260,124,-161,0
SP1,21/09/10,Real Madrid,Espanol,3,0,1,0,-588,600,1400,-208,152,-2
SP1,22/09/10,Almeria,Levante,0,1,0,1,-133,250,375,-111,-116,-0.5
SP1,22/09/10,Barcelona,Sp Gijon,1,0,0,0,-714,600,2000,-244,172,-2
SP1,22/09/10,Valencia,Ath Madrid,1,1,0,1,110,225,250,-152,115,-0.25
SP1,22/09/10,Zaragoza,Hercules,0,0,0,0,-105,230,300,-104,-125,-0.5
SP1,23/09/10,Getafe,Malaga,0,2,0,0,-125,240,375,-103,-127,-0.5
SP1,23/09/10,Sevilla,Santander,1,1,1,0,-200,300,600,-132,102,-1
SP1,23/09/10,Villarreal,La Coruna,1,0,1,0,-149,275,400,101,-130,-0.75
SP1,25/09/10,Ath Bilbao,Barcelona,1,3,0,0,500,280,-175,-164,124,0
SP1,25/09/10,Levante,Real Madrid,0,0,0,0,1100,450,-400,-161,123,1.5
SP1,25/09/10,Sp Gijon,Valencia,0,2,0,2,225,230,120,-101,-128,0
SP1,26/09/10,Ath Madrid,Zaragoza,1,0,1,0,-189,300,500,-152,114,-1
SP1,26/09/10,Espanol,Osasuna,1,0,1,0,120,230,225,123,-164,0
SP1,26/09/10,Hercules,Sevilla,2,0,2,0,250,230,110,-103,-125,0
SP1,26/09/10,La Coruna,Almeria,0,2,0,2,110,230,250,122,-161,0
SP1,26/09/10,Mallorca,Sociedad,2,0,1,0,105,230,260,103,-135,0
SP1,26/09/10,Santander,Getafe,0,1,0,1,140,230,190,104,-135,0
SP1,27/09/10,Malaga,Villarreal,2,3,2,3,200,225,138,-108,-120,0
SP1,02/10/10,Sociedad,Espanol,1,0,0,0,120,225,225,123,-161,0
SP1,02/10/10,Valencia,Ath Bilbao,2,1,1,0,-137,240,425,-120,-106,0
SP1,02/10/10,Zaragoza,Sp Gijon,2,2,0,1,105,230,260,104,-135,0
SP1,03/10/10,Almeria,Malaga,1,1,0,0,120,225,225,-101,-127,0
SP1,03/10/10,Barcelona,Mallorca,1,1,1,1,-588,600,1400,-227,163,-2
SP1,03/10/10,Getafe,Hercules,3,0,2,0,105,230,260,-105,-122,0
SP1,03/10/10,Osasuna,Levante,1,1,0,0,-137,250,400,107,-139,0
SP1,03/10/10,Real Madrid,La Coruna,6,1,3,0,-588,600,1400,-182,134,-2
SP1,03/10/10,Sevilla,Ath Madrid,3,1,2,0,110,230,250,-125,-104,0
SP1,03/10/10,Villarreal,Santander,2,0,2,0,-137,250,400,-116,-111,0
SP1,16/10/10,Ath Madrid,Getafe,2,0,1,0,-125,250,350,-141,110,0
SP1,16/10/10,Barcelona,Valencia,2,1,0,1,-250,350,650,-196,146,0
SP1,16/10/10,Malaga,Real Madrid,1,4,0,2,700,350,-250,-172,128,1.25
SP1,17/10/10,Ath Bilbao,Zaragoza,2,1,2,0,-125,250,350,-108,-119,0
SP1,17/10/10,La Coruna,Osasuna,0,0,0,0,130,220,220,132,-179,0
SP1,17/10/10,Levante,Sociedad,2,1,0,0,140,220,200,106,-137,0
SP1,17/10/10,Mallorca,Espanol,0,1,0,1,-110,240,300,114,-149,-0.5
SP1,17/10/10,Santander,Almeria,1,0,1,0,110,230,250,118,-154,0
SP1,17/10/10,Sp Gijon,Sevilla,2,0,1,0,240,240,110,103,-133,0
SP1,18/10/10,Hercules,Villarreal,2,2,2,1,180,225,150,100,-130,0
SP1,23/10/10,Real Madrid,Santander,6,1,3,0,-714,600,2000,-213,157,-2
SP1,23/10/10,Valencia,Mallorca,1,2,1,2,-175,275,500,-132,103,-1
SP1,23/10/10,Zaragoza,Barcelona,0,2,0,1,1000,475,-400,-185,139,1.75
SP1,24/10/10,Almeria,Hercules,1,1,0,1,120,225,225,126,-161,0
SP1,24/10/10,Espanol,Levante,2,1,1,0,-133,240,400,129,-167,-0.75
SP1,24/10/10,Getafe,Sp Gijon,3,0,1,0,-137,250,400,105,-135,-0.75
SP1,24/10/10,Osasuna,Malaga,3,0,2,0,110,225,250,129,-169,0
SP1,24/10/10,Sevilla,Ath Bilbao,4,3,2,0,-143,260,400,-112,-114,-0.75
SP1,24/10/10,Villarreal,Ath Madrid,2,0,1,0,130,225,210,-128,100,0
SP1,25/10/10,Sociedad,La Coruna,3,0,1,0,110,225,250,137,-185,0
SP1,30/10/10,Barcelona,Sevilla,5,0,2,0,-345,400,1000,-196,147,-1.5
SP1,30/10/10,Hercules,Real Madrid,1,3,1,0,900,400,-333,-189,142,1.5
SP1,30/10/10,Valencia,Zaragoza,1,1,1,1,-250,333,650,-147,115,-1
SP1,31/10/10,Ath Bilbao,Getafe,3,0,2,0,100,250,260,-115,-112,-0.5
SP1,31/10/10,Ath Madrid,Almeria,1,1,1,1,-200,333,500,-135,106,-1
SP1,31/10/10,La Coruna,Espanol,3,0,1,0,163,230,163,140,-189,0
SP1,31/10/10,Malaga,Sociedad,1,2,0,1,110,225,260,100,-128,0
SP1,31/10/10,Santander,Osasuna,4,1,2,0,150,230,175,128,-167,0
SP1,31/10/10,Sp Gijon,Villarreal,1,1,0,0,250,230,110,-109,-118,0
SP1,01/11/10,Mallorca,Levante,2,1,0,1,-161,280,450,-105,-122,-0.75
SP1,06/11/10,Espanol,Malaga,1,0,1,0,-110,240,300,110,-143,-0.5
SP1,06/11/10,Sociedad,Santander,1,0,1,0,110,225,260,110,-143,0
SP1,07/11/10,Almeria,Sp Gijon,1,1,1,0,110,230,250,127,-169,0
SP1,07/11/10,Getafe,Barcelona,1,3,0,2,750,400,-303,-167,124,1.5
SP1,07/11/10,Levante,La Coruna,1,2,0,1,130,220,220,130,-172,0
SP1,07/11/10,Osasuna,Hercules,3,0,1,0,100,230,280,129,-172,-0.5
SP1,07/11/10,Real Madrid,Ath Madrid,2,0,2,0,-345,450,850,-250,180,-1.5
SP1,07/11/10,Villarreal,Ath Bilbao,4,1,2,1,-125,260,333,-145,112,-0.5
SP1,07/11/10,Zaragoza,Mallorca,3,2,0,1,140,220,200,103,-133,0
SP1,08/11/10,Sevilla,Valencia,2,0,0,0,120,240,220,-137,105,0
SP1,13/11/10,Ath Bilbao,Almeria,1,0,1,0,-149,275,400,-112,-114,-0.75
SP1,13/11/10,Ath Madrid,Osasuna,3,0,2,0,-161,275,450,-123,-104,0
SP1,13/11/10,Barcelona,Villarreal,3,1,1,1,-500,525,1200,-278,198,-1.75
SP1,14/11/10,Hercules,Sociedad,2,1,0,1,110,230,250,114,-147,0
SP1,14/11/10,Malaga,Levante,1,0,0,0,-105,250,280,-111,-115,-0.5
SP1,14/11/10,Mallorca,La Coruna,0,0,0,0,-125,250,350,123,-161,-0.75
SP1,14/11/10,Santander,Espanol,0,0,0,0,138,200,220,126,-164,0
SP1,14/11/10,Sp Gijon,Real Madrid,0,1,0,0,1100,450,-400,-192,145,1.5
SP1,14/11/10,Valencia,Getafe,2,0,1,0,-161,275,450,-147,114,0
SP1,14/11/10,Zaragoza,Sevilla,1,2,0,1,200,225,138,-118,-109,0
SP1,20/11/10,Almeria,Barcelona,0,8,0,5,1100,450,-400,-182,136,1.5
SP1,20/11/10,Real Madrid,Ath Bilbao,5,1,2,1,-588,600,1400,-244,175,-2
SP1,20/11/10,Villarreal,Valencia,1,1,0,1,100,250,260,-147,114,0
SP1,21/11/10,Espanol,Hercules,3,0,1,0,-110,230,320,119,-154,-0.5
SP1,21/11/10,La Coruna,Malaga,3,0,2,0,125,225,220,125,-164,0
SP1,21/11/10,Levante,Santander,3,1,3,0,138,225,200,111,-145,0
SP1,21/11/10,Osasuna,Sp Gijon,1,0,0,0,-120,240,350,124,-161,-0.5
SP1,21/11/10,Sevilla,Mallorca,1,2,0,1,-149,275,400,-145,112,0
SP1,21/11/10,Sociedad,Ath Madrid,2,4,1,0,175,230,150,-119,-108,0
SP1,22/11/10,Getafe,Zaragoza,1,1,0,1,-125,250,350,-102,-123,0
SP1,27/11/10,Ath Madrid,Espanol,2,3,1,1,-161,260,500,-128,-101,0
SP1,27/11/10,Sevilla,Getafe,1,3,1,0,-149,275,400,-147,114,0
SP1,27/11/10,Zaragoza,Villarreal,0,3,0,2,225,225,120,-125,-103,0
SP1,28/11/10,Ath Bilbao,Osasuna,1,0,0,0,-137,260,375,-108,-119,0
SP1,28/11/10,Hercules,Levante,3,1,1,1,-120,250,333,102,-132,-0.5
SP1,28/11/10,Mallorca,Malaga,2,0,0,0,-137,275,350,-111,-115,0
SP1,28/11/10,Santander,La Coruna,1,0,0,0,120,220,240,125,-164,0
SP1,28/11/10,Sp Gijon,Sociedad,1,3,1,2,110,225,260,122,-159,0
SP1,28/11/10,Valencia,Almeria,2,1,1,0,-303,400,800,-149,115,-1.25
SP1,29/11/10,Barcelona,Real Madrid,5,0,2,0,110,230,250,-159,124,0
SP1,04/12/10,Levante,Ath Madrid,2,0,1,0,320,250,-120,-132,102,0
SP1,04/12/10,Osasuna,Barcelona,0,3,0,1,1400,500,-500,-189,140,1.75
SP1,04/12/10,Real Madrid,Valencia,2,0,0,0,-250,350,650,-217,161,-1.25
SP1,05/12/10,Almeria,Zaragoza,1,1,0,0,120,220,240,117,-152,0
SP1,05/12/10,Espanol,Sp Gijon,1,0,0,0,-161,275,450,115,-149,-0.75
SP1,05/12/10,Getafe,Mallorca,3,0,2,0,100,240,275,-109,-116,-0.5
SP1,05/12/10,Malaga,Santander,4,1,2,1,100,240,275,-101,-125,-0.5
SP1,05/12/10,Sociedad,Ath Bilbao,2,0,1,0,130,230,210,-118,-109,0
SP1,05/12/10,Villarreal,Sevilla,1,0,1,0,-120,250,320,-128,100,0
SP1,06/12/10,La Coruna,Hercules,1,0,0,0,120,220,240,127,-167,0
SP1,11/12/10,Ath Madrid,La Coruna,2,0,2,0,-227,320,600,-130,103,-1
SP1,11/12/10,Getafe,Villarreal,1,0,0,0,150,230,175,-132,103,0
SP1,11/12/10,Sevilla,Almeria,1,3,0,0,-250,350,650,-145,112,-1.25
SP1,12/12/10,Ath Bilbao,Espanol,2,1,0,1,-105,240,290,-106,-119,-0.5
SP1,12/12/10,Barcelona,Sociedad,5,0,2,0,-1000,750,2500,-357,246,-2.5
SP1,12/12/10,Hercules,Malaga,4,1,0,1,110,240,240,-115,-111,0
SP1,12/12/10,Mallorca,Santander,0,1,0,0,-137,250,400,103,-132,-0.75
SP1,12/12/10,Sp Gijon,Levante,1,1,0,0,-110,250,290,102,-130,-0.5
SP1,12/12/10,Zaragoza,Real Madrid,1,3,0,2,1100,450,-400,-192,145,1.5
SP1,13/12/10,Valencia,Osasuna,3,3,3,1,-250,350,650,-123,-103,-1.25
SP1,18/12/10,Espanol,Barcelona,1,5,0,2,1100,450,-400,-200,149,1.75
