Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
SP1,21/08/15,Malaga,Sevilla,0,0,0,0,240,240,115,-116,-109,0.25
SP1,22/08/15,Ath Madrid,Las Palmas,1,0,1,0,-500,550,1400,-122,-104,-1.75
SP1,22/08/15,Espanol,Getafe,1,0,1,0,-110,240,333,137,-179,-0.5
SP1,22/08/15,La Coruna,Sociedad,0,0,0,0,150,220,200,137,-179,0
SP1,22/08/15,Vallecano,Valencia,0,0,0,0,260,250,105,-133,104,0.5
SP1,23/08/15,Ath Bilbao,Barcelona,0,1,0,0,550,333,-200,-167,127,1
SP1,23/08/15,Betis,Villarreal,1,1,0,1,180,225,160,112,-143,0
SP1,23/08/15,Levante,Celta,1,2,0,1,260,230,115,131,-169,0.25
SP1,23/08/15,Sp Gijon,Real Madrid,0,0,0,0,1200,550,-455,-200,153,1.75
SP1,24/08/15,Granada,Eibar,1,3,0,2,-110,230,350,168,-222,-0.5
SP1,28/08/15,Villarreal,Espanol,3,1,0,1,-175,280,550,111,-141,-1
SP1,29/08/15,Barcelona,Malaga,1,0,0,0,-1000,900,2500,-270,200,-2.5
SP1,29/08/15,Celta,Vallecano,3,0,1,0,-189,333,500,-147,115,-1
SP1,29/08/15,Real Madrid,Betis,5,0,2,0,-1000,900,2500,-357,257,-2.5
SP1,29/08/15,Sociedad,Sp Gijon,0,0,0,0,-118,250,350,130,-169,-0.5
SP1,30/08/15,Eibar,Ath Bilbao,2,0,1,0,300,210,110,159,-213,0.5
SP1,30/08/15,Getafe,Granada,1,2,0,2,105,220,300,151,-200,-0.5
SP1,30/08/15,Las Palmas,Levante,0,0,0,0,-110,230,350,142,-189,-0.5
SP1,30/08/15,Sevilla,Ath Madrid,0,3,0,1,180,220,163,120,-154,0
SP1,30/08/15,Valencia,La Coruna,1,1,1,1,-227,333,700,-123,-103,-1
SP1,11/09/15,Levante,Sevilla,1,1,0,1,375,275,-133,106,-133,0.75
SP1,12/09/15,Ath Madrid,Barcelona,1,2,0,0,230,220,130,113,-143,0.25
SP1,12/09/15,Betis,Sociedad,1,0,1,0,130,230,220,114,-143,-0.25
SP1,12/09/15,Espanol,Real Madrid,0,6,0,4,900,400,-303,-204,155,1.5
SP1,12/09/15,Sp Gijon,Valencia,0,1,0,0,240,220,125,121,-154,0.25
SP1,13/09/15,Ath Bilbao,Getafe,3,1,2,0,-175,275,600,111,-141,-1
SP1,13/09/15,Celta,Las Palmas,3,3,2,1,-200,320,600,-120,-103,-1
SP1,13/09/15,Granada,Villarreal,1,3,0,0,250,210,125,134,-172,0
SP1,13/09/15,Malaga,Eibar,0,0,0,0,-133,250,425,124,-159,-0.5
SP1,14/09/15,Vallecano,La Coruna,1,3,1,2,110,250,250,-114,-110,-0.5
SP1,18/09/15,Getafe,Malaga,1,0,1,0,160,210,190,154,-200,0
SP1,19/09/15,Eibar,Ath Madrid,0,2,0,0,600,275,-175,139,-179,1
SP1,19/09/15,Real Madrid,Granada,1,0,0,0,-1667,1400,2500,-500,334,-3
SP1,19/09/15,Sociedad,Espanol,2,3,1,1,100,240,300,126,-159,-0.5
SP1,19/09/15,Valencia,Betis,0,0,0,0,-200,333,550,-139,110,-1
SP1,20/09/15,Barcelona,Levante,4,1,0,0,-1667,1100,2800,-476,327,-3
SP1,20/09/15,La Coruna,Sp Gijon,2,3,2,3,105,210,320,139,-182,-0.5
SP1,20/09/15,Las Palmas,Vallecano,0,1,0,1,-110,250,300,-125,100,-0.5
