Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,08/08/2015,Bournemouth,Aston Villa,0,1,0,0,100,260,300,111,-114,-0.5
E0,08/08/2015,Chelsea,Swansea,2,2,2,1,-278,400,1000,-114,107,-1.5
E0,08/08/2015,Everton,Watford,2,2,0,1,-143,290,450,-108,103,-1
E0,08/08/2015,Leicester,Sunderland,4,2,3,0,-105,250,333,127,-137,-0.5
E0,08/08/2015,Man United,Tottenham,1,0,1,0,-154,300,500,-116,113,-1
E0,08/08/2015,Norwich,Crystal Palace,1,3,0,1,155,230,200,125,-133,0
E0,09/08/2015,Arsenal,West Ham,0,2,0,1,-345,500,1100,-141,130,-1.5
E0,09/08/2015,Newcastle,Southampton,2,2,1,1,188,230,170,123,-125,0
E0,09/08/2015,Stoke,Liverpool,0,1,0,0,240,240,130,115,-122,0.25
E0,10/08/2015,West Brom,Man City,0,3,0,2,475,300,-149,-119,115,1
E0,14/08/2015,Aston Villa,Man United,0,1,0,1,450,280,-137,119,-127,0.75
E0,15/08/2015,Southampton,Everton,0,3,0,2,-105,260,333,123,-132,-0.5
E0,15/08/2015,Sunderland,Norwich,1,3,0,2,150,230,210,137,-145,0
E0,15/08/2015,Swansea,Newcastle,2,0,1,0,-105,260,333,101,-104,-0.5
E0,15/08/2015,Tottenham,Stoke,2,2,2,0,-125,275,400,100,-106,-0.75
E0,15/08/2015,Watford,West Brom,0,0,0,0,130,240,240,122,-128,-0.25
E0,15/08/2015,West Ham,Leicester,1,2,0,2,125,250,240,-103,100,-0.25
E0,16/08/2015,Crystal Palace,Arsenal,1,2,1,1,425,290,-137,-111,103,0.75
E0,16/08/2015,Man City,Chelsea,3,0,1,0,110,250,275,105,-114,-0.5
E0,17/08/2015,Liverpool,Bournemouth,1,0,1,0,-222,375,700,-120,120,-1
E0,22/08/2015,Crystal Palace,Aston Villa,2,1,0,0,-118,260,375,116,-123,-0.5
E0,22/08/2015,Leicester,Tottenham,1,1,0,0,163,260,175,-114,109,0
E0,22/08/2015,Man United,Newcastle,0,0,0,0,-278,425,900,-123,115,-1.25
E0,22/08/2015,Norwich,Stoke,1,1,1,1,130,230,250,122,-132,-0.25
E0,22/08/2015,Sunderland,Swansea,1,1,0,1,300,240,110,125,-135,0.5
E0,22/08/2015,West Ham,Bournemouth,3,4,0,2,138,240,220,-102,-104,-0.25
E0,23/08/2015,Everton,Man City,0,2,0,0,400,300,-137,-137,130,0.75
E0,23/08/2015,Watford,Southampton,0,0,0,0,180,230,175,120,-128,0
E0,23/08/2015,West Brom,Chelsea,2,3,1,3,550,300,-161,115,-125,0.75
E0,24/08/2015,Arsenal,Liverpool,0,0,0,0,-133,300,400,-119,115,-0.5
E0,29/08/2015,Aston Villa,Sunderland,2,2,2,1,-110,250,375,134,-143,-0.5
E0,29/08/2015,Bournemouth,Leicester,1,1,1,0,120,260,240,-110,103,-0.25
E0,29/08/2015,Chelsea,Crystal Palace,1,2,0,0,-278,400,1000,-133,125,-1.5
E0,29/08/2015,Liverpool,West Ham,0,3,0,2,-278,450,800,-135,130,-1.5
E0,29/08/2015,Man City,Watford,2,0,0,0,-500,700,1400,-250,215,-2
E0,29/08/2015,Newcastle,Arsenal,0,1,0,0,500,320,-161,-115,110,1
E0,29/08/2015,Stoke,West Brom,0,1,0,1,-105,240,350,131,-141,-0.5
E0,29/08/2015,Tottenham,Everton,0,0,0,0,100,250,320,-112,105,-0.5
E0,30/08/2015,Southampton,Norwich,3,0,1,0,105,250,300,110,-118,-0.5
E0,30/08/2015,Swansea,Man United,2,1,0,0,260,230,125,120,-120,0.25
E0,12/09/2015,Arsenal,Stoke,2,0,1,0,-345,500,1100,-147,133,-1.5
E0,12/09/2015,Crystal Palace,Man City,0,1,0,0,450,320,-149,-149,135,1
E0,12/09/2015,Everton,Chelsea,3,1,2,1,300,260,100,105,-112,0.5
