Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,16/08/14,Arsenal,Crystal Palace,2,1,1,1,-400,550,1400,-130,126,-1.5
E0,16/08/14,Leicester,Everton,2,2,1,2,220,240,140,110,-111,0.25
E0,16/08/14,Man United,Swansea,1,2,0,1,-278,400,1000,-130,130,-1.5
E0,16/08/14,QPR,Hull,0,1,0,0,150,230,210,152,-154,0
E0,16/08/14,Stoke,Aston Villa,0,1,0,0,-105,250,350,142,-149,-0.5
E0,16/08/14,West Brom,Sunderland,2,2,1,1,125,240,250,129,-132,-0.25
E0,16/08/14,West Ham,Tottenham,0,1,0,0,280,260,105,108,-109,0.5
E0,17/08/14,Liverpool,Southampton,2,1,1,0,-303,475,900,-152,154,-1.5
E0,17/08/14,Newcastle,Man City,0,2,0,1,425,333,-149,-137,136,1
E0,18/08/14,Burnley,Chelsea,1,3,1,3,800,400,-250,-105,105,1.5
E0,23/08/14,Aston Villa,Newcastle,0,0,0,0,150,240,200,120,-125,0
E0,23/08/14,Chelsea,Leicester,2,0,0,0,-500,650,1600,-175,164,-2
E0,23/08/14,Crystal Palace,West Ham,1,3,0,2,150,230,210,162,-164,-0.25
E0,23/08/14,Everton,Arsenal,2,2,2,0,180,240,170,-106,108,0
E0,23/08/14,Southampton,West Brom,0,0,0,0,-118,270,375,-101,102,-0.5
E0,23/08/14,Swansea,Burnley,1,0,1,0,-154,300,500,-110,108,-1
E0,24/08/14,Hull,Stoke,1,1,1,0,150,225,220,170,-179,0
E0,24/08/14,Sunderland,Man United,1,1,1,1,400,300,-133,-105,104,0.75
E0,24/08/14,Tottenham,QPR,4,0,3,0,-222,375,700,-120,118,-1
E0,25/08/14,Man City,Liverpool,3,1,1,0,-118,300,333,-143,152,-0.75
E0,30/08/14,Burnley,Man United,0,0,0,0,500,320,-161,100,-105,1
E0,30/08/14,Everton,Chelsea,3,6,1,2,275,230,120,119,-123,0.25
E0,30/08/14,Man City,Stoke,0,1,0,0,-556,700,1700,-167,158,-2
E0,30/08/14,Newcastle,Crystal Palace,3,3,1,1,-133,275,425,128,-135,-0.75
E0,30/08/14,QPR,Sunderland,1,0,1,0,140,225,230,153,-149,-0.25
E0,30/08/14,Swansea,West Brom,3,0,2,0,-118,260,375,105,-109,-0.5
E0,30/08/14,West Ham,Southampton,1,3,1,1,180,240,170,114,-115,0
E0,31/08/14,Aston Villa,Hull,2,1,2,0,130,230,250,189,-189,-0.25
E0,31/08/14,Leicester,Arsenal,1,1,1,1,375,275,-120,-111,110,0.75
E0,31/08/14,Tottenham,Liverpool,0,3,0,1,170,250,170,-139,134,0
E0,13/09/14,Arsenal,Man City,2,2,0,1,200,240,150,-110,108,0
E0,13/09/14,Chelsea,Swansea,4,2,1,1,-333,475,1100,-122,118,-1.5
E0,13/09/14,Crystal Palace,Burnley,0,0,0,0,125,230,260,142,-147,-0.25
E0,13/09/14,Liverpool,Aston Villa,0,1,0,1,-333,500,1000,-169,158,-1.5
E0,13/09/14,Southampton,Newcastle,4,0,2,0,-125,275,400,110,-115,-0.75
