Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,18/08/12,Arsenal,Sunderland,0,0,0,0,-250,350,750,-120,115,-1.25
E0,18/08/12,Fulham,Norwich,5,0,2,0,-125,260,350,-105,101,-0.5
E0,18/08/12,Newcastle,Tottenham,2,1,0,0,150,240,175,100,101,0
E0,18/08/12,QPR,Swansea,0,5,0,1,100,240,280,118,-123,-0.25
E0,18/08/12,Reading,Stoke,1,1,0,1,138,225,210,128,-132,-0.25
E0,18/08/12,West Brom,Liverpool,3,0,1,0,320,250,-110,118,-123,0.5
E0,18/08/12,West Ham,Aston Villa,1,0,1,0,120,230,240,110,-118,-0.25
E0,19/08/12,Man City,Southampton,3,2,1,0,-588,600,1600,-179,168,-1.75
E0,19/08/12,Wigan,Chelsea,0,2,0,2,500,275,-161,-108,105,1
E0,20/08/12,Everton,Man United,1,0,0,0,333,260,-120,108,-111,0.5
E0,22/08/12,Chelsea,Reading,4,2,1,2,-400,450,1200,-154,145,-1.5
E0,25/08/12,Aston Villa,Everton,1,3,0,3,190,240,140,134,-137,0
E0,25/08/12,Chelsea,Newcastle,2,0,2,0,-200,333,550,-139,136,-1
E0,25/08/12,Man United,Fulham,3,2,3,1,-345,450,1000,-147,138,-1.5
E0,25/08/12,Norwich,QPR,1,1,1,1,125,240,220,-118,113,-0.25
E0,25/08/12,Southampton,Wigan,0,2,0,0,110,240,250,100,-103,-0.5
E0,25/08/12,Swansea,West Ham,3,0,2,0,110,230,260,106,-111,-0.5
E0,25/08/12,Tottenham,West Brom,1,1,0,0,-200,333,550,-139,130,-1
E0,26/08/12,Liverpool,Man City,2,2,1,0,210,240,130,103,-109,0.25
E0,26/08/12,Stoke,Arsenal,0,0,0,0,250,240,110,116,-120,0.25
E0,01/09/12,Man City,QPR,3,1,1,0,-556,600,1400,-244,225,-2
E0,01/09/12,Swansea,Sunderland,2,2,1,2,120,230,240,120,-125,-0.25
E0,01/09/12,Tottenham,Norwich,1,1,0,0,-278,400,750,-175,172,-1.25
E0,01/09/12,West Brom,Everton,2,0,0,0,200,230,138,115,-120,0
E0,01/09/12,West Ham,Fulham,3,0,3,0,150,225,188,102,-108,0
E0,01/09/12,Wigan,Stoke,2,2,1,1,125,225,230,142,-149,-0.25
E0,02/09/12,Liverpool,Arsenal,0,2,0,1,100,250,275,102,-108,-0.25
E0,02/09/12,Newcastle,Aston Villa,1,1,0,1,-161,275,500,-111,105,-0.75
E0,02/09/12,Southampton,Man United,2,3,1,1,500,320,-189,-143,140,1
E0,15/09/12,Arsenal,Southampton,6,1,4,1,-278,400,750,-179,168,-1.5
E0,15/09/12,Aston Villa,Swansea,2,0,1,0,138,225,210,103,-108,-0.25
E0,15/09/12,Fulham,West Brom,3,0,2,0,110,240,250,103,-104,-0.25
E0,15/09/12,Man United,Wigan,4,0,0,0,-400,500,1100,-185,175,-1.75
E0,15/09/12,Norwich,West Ham,0,0,0,0,138,240,200,102,102,-0.25
E0,15/09/12,QPR,Chelsea,0,0,0,0,350,250,-120,-106,102,0.75
E0,15/09/12,Stoke,Man City,1,1,1,1,400,260,-137,112,-106,0.75
E0,15/09/12,Sunderland,Liverpool,1,1,1,0,240,230,120,106,-109,0.25
E0,16/09/12,Reading,Tottenham,1,3,0,1,275,250,100,106,-110,0.5
E0,17/09/12,Everton,Newcastle,2,2,1,0,-137,260,400,110,-114,-0.75
E0,22/09/12,Chelsea,Stoke,1,0,0,0,-278,375,800,-125,120,-1.25
E0,22/09/12,Southampton,Aston Villa,4,1,0,1,140,230,200,-105,100,-0.25
E0,22/09/12,Swansea,Everton,0,3,0,2,200,230,140,120,-118,0.25
E0,22/09/12,West Brom,Reading,1,0,0,0,-137,275,375,-102,-102,-0.75
E0,22/09/12,West Ham,Sunderland,1,1,0,1,110,230,260,110,-114,-0.25
E0,22/09/12,Wigan,Fulham,1,2,0,1,140,230,200,112,-120,-0.25
E0,23/09/12,Liverpool,Man United,1,2,0,0,170,230,163,100,-105,0
E0,23/09/12,Man City,Arsenal,1,1,1,0,-133,260,375,-132,125,-0.75
E0,23/09/12,Newcastle,Norwich,1,0,1,0,-125,260,350,-125,119,-0.75
E0,23/09/12,Tottenham,QPR,2,1,0,1,-227,333,650,-139,134,-1
E0,29/09/12,Arsenal,Chelsea,1,2,1,1,110,240,250,-110,104,0
E0,29/09/12,Everton,Southampton,3,1,3,1,-250,375,700,-152,144,-1.25
E0,29/09/12,Fulham,Man City,1,2,1,1,333,260,-120,-118,115,0.5
E0,29/09/12,Man United,Tottenham,2,3,0,2,-175,300,500,-139,135,-1
E0,29/09/12,Norwich,Liverpool,2,5,0,2,375,275,-137,-114,108,0.75
E0,29/09/12,Reading,Newcastle,2,2,0,0,188,230,150,111,-115,0
E0,29/09/12,Stoke,Swansea,2,0,2,0,-110,240,320,111,-118,-0.5
E0,29/09/12,Sunderland,Wigan,1,0,0,0,100,240,280,120,-125,-0.5
E0,30/09/12,Aston Villa,West Brom,1,1,0,0,140,230,200,-103,100,-0.25
E0,01/10/12,QPR,West Ham,1,2,0,2,105,240,275,106,-112,-0.25
E0,06/10/12,Chelsea,Norwich,4,1,3,1,-455,550,1100,-185,176,-1.75
E0,06/10/12,Man City,Sunderland,3,0,1,0,-345,450,1000,-154,146,-1.5
E0,06/10/12,Swansea,Reading,2,2,0,2,-110,260,300,100,-101,-0.5
E0,06/10/12,West Brom,QPR,3,2,2,1,-120,275,320,-112,106,-0.5
E0,06/10/12,West Ham,Arsenal,1,3,1,1,300,260,-110,-118,110,0.5
E0,06/10/12,Wigan,Everton,2,2,2,1,320,240,-110,110,-104,0.25
E0,07/10/12,Liverpool,Stoke,0,0,0,0,-227,333,650,-103,-102,-1
E0,07/10/12,Newcastle,Man United,0,3,0,2,320,275,-120,-125,126,0.5
E0,07/10/12,Southampton,Fulham,2,2,1,0,175,230,160,-125,121,0
