Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,17/08/13,Arsenal,Aston Villa,1,3,1,1,-227,375,700,-161,156,
E0,17/08/13,Liverpool,Stoke,1,0,1,0,-250,400,850,-116,112,
E0,17/08/13,Norwich,Everton,2,2,0,0,220,240,140,108,-110,
E0,17/08/13,Sunderland,Fulham,0,1,0,0,130,240,240,114,-119,
E0,17/08/13,Swansea,Man United,1,4,0,2,320,250,100,-108,106,
E0,17/08/13,West Brom,Southampton,0,1,0,0,140,240,220,102,102,
E0,17/08/13,West Ham,Cardiff,2,0,1,0,100,260,300,100,100,
E0,18/08/13,Chelsea,Hull,2,0,2,0,-500,600,2000,-169,163,
E0,18/08/13,Crystal Palace,Tottenham,0,1,0,0,375,275,-120,-112,112,
E0,19/08/13,Man City,Newcastle,4,0,2,0,-303,450,1000,-147,144,
E0,21/08/13,Chelsea,Aston Villa,2,1,1,1,-345,450,900,-161,156,-1.5
E0,24/08/13,Aston Villa,Liverpool,0,1,0,1,300,275,-105,-120,122,0.5
E0,24/08/13,Everton,West Brom,0,0,0,0,-175,333,550,-112,110,-1
E0,24/08/13,Fulham,Arsenal,1,3,0,2,280,250,110,-114,112,0.5
E0,24/08/13,Hull,Norwich,1,0,1,0,145,240,210,130,-127,0
E0,24/08/13,Newcastle,West Ham,0,0,0,0,130,240,240,105,-110,-0.5
E0,24/08/13,Southampton,Sunderland,1,1,0,1,-137,280,450,104,-108,-1
E0,24/08/13,Stoke,Crystal Palace,2,1,0,1,-120,260,400,132,-137,-0.5
E0,25/08/13,Cardiff,Man City,3,2,0,0,750,375,-227,-139,144,1
E0,25/08/13,Tottenham,Swansea,1,0,0,0,-161,300,550,-114,115,-1
E0,26/08/13,Man United,Chelsea,0,0,0,0,145,240,210,-118,118,-0.25
E0,31/08/13,Cardiff,Everton,0,0,0,0,225,240,138,111,-115,0.25
E0,31/08/13,Crystal Palace,Sunderland,3,1,1,0,160,230,200,126,-132,0
