Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,10/08/2018,Man United,Leicester,2,1,1,0,-175,290,650,112,-118,-0.75
E0,11/08/2018,Bournemouth,Cardiff,2,0,1,0,-111,260,350,105,-109,-0.75
E0,11/08/2018,Fulham,Crystal Palace,0,2,0,1,150,240,200,100,-104,-0.25
E0,11/08/2018,Huddersfield,Chelsea,0,3,0,2,550,300,-164,105,-111,1
E0,11/08/2018,Newcastle,Tottenham,1,2,1,2,290,250,104,110,-114,0.25
E0,11/08/2018,Watford,Brighton,2,0,1,0,137,220,240,146,-149,-0.25
E0,11/08/2018,Wolves,Everton,2,2,1,1,137,230,230,120,-120,-0.25
E0,12/08/2018,Arsenal,Man City,0,2,0,1,300,280,-105,-167,155,0.75
E0,12/08/2018,Liverpool,West Ham,4,0,2,0,-400,550,1300,-204,188,-1.75
E0,12/08/2018,Southampton,Burnley,0,0,0,0,-118,250,400,145,-149,-0.75
E0,18/08/2018,Cardiff,Newcastle,0,0,0,0,225,210,154,161,-172,0.25
E0,18/08/2018,Chelsea,Arsenal,3,2,2,2,-125,300,350,-133,125,-0.75
E0,18/08/2018,Everton,Southampton,2,1,2,0,-111,250,375,125,-130,-0.75
E0,18/08/2018,Leicester,Wolves,2,0,2,0,104,250,290,110,-116,-0.25
E0,18/08/2018,Tottenham,Fulham,3,1,1,0,-357,500,1100,-179,167,-1.75
E0,18/08/2018,West Ham,Bournemouth,1,2,1,0,110,260,270,-118,114,-0.25
E0,19/08/2018,Brighton,Man United,3,2,3,1,450,260,-133,135,-143,1
E0,19/08/2018,Burnley,Watford,1,3,1,1,145,210,240,175,-185,-0.25
E0,19/08/2018,Man City,Huddersfield,6,1,3,1,-1000,1200,2500,-256,260,-3
E0,20/08/2018,Crystal Palace,Liverpool,0,2,0,1,600,400,-227,-169,160,1.25
E0,25/08/2018,Arsenal,West Ham,3,1,1,1,-278,450,800,-200,190,-1.5
E0,25/08/2018,Bournemouth,Everton,2,2,0,0,162,260,175,-132,125,-0.25
E0,25/08/2018,Huddersfield,Cardiff,0,0,0,0,137,200,270,172,-182,-0.25
