Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5
E0,13/08/11,Blackburn,Wolves,1,2,1,1,120,220,250,106,-112
E0,13/08/11,Fulham,Aston Villa,0,0,0,0,120,220,250,121,-130
E0,13/08/11,Liverpool,Sunderland,1,1,1,0,-175,260,600,-109,101
E0,13/08/11,Newcastle,Arsenal,0,0,0,0,275,225,110,-112,110
E0,13/08/11,QPR,Bolton,0,4,0,1,140,225,200,127,-137
E0,13/08/11,Wigan,Norwich,1,1,1,1,120,220,250,-104,-101
E0,14/08/11,Stoke,Chelsea,0,0,0,0,450,250,-143,111,-116
E0,14/08/11,West Brom,Man United,1,2,1,1,550,300,-189,-133,118
E0,15/08/11,Man City,Swansea,4,0,0,0,-345,400,1200,-149,141
E0,20/08/11,Arsenal,Liverpool,0,2,0,0,150,225,190,111,-122
E0,20/08/11,Aston Villa,Blackburn,3,1,2,0,-137,240,450,-103,100
E0,20/08/11,Chelsea,West Brom,2,1,0,1,-333,450,900,-167,145
E0,20/08/11,Everton,QPR,0,1,0,1,-189,280,600,-111,103
E0,20/08/11,Sunderland,Newcastle,0,1,0,0,120,225,240,125,-135
E0,20/08/11,Swansea,Wigan,0,0,0,0,110,230,260,121,-125
E0,21/08/11,Bolton,Man City,2,3,1,2,375,250,-125,102,-105
E0,21/08/11,Norwich,Stoke,1,1,1,0,160,230,175,123,-137
E0,21/08/11,Wolves,Fulham,2,0,2,0,138,225,210,128,-137
E0,22/08/11,Man United,Tottenham,3,0,0,0,-149,275,450,-130,120
E0,27/08/11,Aston Villa,Wolves,0,0,0,0,110,225,275,-102,-105
E0,27/08/11,Blackburn,Everton,0,1,0,0,230,225,125,130,-137
E0,27/08/11,Chelsea,Norwich,3,1,1,0,-500,550,1400,-182,160
E0,27/08/11,Liverpool,Bolton,3,1,1,0,-250,350,750,-130,120
E0,27/08/11,Swansea,Sunderland,0,0,0,0,138,230,200,120,-125
E0,27/08/11,Wigan,QPR,2,0,1,0,125,230,225,132,-135
E0,28/08/11,Man United,Arsenal,8,2,3,1,-200,333,550,-118,120
E0,28/08/11,Newcastle,Fulham,2,1,0,0,110,225,275,125,-120
E0,28/08/11,Tottenham,Man City,1,5,0,2,188,230,150,-115,110
E0,28/08/11,West Brom,Stoke,0,1,0,0,110,225,275,119,-120
E0,10/09/11,Arsenal,Swansea,1,0,1,0,-278,375,800,-143,131
E0,10/09/11,Bolton,Man United,0,5,0,3,800,350,-250,-149,133
E0,10/09/11,Everton,Aston Villa,2,2,1,0,100,240,280,125,-133
E0,10/09/11,Man City,Wigan,3,0,1,0,-588,600,1600,-189,170
