Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5
E0,18/10/10,Blackburn,Sunderland,0,0,0,0,110,230,260,120,-135
E0,23/10/10,Birmingham,Blackpool,2,0,1,0,-120,260,333,-122,111
E0,23/10/10,Chelsea,Wolves,2,0,1,0,-769,750,1800,-250,225
E0,23/10/10,Sunderland,Aston Villa,1,0,1,0,140,225,200,128,-139
E0,23/10/10,Tottenham,Everton,1,1,1,1,110,225,275,107,-115
E0,23/10/10,West Brom,Fulham,2,1,2,1,120,225,240,112,-123
E0,23/10/10,West Ham,Newcastle,1,2,1,1,138,225,210,105,-110
E0,23/10/10,Wigan,Bolton,1,1,0,0,138,225,210,121,-132
E0,24/10/10,Liverpool,Blackburn,2,1,0,0,-149,260,450,114,-123
E0,24/10/10,Man City,Arsenal,0,3,0,1,150,220,190,100,-106
E0,24/10/10,Stoke,Man United,1,2,0,1,450,275,-149,106,-114
E0,30/10/10,Arsenal,West Ham,1,0,0,0,-588,600,1600,-217,189
E0,30/10/10,Blackburn,Chelsea,1,2,1,1,650,333,-227,-110,103
E0,30/10/10,Everton,Stoke,1,0,0,0,-175,275,550,110,-115
E0,30/10/10,Fulham,Wigan,2,0,2,0,-110,240,320,117,-128
E0,30/10/10,Man United,Tottenham,2,0,1,0,-175,300,500,-147,134
E0,30/10/10,Wolves,Man City,2,1,1,1,450,240,-137,111,-120
E0,31/10/10,Aston Villa,Birmingham,0,0,0,0,-125,260,350,119,-125
E0,31/10/10,Bolton,Liverpool,0,1,0,0,240,225,120,118,-125
E0,31/10/10,Newcastle,Sunderland,5,1,3,0,120,220,250,107,-109
E0,01/11/10,Blackpool,West Brom,2,1,1,0,190,225,150,-125,116
E0,06/11/10,Birmingham,West Ham,2,2,0,0,-110,240,320,126,-133
E0,06/11/10,Blackburn,Wigan,2,1,0,0,-125,260,350,118,-125
E0,06/11/10,Blackpool,Everton,2,2,1,1,350,260,-125,-120,111
E0,06/11/10,Bolton,Tottenham,4,2,1,0,200,230,140,105,-112
E0,06/11/10,Fulham,Aston Villa,1,1,0,1,120,225,240,147,-149
E0,06/11/10,Man United,Wolves,2,1,1,0,-455,500,1400,-145,138
E0,06/11/10,Sunderland,Stoke,2,0,1,0,110,220,275,143,-154
E0,07/11/10,Arsenal,Newcastle,0,1,0,1,-345,450,1000,-200,179
E0,07/11/10,Liverpool,Chelsea,2,0,2,0,280,240,100,109,-116
E0,07/11/10,West Brom,Man City,0,2,0,2,260,230,110,-105,-102
E0,09/11/10,Stoke,Birmingham,3,2,1,0,110,220,275,140,-137
E0,09/11/10,Tottenham,Sunderland,1,1,0,0,-189,300,550,-111,106
E0,10/11/10,Aston Villa,Blackpool,3,2,1,1,-161,275,500,-139,128
E0,10/11/10,Chelsea,Fulham,1,0,1,0,-500,550,1400,-164,150
E0,10/11/10,Everton,Bolton,1,1,0,0,-161,275,500,104,-112
E0,10/11/10,Man City,Man United,0,0,0,0,163,225,175,112,-122
E0,10/11/10,Newcastle,Blackburn,1,2,0,1,-110,240,320,105,-112
E0,10/11/10,West Ham,West Brom,2,2,1,1,130,225,220,-101,-106
E0,10/11/10,Wigan,Liverpool,1,1,0,1,375,260,-133,132,-143
E0,10/11/10,Wolves,Arsenal,0,2,0,1,450,260,-149,-123,114
E0,13/11/10,Aston Villa,Man United,2,2,0,0,350,260,-125,116,-120
E0,13/11/10,Man City,Birmingham,0,0,0,0,-250,350,750,-114,108
E0,13/11/10,Newcastle,Fulham,0,0,0,0,-110,240,320,107,-116
E0,13/11/10,Stoke,Liverpool,2,0,0,0,275,225,110,125,-137
E0,13/11/10,Tottenham,Blackburn,4,2,2,0,-175,280,550,-110,102
E0,13/11/10,West Ham,Blackpool,0,0,0,0,-110,260,300,-137,132
E0,13/11/10,Wigan,West Brom,1,0,0,0,150,225,188,105,-111
E0,13/11/10,Wolves,Bolton,2,3,0,1,140,210,220,120,-119
E0,14/11/10,Chelsea,Sunderland,0,3,0,1,-455,475,1400,-149,150
E0,14/11/10,Everton,Arsenal,1,2,0,1,240,230,120,100,-108
E0,20/11/10,Arsenal,Tottenham,2,3,2,0,-161,300,450,-143,130
E0,20/11/10,Birmingham,Chelsea,1,0,1,0,400,260,-137,110,-118
E0,20/11/10,Blackpool,Wolves,2,1,2,0,150,230,188,-133,125
E0,20/11/10,Bolton,Newcastle,5,1,2,0,110,230,260,-101,-109
E0,20/11/10,Liverpool,West Ham,3,0,3,0,-175,280,550,104,-109
