Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,13/08/16,Burnley,Swansea,0,1,0,0,140,230,225,140,-147,-0.25
E0,13/08/16,Crystal Palace,West Brom,0,1,0,0,100,230,350,168,-167,-0.5
E0,13/08/16,Everton,Tottenham,1,1,1,0,220,240,140,112,-115,0.25
E0,13/08/16,Hull,Leicester,2,1,1,0,350,260,-110,130,-135,0.25
E0,13/08/16,Man City,Sunderland,2,1,1,0,-400,550,1400,-179,167,-1.5
E0,13/08/16,Middlesbrough,Stoke,1,1,1,0,138,220,240,161,-175,-0.25
E0,13/08/16,Southampton,Watford,1,1,0,1,-125,275,400,113,-120,-0.75
E0,14/08/16,Arsenal,Liverpool,3,4,1,1,140,250,210,-102,109,-0.5
E0,14/08/16,Bournemouth,Man United,1,3,0,1,375,260,-118,111,-115,0.75
E0,15/08/16,Chelsea,West Ham,2,1,0,0,-154,300,500,-103,109,-1
E0,19/08/16,Man United,Southampton,2,0,1,0,-189,320,650,103,-104,-1
E0,20/08/16,Burnley,Liverpool,2,0,2,0,550,320,-175,-109,101,1
E0,20/08/16,Leicester,Arsenal,0,0,0,0,188,260,150,-135,124,0.25
E0,20/08/16,Stoke,Man City,1,4,0,2,450,280,-137,-119,114,1
E0,20/08/16,Swansea,Hull,0,2,0,0,-125,260,425,130,-143,-1
E0,20/08/16,Tottenham,Crystal Palace,1,0,0,0,-222,375,700,-111,115,-1
E0,20/08/16,Watford,Chelsea,1,2,0,0,450,280,-137,116,-114,0.75
E0,20/08/16,West Brom,Everton,1,2,1,1,200,225,160,151,-161,0.25
E0,21/08/16,Sunderland,Middlesbrough,1,2,0,2,155,220,210,150,-156,-0.25
E0,21/08/16,West Ham,Bournemouth,1,0,0,0,-105,275,300,-114,110,-0.5
E0,27/08/16,Chelsea,Burnley,3,0,2,0,-400,450,1400,-127,117,-2
E0,27/08/16,Crystal Palace,Bournemouth,1,1,0,1,130,220,230,125,-133,-0.25
E0,27/08/16,Everton,Stoke,1,0,0,0,-137,260,425,105,-110,-1
E0,27/08/16,Hull,Man United,0,1,0,0,700,310,-227,107,-111,1
E0,27/08/16,Leicester,Swansea,2,1,1,0,-137,260,425,115,-120,-1
E0,27/08/16,Southampton,Sunderland,1,1,0,0,-175,260,550,115,-123,-1
E0,27/08/16,Tottenham,Liverpool,1,1,0,1,138,240,200,-120,111,-0.25
E0,27/08/16,Watford,Arsenal,1,3,0,3,400,275,-137,100,-103,1
E0,28/08/16,Man City,West Ham,3,1,2,0,-400,500,1000,-182,185,-1.5
E0,28/08/16,West Brom,Middlesbrough,0,0,0,0,160,210,190,173,-182,-0.25
E0,10/09/16,Arsenal,Southampton,2,1,1,1,-175,320,550,-118,110,-1
E0,10/09/16,Bournemouth,West Brom,1,0,0,0,105,225,333,155,-164,-0.5
E0,10/09/16,Burnley,Hull,1,1,0,0,145,210,240,160,-167,-0.25
E0,10/09/16,Liverpool,Leicester,4,1,2,1,-143,300,450,-118,115,-1
E0,10/09/16,Man United,Man City,1,2,1,2,138,225,240,117,-125,-0.25
E0,10/09/16,Middlesbrough,Crystal Palace,1,2,1,1,130,220,260,160,-179,-0.25
