Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
I1,25/08/12,Fiorentina,Udinese,2,1,0,1,105,220,275,133,-137,-0.25
I1,25/08/12,Juventus,Parma,2,0,0,0,-333,400,950,-120,115,-1.5
I1,26/08/12,Atalanta,Lazio,0,1,0,1,140,220,200,138,-147,-0.25
I1,26/08/12,Chievo,Bologna,2,0,0,0,110,220,260,151,-156,-0.25
I1,26/08/12,Genoa,Cagliari,2,0,0,0,-105,230,300,121,-127,-0.5
I1,26/08/12,Milan,Sampdoria,0,1,0,0,-250,350,700,-111,108,-1.25
I1,26/08/12,Palermo,Napoli,0,3,0,1,200,225,138,102,-106,0.25
I1,26/08/12,Pescara,Inter,0,3,0,2,333,260,-125,-116,112,0.75
I1,26/08/12,Roma,Catania,2,2,0,1,-250,350,700,-147,138,-1.25
I1,26/08/12,Siena,Torino,0,0,0,0,125,210,240,150,-154,-0.25
I1,01/09/12,Bologna,Milan,1,3,1,1,260,220,110,125,-127,0.25
I1,01/09/12,Torino,Pescara,3,0,1,0,-120,240,350,122,-123,-0.5
I1,02/09/12,Cagliari,Atalanta,1,1,0,0,130,200,240,146,-152,-0.25
I1,02/09/12,Catania,Genoa,3,2,0,1,105,225,275,112,-118,-0.25
I1,02/09/12,Inter,Roma,1,3,1,1,-105,260,275,-172,174,-0.5
I1,02/09/12,Lazio,Palermo,3,0,1,0,-149,275,400,-101,-101,-0.75
I1,02/09/12,Napoli,Fiorentina,2,1,0,0,-137,250,400,104,-110,-0.75
I1,02/09/12,Parma,Chievo,2,0,1,0,105,220,280,144,-152,-0.25
I1,02/09/12,Sampdoria,Siena,2,1,1,0,-120,240,350,143,-147,-0.5
I1,02/09/12,Udinese,Juventus,1,4,0,2,400,250,-137,125,-127,0.75
I1,15/09/12,Milan,Atalanta,0,1,0,0,-200,300,600,-102,-102,-1
I1,15/09/12,Palermo,Cagliari,1,1,1,0,120,220,240,118,-125,-0.25
I1,16/09/12,Chievo,Lazio,1,3,0,2,180,210,160,138,-145,0
I1,16/09/12,Fiorentina,Catania,2,0,1,0,-110,230,320,100,-103,-0.5
I1,16/09/12,Genoa,Juventus,1,3,1,0,450,275,-161,-120,115,0.75
I1,16/09/12,Napoli,Parma,3,1,2,1,-182,280,550,-103,103,-1
I1,16/09/12,Pescara,Sampdoria,2,3,0,1,180,210,160,130,-132,0
I1,16/09/12,Roma,Bologna,2,3,2,0,-250,375,650,-189,184,-1.25
I1,16/09/12,Siena,Udinese,2,2,0,2,150,220,188,142,-152,0
I1,16/09/12,Torino,Inter,0,2,0,1,210,230,130,104,-103,0.25
I1,22/09/12,Juventus,Chievo,2,0,0,0,-345,425,900,-119,112,-1.5
I1,22/09/12,Parma,Fiorentina,1,1,0,1,140,220,200,121,-125,0
I1,23/09/12,Atalanta,Palermo,1,0,0,0,-120,240,350,115,-115,-0.75
I1,23/09/12,Bologna,Pescara,1,1,1,1,-137,250,400,108,-110,-0.75
I1,23/09/12,Cagliari,Roma,0,3,,,210,250,120,-185,174,0.25
I1,23/09/12,Catania,Napoli,0,0,0,0,190,230,138,-104,-102,0
I1,23/09/12,Inter,Siena,0,2,0,0,-250,333,750,-118,115,-1
I1,23/09/12,Lazio,Genoa,0,1,0,0,-189,300,500,-127,122,-1
I1,23/09/12,Sampdoria,Torino,1,1,0,0,110,220,260,140,-143,-0.25
I1,23/09/12,Udinese,Milan,2,1,1,0,170,240,150,116,-120,0
I1,25/09/12,Fiorentina,Juventus,0,0,0,0,260,225,110,130,-125,0.25
I1,26/09/12,Catania,Atalanta,2,1,0,0,110,225,260,130,-137,-0.25
I1,26/09/12,Chievo,Inter,0,2,0,1,200,220,140,128,-135,0
I1,26/09/12,Genoa,Parma,1,1,0,1,130,220,220,109,-108,-0.25
I1,26/09/12,Milan,Cagliari,2,0,1,0,-161,260,500,111,-112,-0.75
I1,26/09/12,Napoli,Lazio,3,0,2,0,-110,250,300,-102,104,-0.5
I1,26/09/12,Pescara,Palermo,1,0,0,0,150,225,180,100,-101,0
I1,26/09/12,Roma,Sampdoria,1,1,1,0,-161,310,400,-182,184,-0.75
I1,26/09/12,Torino,Udinese,0,0,0,0,130,220,220,140,-141,-0.25
I1,27/09/12,Siena,Bologna,1,0,0,0,120,210,250,134,-141,-0.25
I1,29/09/12,Juventus,Roma,4,1,3,0,-149,300,375,-189,180,-1
I1,29/09/12,Parma,Milan,1,1,0,0,200,225,138,120,-125,0.25
I1,30/09/12,Atalanta,Torino,1,5,1,1,110,220,260,151,-156,-0.25
I1,30/09/12,Bologna,Catania,4,0,2,0,140,230,190,125,-133,-0.25
I1,30/09/12,Cagliari,Pescara,1,2,0,0,-137,250,400,110,-116,-0.75
I1,30/09/12,Inter,Fiorentina,2,1,2,1,110,230,250,104,-105,-0.25
I1,30/09/12,Lazio,Siena,2,1,2,0,-175,280,500,107,-112,-0.75
I1,30/09/12,Palermo,Chievo,4,1,1,1,120,230,225,124,-127,-0.25
I1,30/09/12,Sampdoria,Napoli,0,1,0,0,240,240,110,112,-111,0.25
I1,30/09/12,Udinese,Genoa,0,0,0,0,-110,250,300,100,-101,-0.5
I1,06/10/12,Chievo,Sampdoria,2,1,1,0,150,210,190,156,-164,0
I1,06/10/12,Genoa,Palermo,1,1,0,1,110,240,240,-104,-101,-0.25
I1,07/10/12,Catania,Parma,2,0,1,0,110,240,240,120,-125,-0.25
I1,07/10/12,Fiorentina,Bologna,1,0,1,0,-161,260,500,120,-118,-1
I1,07/10/12,Milan,Inter,0,1,0,1,138,230,190,117,-115,0
I1,07/10/12,Napoli,Udinese,2,1,2,1,-200,300,600,106,-110,-1
I1,07/10/12,Pescara,Lazio,0,3,0,3,320,230,-110,-102,104,0.5
I1,07/10/12,Roma,Atalanta,2,0,1,0,-200,333,500,-185,180,-1
I1,07/10/12,Siena,Juventus,1,2,1,1,550,280,-189,-101,-105,1
I1,07/10/12,Torino,Cagliari,0,1,0,0,-118,240,333,153,-154,-0.5
I1,20/10/12,Juventus,Napoli,2,0,0,0,-143,260,400,-116,112,-0.75
