Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
I1,06/10/2018,Empoli,Roma,0,2,0,1,450,300,-164,-135,131,1
I1,06/10/2018,Udinese,Juventus,0,2,0,2,800,375,-278,-119,112,1
I1,07/10/2018,Atalanta,Sampdoria,0,1,0,0,-167,300,450,-127,115,-1
I1,07/10/2018,Genoa,Parma,1,3,1,3,-133,275,375,106,-115,-1
I1,07/10/2018,Lazio,Fiorentina,1,0,1,0,-118,275,320,-123,113,-1
I1,07/10/2018,Milan,Chievo,3,1,2,0,-400,475,1100,-154,141,-1.5
I1,07/10/2018,Napoli,Sassuolo,2,0,1,0,-303,425,800,-208,185,-1.5
I1,07/10/2018,Spal,Inter,1,2,0,1,500,280,-164,115,-118,1
I1,20/10/2018,Juventus,Genoa,1,1,1,0,-500,600,1200,-172,160,-2
I1,20/10/2018,Roma,Spal,0,2,0,1,-303,450,750,-167,160,-1.5
I1,20/10/2018,Udinese,Napoli,0,3,0,1,500,290,-167,-102,-105,1
I1,21/10/2018,Bologna,Torino,2,2,0,1,240,230,120,145,-154,0.25
I1,21/10/2018,Chievo,Atalanta,1,5,0,2,500,300,-175,113,-118,1
I1,21/10/2018,Fiorentina,Cagliari,1,1,0,0,-200,350,500,-109,101,-1
I1,21/10/2018,Frosinone,Empoli,3,3,1,1,190,225,150,105,-111,0.25
I1,21/10/2018,Inter,Milan,1,0,0,0,145,225,200,-105,100,-0.25
I1,21/10/2018,Parma,Lazio,0,2,0,0,450,280,-152,-125,116,1
I1,22/10/2018,Sampdoria,Sassuolo,0,0,0,0,120,230,240,-125,117,-0.25
I1,27/10/2018,Atalanta,Parma,3,0,0,0,-303,425,800,-143,131,-1.5
I1,27/10/2018,Empoli,Juventus,1,2,1,0,1100,475,-400,-143,133,1.5
I1,27/10/2018,Torino,Fiorentina,1,1,1,1,140,225,210,110,-118,-0.25
