Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
I1,01/10/2023,14:00,Udinese,Genoa,2,2,1,2,138,210,220,130,-167,-0.25
I1,01/10/2023,17:00,Atalanta,Juventus,0,0,0,0,150,240,180,-108,-103,-0.25
I1,01/10/2023,19:45,Roma,Frosinone,2,0,1,0,-227,320,700,-106,-104,-1.25
I1,02/10/2023,17:30,Sassuolo,Monza,0,1,0,0,125,275,188,-175,135,-0.25
I1,02/10/2023,17:30,Torino,Verona,0,0,0,0,-118,250,333,130,-167,-0.75
I1,02/10/2023,19:45,Fiorentina,Cagliari,3,0,2,0,-200,320,600,-114,102,-1
I1,06/10/2023,17:30,Empoli,Udinese,0,0,0,0,210,225,138,100,-111,0.25
I1,06/10/2023,19:45,Lecce,Sassuolo,1,1,0,1,155,240,170,-125,100,0
I1,07/10/2023,14:00,Inter,Bologna,2,2,2,1,-278,450,650,-167,130,-1.5
I1,07/10/2023,17:00,Juventus,Torino,2,0,0,0,-110,230,333,135,-175,-0.5
I1,07/10/2023,19:45,Genoa,Milan,0,1,0,0,320,250,-110,105,-133,0.5
I1,08/10/2023,11:30,Monza,Salernitana,3,0,2,0,-143,280,400,-114,102,-0.75
I1,08/10/2023,14:00,Frosinone,Verona,2,1,1,0,135,230,210,110,-143,-0.25
I1,08/10/2023,14:00,Lazio,Atalanta,3,2,2,1,170,230,163,103,-115,0
I1,08/10/2023,17:00,Cagliari,Roma,1,4,0,2,375,230,-120,125,-161,0.75
I1,08/10/2023,19:45,Napoli,Fiorentina,1,3,1,1,-167,320,450,-161,125,-1
I1,21/10/2023,14:00,Verona,Napoli,1,3,0,2,450,275,-154,-110,-101,1
I1,21/10/2023,17:00,Torino,Inter,0,3,0,0,450,260,-143,106,-119,0.75
I1,21/10/2023,19:45,Sassuolo,Lazio,0,2,0,2,170,250,150,-161,125,0
I1,22/10/2023,11:30,Roma,Monza,1,0,0,0,-143,260,425,-105,-105,-0.75
I1,22/10/2023,14:00,Bologna,Frosinone,2,1,2,0,-137,275,400,-105,-105,-0.75
I1,22/10/2023,14:00,Salernitana,Cagliari,2,2,0,0,120,220,250,115,-149,-0.25
I1,22/10/2023,17:00,Atalanta,Genoa,2,0,0,0,-182,280,550,103,-115,-1
I1,22/10/2023,19:45,Milan,Juventus,0,1,0,0,125,240,220,110,-143,-0.25
I1,23/10/2023,17:30,Udinese,Lecce,1,1,0,0,120,230,240,120,-154,-0.25
I1,23/10/2023,19:45,Fiorentina,Empoli,0,2,0,1,-227,333,700,-161,125,-1.25
I1,27/10/2023,19:45,Genoa,Salernitana,1,0,1,0,-137,260,425,115,-149,-0.75
I1,28/10/2023,14:00,Sassuolo,Bologna,1,1,1,1,160,240,163,-143,110,0
I1,28/10/2023,17:00,Lecce,Torino,0,1,0,1,175,200,180,150,-200,0
I1,28/10/2023,19:45,Juventus,Verona,1,0,0,0,-278,400,700,-118,105,-1.25
I1,29/10/2023,11:30,Cagliari,Frosinone,4,3,0,2,130,230,220,-101,-110,-0.25
I1,29/10/2023,14:00,Monza,Udinese,1,1,1,0,100,260,260,-109,-102,-0.25
I1,29/10/2023,17:00,Inter,Roma,1,0,0,0,-161,300,450,103,-115,-1
I1,29/10/2023,19:45,Napoli,Milan,2,2,0,2,120,240,230,104,-116,-0.25
I1,30/10/2023,17:30,Empoli,Atalanta,0,3,0,2,425,275,-149,-133,105,0.75
I1,30/10/2023,19:45,Lazio,Fiorentina,1,0,0,0,125,225,225,-101,-110,-0.25
I1,03/11/2023,19:45,Bologna,Lazio,1,0,0,0,163,220,175,120,-154,0
I1,04/11/2023,14:00,Salernitana,Napoli,0,2,0,1,600,375,-227,-189,140,1.5
I1,04/11/2023,17:00,Atalanta,Inter,1,2,0,1,230,250,115,-120,107,0.25
I1,04/11/2023,19:45,Milan,Udinese,0,1,0,0,-222,350,600,-133,105,-1.25
I1,05/11/2023,11:30,Verona,Monza,1,3,0,1,220,225,130,105,-133,0.25
I1,05/11/2023,14:00,Cagliari,Genoa,2,1,0,0,170,220,170,115,-149,0
I1,05/11/2023,17:00,Roma,Lecce,2,1,0,0,-175,280,550,110,-143,-1
I1,05/11/2023,19:45,Fiorentina,Juventus,0,1,0,1,190,220,155,106,-119,0
I1,06/11/2023,17:30,Frosinone,Empoli,2,1,0,0,100,260,260,-114,102,-0.25
I1,06/11/2023,19:45,Torino,Sassuolo,2,1,1,1,115,240,240,100,-111,-0.5
I1,10/11/2023,17:30,Sassuolo,Salernitana,2,2,1,2,-154,320,375,-161,125,-0.75
I1,10/11/2023,19:45,Genoa,Verona,1,0,1,0,-110,230,333,140,-189,-0.5
I1,11/11/2023,14:00,Lecce,Milan,2,2,0,2,400,260,-133,108,-137,0.75
I1,11/11/2023,17:00,Juventus,Cagliari,2,1,0,0,-278,400,700,-133,105,-1.25
I1,11/11/2023,19:45,Monza,Torino,1,1,0,0,150,210,200,125,-161,0
I1,12/11/2023,11:30,Napoli,Empoli,0,1,0,0,-455,600,1000,-250,188,-1.75
