Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
I1,22/08/15,Lazio,Bologna,2,1,2,1,-200,320,600,-106,101,-1.25
I1,22/08/15,Verona,Roma,1,1,0,0,450,275,-149,-102,-102,0.75
I1,23/08/15,Empoli,Chievo,1,3,1,0,115,225,260,150,-159,-0.25
I1,23/08/15,Fiorentina,Milan,2,0,1,0,115,240,250,-101,-103,-0.25
I1,23/08/15,Frosinone,Torino,1,2,1,0,250,225,120,148,-161,0.25
I1,23/08/15,Inter,Atalanta,1,0,0,0,-222,333,650,-111,104,-1.25
I1,23/08/15,Juventus,Udinese,0,1,0,0,-345,450,1000,-123,116,-1.5
I1,23/08/15,Palermo,Genoa,1,0,0,0,120,240,230,120,-127,-0.25
I1,23/08/15,Sampdoria,Carpi,5,2,5,1,-125,250,375,119,-130,-0.75
I1,23/08/15,Sassuolo,Napoli,2,1,1,1,333,275,-125,105,-109,0.75
I1,29/08/15,Bologna,Sassuolo,0,1,0,0,125,230,230,133,-143,-0.25
I1,29/08/15,Milan,Empoli,2,1,1,1,-200,320,600,-104,100,-1
I1,30/08/15,Atalanta,Frosinone,2,0,1,0,-133,250,425,126,-139,-0.75
I1,30/08/15,Carpi,Inter,1,2,0,1,350,250,-118,112,-118,0.5
I1,30/08/15,Chievo,Lazio,4,0,3,0,240,230,120,135,-143,0.5
I1,30/08/15,Genoa,Verona,2,0,0,0,100,250,280,102,-110,-0.5
I1,30/08/15,Napoli,Sampdoria,2,2,2,0,-227,350,650,-130,123,-1.25
I1,30/08/15,Roma,Juventus,2,1,0,0,160,220,180,140,-154,0
I1,30/08/15,Torino,Fiorentina,3,1,0,1,150,220,200,131,-141,0
I1,30/08/15,Udinese,Palermo,0,1,0,1,115,230,260,131,-137,-0.25
I1,12/09/15,Fiorentina,Genoa,1,0,0,0,-149,275,450,-109,104,-1
I1,12/09/15,Frosinone,Roma,0,2,0,1,850,375,-278,-111,106,1.5
I1,12/09/15,Juventus,Chievo,1,1,0,1,-250,350,800,101,-110,-1.25
I1,13/09/15,Empoli,Napoli,2,2,2,1,400,260,-133,-110,102,0.5
I1,13/09/15,Inter,Milan,1,0,0,0,120,230,240,115,-120,-0.25
I1,13/09/15,Lazio,Udinese,2,0,0,0,-161,275,500,107,-112,-1
I1,13/09/15,Palermo,Carpi,2,2,1,1,-189,300,600,110,-112,-1
I1,13/09/15,Sassuolo,Atalanta,2,2,2,2,120,230,240,130,-143,-0.25
I1,13/09/15,Verona,Torino,2,2,0,0,220,230,130,105,-112,0.25
I1,14/09/15,Sampdoria,Bologna,2,0,0,0,-120,260,350,118,-125,-0.5
I1,19/09/15,Milan,Palermo,3,2,2,1,-137,275,400,103,-110,-0.75
I1,19/09/15,Udinese,Empoli,1,2,1,0,125,230,230,128,-139,-0.25
I1,20/09/15,Atalanta,Verona,1,1,0,0,100,250,275,100,-106,-0.5
I1,20/09/15,Bologna,Frosinone,1,0,1,0,-105,240,300,121,-133,-0.5
I1,20/09/15,Carpi,Fiorentina,0,1,0,1,333,240,-110,116,-125,0.5
I1,20/09/15,Chievo,Inter,0,1,0,1,275,230,110,142,-154,0.25
I1,20/09/15,Genoa,Juventus,0,2,0,1,350,250,-120,134,-145,0.5
I1,20/09/15,Napoli,Lazio,5,0,2,0,-110,260,300,-127,119,-0.5
I1,20/09/15,Roma,Sassuolo,2,2,1,2,-250,350,750,-123,115,-1.5
I1,20/09/15,Torino,Sampdoria,2,0,2,0,-120,260,333,115,-120,-0.5
I1,22/09/15,Udinese,Milan,2,3,0,3,230,230,125,114,-125,0
I1,23/09/15,Carpi,Napoli,0,0,0,0,550,300,-182,-119,112,1
I1,23/09/15,Chievo,Torino,1,0,0,0,180,225,160,147,-154,0
I1,23/09/15,Fiorentina,Bologna,2,0,0,0,-200,300,650,102,-105,-1
I1,23/09/15,Inter,Verona,1,0,0,0,-303,400,900,-147,137,-1.5
I1,23/09/15,Juventus,Frosinone,1,1,0,0,-588,600,1800,-161,148,-2
I1,23/09/15,Lazio,Genoa,2,0,1,0,-133,275,375,103,-110,-0.5
I1,23/09/15,Palermo,Sassuolo,0,1,0,1,115,240,240,113,-120,-0.5
I1,23/09/15,Sampdoria,Roma,2,1,0,0,350,260,-120,-101,-104,0.5
I1,24/09/15,Empoli,Atalanta,0,1,0,1,115,230,250,109,-115,-0.5
I1,26/09/15,Napoli,Juventus,2,1,1,0,120,230,240,121,-127,-0.25
I1,26/09/15,Roma,Carpi,5,1,3,1,-400,500,1100,-143,135,-1.5
I1,27/09/15,Bologna,Udinese,1,2,1,0,140,210,220,146,-159,-0.25
I1,27/09/15,Genoa,Milan,1,0,1,0,230,220,130,112,-120,0.25
I1,27/09/15,Inter,Fiorentina,1,4,0,3,-125,260,350,108,-109,-0.5
I1,27/09/15,Sassuolo,Chievo,1,1,1,1,120,220,250,145,-156,-0.25
I1,27/09/15,Torino,Palermo,2,1,1,0,-133,260,400,115,-118,-0.75
I1,27/09/15,Verona,Lazio,1,2,1,0,275,240,105,103,-109,0.5
I1,28/09/15,Atalanta,Sampdoria,2,1,1,0,110,240,260,108,-116,-0.5
I1,28/09/15,Frosinone,Empoli,2,0,0,0,200,230,140,112,-115,0.25
I1,03/10/15,Carpi,Torino,2,1,0,0,250,220,120,133,-147,0.25
I1,03/10/15,Chievo,Verona,1,1,0,0,110,230,275,125,-133,-0.5
