Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
I1,19/08/17,Juventus,Cagliari,3,0,2,0,-714,700,1800,-164,150,-2
I1,19/08/17,Verona,Napoli,1,3,0,2,700,375,-250,-149,138,1.25
I1,20/08/17,Atalanta,Roma,0,1,0,1,220,230,130,-120,116,0.25
I1,20/08/17,Bologna,Torino,1,1,1,1,210,230,138,112,-122,0.25
I1,20/08/17,Crotone,Milan,0,3,0,3,500,300,-175,-119,117,1
I1,20/08/17,Inter,Fiorentina,3,0,2,0,-175,300,500,-130,121,-1
I1,20/08/17,Lazio,Spal,0,0,0,0,-345,450,1000,-137,129,-1.5
I1,20/08/17,Sampdoria,Benevento,2,1,1,1,-149,275,450,102,-109,-0.75
I1,20/08/17,Sassuolo,Genoa,0,0,0,0,120,225,250,105,-109,-0.25
I1,20/08/17,Udinese,Chievo,1,2,1,1,110,220,280,133,-143,-0.5
I1,26/08/17,Benevento,Bologna,0,1,0,0,170,220,175,128,-135,-0.25
I1,26/08/17,Genoa,Juventus,2,4,2,2,800,350,-250,-105,101,1.25
I1,26/08/17,Roma,Inter,1,3,1,0,130,250,200,-149,136,-0.25
I1,27/08/17,Chievo,Lazio,1,2,1,1,250,220,120,108,-112,0.25
I1,27/08/17,Crotone,Verona,0,0,0,0,150,220,188,129,-139,-0.25
I1,27/08/17,Fiorentina,Sampdoria,1,2,0,2,-125,250,350,-123,114,-0.5
I1,27/08/17,Milan,Cagliari,2,1,1,0,-455,550,1200,-192,175,-2
I1,27/08/17,Napoli,Atalanta,3,1,0,1,-250,375,700,-159,150,-1
I1,27/08/17,Spal,Udinese,3,2,1,0,150,210,190,128,-141,-0.25
I1,27/08/17,Torino,Sassuolo,3,0,1,0,-133,260,400,-130,117,-1
I1,09/09/17,Juventus,Chievo,3,0,1,0,-588,650,1600,-147,137,-2
I1,10/09/17,Atalanta,Sassuolo,2,1,1,1,-182,300,550,-116,107,-1
I1,10/09/17,Benevento,Torino,0,1,0,0,333,275,-120,-132,122,0.75
I1,10/09/17,Bologna,Napoli,0,3,0,0,900,400,-303,-154,139,1.5
I1,10/09/17,Cagliari,Crotone,1,0,1,0,-149,275,450,-105,101,-0.75
I1,10/09/17,Inter,Spal,2,0,1,0,-400,500,1200,-196,172,-1.75
I1,10/09/17,Lazio,Milan,4,1,2,0,145,240,190,-120,114,-0.25
I1,10/09/17,Udinese,Genoa,1,0,1,0,138,220,220,118,-125,-0.25
I1,10/09/17,Verona,Fiorentina,0,5,0,3,240,230,120,-103,-105,0.25
I1,16/09/17,Crotone,Inter,0,2,0,0,900,400,-303,-143,131,1.5
I1,16/09/17,Fiorentina,Bologna,2,1,0,0,-182,320,500,-145,134,-1
I1,16/09/17,Roma,Verona,3,0,2,0,-588,650,1600,-233,215,-2
I1,17/09/17,Chievo,Atalanta,1,1,0,0,200,220,150,123,-133,0
I1,17/09/17,Genoa,Lazio,2,3,0,1,280,250,100,-114,104,0.5
I1,17/09/17,Milan,Udinese,2,1,2,1,-250,360,750,-123,115,-1.25
I1,17/09/17,Napoli,Benevento,6,0,4,0,-909,900,1800,-303,270,-2.5
I1,17/09/17,Sassuolo,Juventus,1,3,0,1,650,333,-222,-103,100,1
I1,17/09/17,Spal,Cagliari,0,2,0,1,138,230,210,100,-108,-0.25
I1,17/09/17,Torino,Sampdoria,2,2,2,2,-149,300,400,-169,155,-0.75
I1,19/09/17,Bologna,Inter,1,1,1,0,475,300,-167,-120,120,1
I1,20/09/17,Atalanta,Crotone,5,1,3,0,-303,400,900,-106,102,-1.25
I1,20/09/17,Benevento,Roma,0,4,0,2,700,425,-278,-196,174,1.5
I1,20/09/17,Cagliari,Sassuolo,0,1,0,0,120,240,230,-118,115,-0.25
I1,20/09/17,Genoa,Chievo,1,1,0,0,120,230,250,131,-143,-0.25
I1,20/09/17,Juventus,Fiorentina,1,0,0,0,-303,425,800,-147,142,-1.5
I1,20/09/17,Lazio,Napoli,1,4,1,0,240,260,110,-161,150,0.5
I1,20/09/17,Milan,Spal,2,0,1,0,-400,550,1000,-200,180,-1.75
I1,20/09/17,Udinese,Torino,2,3,0,2,188,250,140,-137,128,0
I1,20/09/17,Verona,Sampdoria,0,0,0,0,260,250,105,-118,113,0.25
I1,23/09/17,Juventus,Torino,4,0,2,0,-250,350,750,-159,145,-1.25
I1,23/09/17,Roma,Udinese,3,1,3,0,-400,500,1100,-200,180,-2
I1,23/09/17,Spal,Napoli,2,3,1,1,1400,500,-455,-200,180,2
I1,24/09/17,Cagliari,Chievo,0,2,0,0,125,230,230,114,-118,-0.25
I1,24/09/17,Crotone,Benevento,2,0,1,0,-110,240,333,126,-133,-0.5
I1,24/09/17,Fiorentina,Atalanta,1,1,1,0,120,240,220,-115,111,-0.25
I1,24/09/17,Inter,Genoa,1,0,0,0,-333,450,900,-161,150,-1.5
I1,24/09/17,Sampdoria,Milan,2,0,0,0,250,275,100,-137,128,0.5
I1,24/09/17,Sassuolo,Bologna,0,1,0,0,110,230,275,114,-123,-0.25
I1,24/09/17,Verona,Lazio,0,3,0,2,450,300,-161,-128,119,1
I1,30/09/17,Genoa,Bologna,0,1,0,0,125,220,230,131,-137,-0.25
I1,30/09/17,Udinese,Sampdoria,4,0,1,0,170,225,160,-103,-104,0
I1,01/10/17,Atalanta,Juventus,2,2,1,2,375,275,-143,113,-123,0.75
I1,01/10/17,Benevento,Inter,1,2,1,2,1000,400,-345,-161,153,1.5
I1,01/10/17,Chievo,Fiorentina,2,1,1,1,180,225,150,113,-118,0
I1,01/10/17,Lazio,Sassuolo,6,1,1,1,-250,350,700,-161,144,-1
I1,01/10/17,Milan,Roma,0,2,0,0,155,240,163,-135,128,0
I1,01/10/17,Napoli,Cagliari,3,0,2,0,-769,700,2000,-333,300,-2.5
I1,01/10/17,Spal,Crotone,1,1,1,0,-110,240,300,133,-141,-0.5
